Hotel ID,Hotel Name,Total Rating,Overall Customers
224757,Red Roof Inn Phoenix West,21.0,1
244405,Motel 6 Phoenix West,13.0,2
73977,Budget Lodge of Phoenix,4.0,1
119366,Budget Suites of America,7.0,3
119335,Extended Stay America - Phoenix - Airport - E. Oak St.,15.0,1
223039,Extended Stay America - Phoenix - Chandler - E. Chandler Blvd.,2.5,2
74652,Extended Stay America - Phoenix - Midtown,18.0,1
73869,Motel 6 Phoenix - Black Canyon,3.0,2
248145,Sierra Grande Suites,3.0,1
73743,A Victory Inn & Suites Phoenix North,4.5,8
73727,Grace Inn Phoenix,13.1,10
74724,Travel Inn,2.3333333333333335,3
75662,Holiday Inn Express Phoenix Airport (University Drive),12.571428571428571,7
74561,Sterling International Hotels,2.75,8
1176612,Comfort Inn Phoenix,19.0,1
73712,Super 8 Phoenix,14.833333333333334,6
73768,Days Inn I-17 & Thomas,10.875,8
118794,Las Palmas Inn,6.0,1
74687,Ramada Inn Phoenix Downtown,4.166666666666667,6
217199,Homestead Phoenix Metro,6.0,3
1160848,Holiday Inn Phoenix-Midtown,8.0,6
224749,Oakwood At Paradise Lakes,14.0,2
119337,Super 7 Motel,1.0,1
73782,Comfort Suites Conference Center,5.5,4
239801,Studio 6 Phoenix - Deer Valley,8.5,2
74410,Budget Inn,9.0,1
119314,Mainstay Suites Metro Center,15.4,5
73882,Motel 6 Phoenix North - Bell Road,5.0,1
74657,Extended Stay America - Phoenix - Metro Center,4.75,4
243927,Motel 6 Phoenix Airport,13.0,1
74720,Days Inn Phoenix,14.333333333333334,3
112175,Extended Stay America - Phoenix - Biltmore,13.0,1
74805,Fairfield Inn Phoenix North,3.0,2
73910,Travel Inn Airport,6.333333333333333,3
73937,Residence Inn Phoenix,8.5,4
73773,Americas Best Value Inn Phoenix/I-10 West,5.5,2
74744,Super 8 Motel - Phoenix West I-10,2.0,1
73718,Lexington Hotel Central Phoenix,9.933333333333334,15
73859,La Quinta Inn Phoenix Thomas Road,2.0,1
223861,SpringHill Suites Phoenix Downtown,16.0,7
73825,Holiday Inn Phoenix-West,22.666666666666668,3
74752,Phoenix Metro North Super 8 Motel,1.5,2
218100,InnPlace Hotel Phoenix North,8.307692307692308,26
73792,Embassy Suites Phoenix Airport at 24th Street,9.733333333333333,15
112162,Hotel San Carlos,7.896551724137931,29
224250,Embassy Suites Phoenix-Scottsdale,11.741935483870968,31
262398,SpringHill Suites Phoenix North,19.2,5
239947,TownePlace Suites Phoenix Metrocenter Mall,17.0,2
74758,La Quinta Inn Phoenix - Arcadia,10.4,10
119330,Arizona Royal Villa Resort,17.0,5
73950,Sleep Inn Airport,15.642857142857142,14
118775,Red Roof Phoenix North - Bell Road,14.0,1
239800,Hilton Garden Inn Phoenix,10.818181818181818,11
271801,Crowne Plaza Phoenix,13.333333333333334,15
73799,Embassy Suites Hotel Phoenix-North,12.4,15
543136,Clarion Hotel Phoenix Tech Center,11.5,2
240681,Econo Lodge Airport,13.166666666666666,6
223036,Comfort Inn Phoenix West,11.5,2
73751,Courtyard by Marriott Phoenix North,11.666666666666666,3
119355,Coast Phoenix Sky Harbor Hotel,15.5,14
74583,Fairfield Inn Phoenix Airport,20.0,2
74669,Sleep Inn North,15.75,4
73821,Hilton Phoenix Airport,14.5,10
74590,Courtyard by Marriott Phoenix Airport,14.0,2
74826,Courtyard by Marriott Phoenix Camelback,8.25,4
73706,BEST WESTERN Airport Inn,3.0,3
73805,BEST WESTERN Phoenix I-17 MetroCenter Inn,8.75,4
73862,La Quinta Inn Phoenix North,5.0,2
74548,Marriott Phoenix Airport,15.125,8
73810,Hampton Inn Phoenix Midtown (Downtown Area),3.0,1
119351,Homewood Suites by Hilton Phoenix - Biltmore,3.0,3
74545,Residence Inn Phoenix Airport,14.25,4
73739,BEST WESTERN PLUS InnSuites Phoenix Hotel & Suites,14.222222222222221,9
266322,The Clarendon Hotel - Phoenix's Urban Retreat,23.0,4
224733,Candlewood Suites Phoenix,4.5,4
118778,Holiday Inn Express Chandler - Phoenix,7.0,1
74834,Comfort Suites Phoenix / MetroCenter,6.5,2
223273,Holiday Inn Express Phoenix Downtown,23.0,2
313465,Super 8 Phoenix Downtown,5.75,4
73943,Royal Palms Resort and Spa,14.0,43
73855,Hyatt Regency Phoenix,14.357142857142858,28
119356,Hampton Inn Phoenix Airport North,15.0,5
119353,Homewood Suites by Hilton Phoenix-Metro Center,10.4,5
240682,Fairfield Inn & Suites - Phoenix,18.0,5
115483,Hampton Inn & Suites Phoenix Airport South,13.0,7
74845,Comfort Inn West,6.6,5
73957,Pointe Hilton Squaw Peak Resort,11.992125984251969,127
115482,DoubleTree Suites by Hilton Phoenix,10.11111111111111,18
74927,La Quinta Inn & Suites Phoenix Chandler,3.5,2
112154,Embassy Suites Hotel Phoenix Biltmore,13.538461538461538,13
119363,Country Inn & Suites Deer Valley,11.333333333333334,3
223035,Hilton Garden Inn Phoenix Airport,11.25,4
112179,The Ritz-Carlton Phoenix,13.117647058823529,17
74626,Legacy Golf Resort,16.216216216216218,37
286542,Marriott's Canyon Villas,15.153846153846153,13
225578,Hampton Inn Phoenix/Anthem,5.0,1
564652,Radisson Hotel Phoenix Airport,14.6,15
277997,Pointe Hilton Tapatio Cliffs Resort,11.208333333333334,144
73947,Sheraton Crescent Hotel,7.875,8
223860,JW Marriott Desert Ridge Resort & Spa Phoenix,13.105633802816902,142
115484,Arizona Biltmore,10.413793103448276,58
