Hotel ID,Hotel Name,Total Rating,Overall Customers
73943,Royal Palms Resort and Spa,19.576923076923077,78
224757,Red Roof Inn Phoenix West,19.5,2
642935,LaQuinta Inn,5.0,1
244405,Motel 6 Phoenix West,11.0,5
565626,Traveler's Inn,19.666666666666668,3
73977,Budget Lodge of Phoenix,9.75,4
119366,Budget Suites of America,7.25,4
119335,Extended Stay America - Phoenix - Airport - E. Oak St.,15.0,1
74652,Extended Stay America - Phoenix - Midtown,18.666666666666668,3
223039,Extended Stay America - Phoenix - Chandler - E. Chandler Blvd.,2.5,2
73869,Motel 6 Phoenix - Black Canyon,5.25,4
248145,Sierra Grande Suites,3.0,1
75662,Holiday Inn Express Phoenix Airport (University Drive),17.823529411764707,17
73727,Grace Inn Phoenix,13.857142857142858,14
73743,A Victory Inn & Suites Phoenix North,7.166666666666667,12
74724,Travel Inn,2.6666666666666665,6
74561,Sterling International Hotels,3.2857142857142856,14
1176612,Comfort Inn Phoenix,15.6,5
73712,Super 8 Phoenix,18.181818181818183,11
73768,Days Inn I-17 & Thomas,9.333333333333334,15
118794,Las Palmas Inn,6.0,1
74687,Ramada Inn Phoenix Downtown,4.166666666666667,6
217199,Homestead Phoenix Metro,6.0,3
1160848,Holiday Inn Phoenix-Midtown,8.0,6
224749,Oakwood At Paradise Lakes,14.0,2
119337,Super 7 Motel,1.0,1
73782,Comfort Suites Conference Center,5.5,4
73882,Motel 6 Phoenix North - Bell Road,8.666666666666666,3
74739,Travelodge Phoenix (50th Ave.),8.0,1
239801,Studio 6 Phoenix - Deer Valley,11.0,5
74410,Budget Inn,13.5,4
119314,Mainstay Suites Metro Center,15.833333333333334,6
243927,Motel 6 Phoenix Airport,11.25,4
74657,Extended Stay America - Phoenix - Metro Center,8.333333333333334,6
112175,Extended Stay America - Phoenix - Biltmore,16.0,3
74720,Days Inn Phoenix,13.5,4
74805,Fairfield Inn Phoenix North,18.125,8
73937,Residence Inn Phoenix,13.285714285714286,7
74936,Extended Stay America - Phoenix - Chandler,16.5,2
73910,Travel Inn Airport,6.333333333333333,3
73773,Americas Best Value Inn Phoenix/I-10 West,4.0,3
119327,Extended Stay America - Phoenix - Deer Valley,14.0,3
