Hotel ID,Hotel Name,Total Rating,Overall Customers
73943,Royal Palms Resort and Spa,23.555555555555557,207
224757,Red Roof Inn Phoenix West,20.642857142857142,14
642935,LaQuinta Inn,16.0,3
74805,Fairfield Inn Phoenix North,17.53846153846154,13
244405,Motel 6 Phoenix West,10.0,6
73977,Budget Lodge of Phoenix,10.5,12
565626,Traveler's Inn,13.285714285714286,7
119366,Budget Suites of America,11.285714285714286,7
73869,Motel 6 Phoenix - Black Canyon,9.714285714285714,7
1036415,Premier Inns,17.6,5
118790,Quality Inn & Suites Downtown,25.333333333333332,3
75662,Holiday Inn Express Phoenix Airport (University Drive),23.16417910447761,67
74652,Extended Stay America - Phoenix - Midtown,20.4,10
73727,Grace Inn Phoenix,15.38888888888889,36
119335,Extended Stay America - Phoenix - Airport - E. Oak St.,20.142857142857142,7
223039,Extended Stay America - Phoenix - Chandler - E. Chandler Blvd.,8.0,3
73743,A Victory Inn & Suites Phoenix North,14.12,25
1176612,Comfort Inn Phoenix,20.64,25
248145,Sierra Grande Suites,11.5,2
73712,Super 8 Phoenix,18.2,25
74724,Travel Inn,8.3,10
74561,Sterling International Hotels,5.294117647058823,17
73768,Days Inn I-17 & Thomas,10.0,21
73760,Days Inn Camelback Phoenix and Conference Center,18.357142857142858,14
118794,Las Palmas Inn,6.0,1
74732,Knights Inn Fairground-Phoenix,14.5,6
74687,Ramada Inn Phoenix Downtown,5.285714285714286,7
217199,Homestead Phoenix Metro,13.88888888888889,9
73882,Motel 6 Phoenix North - Bell Road,7.428571428571429,7
1164638,Phoenix Sunrise Motel,23.0,1
1160848,Holiday Inn Phoenix-Midtown,8.0,6
248361,Palm Shadows,8.0,1
224749,Oakwood At Paradise Lakes,14.0,2
119337,Super 7 Motel,1.0,1
118793,Log Cabin Motel,1.0,1
73782,Comfort Suites Conference Center,5.5,4
119314,Mainstay Suites Metro Center,15.75,8
73884,Motel 6 Phoenix - Northern Avenue,18.5,2
74739,Travelodge Phoenix (50th Ave.),14.0,3
239801,Studio 6 Phoenix - Deer Valley,15.6,10
74410,Budget Inn,9.666666666666666,6
243927,Motel 6 Phoenix Airport,12.5,14
74720,Days Inn Phoenix,17.1,10
112175,Extended Stay America - Phoenix - Biltmore,18.764705882352942,17
73718,Lexington Hotel Central Phoenix,16.352941176470587,51
73982,Days Inn Phoenix Airport,14.285714285714286,7
74657,Extended Stay America - Phoenix - Metro Center,8.142857142857142,7
73937,Residence Inn Phoenix,18.333333333333332,15
73910,Travel Inn Airport,5.25,4
74936,Extended Stay America - Phoenix - Chandler,17.6,5
74816,Crossland Economy Studios - Phoenix - West,18.857142857142858,7
73773,Americas Best Value Inn Phoenix/I-10 West,6.5,6
119327,Extended Stay America - Phoenix - Deer Valley,13.666666666666666,6
74744,Super 8 Motel - Phoenix West I-10,16.25,4
248358,Anchorage Point,21.0,3
73825,Holiday Inn Phoenix-West,13.444444444444445,18
73859,La Quinta Inn Phoenix Thomas Road,16.5,10
223861,SpringHill Suites Phoenix Downtown,23.060606060606062,33
218100,InnPlace Hotel Phoenix North,15.150684931506849,73
74752,Phoenix Metro North Super 8 Motel,17.157894736842106,19
73840,Holiday Inn Phoenix Downtown North,13.793103448275861,29
112162,Hotel San Carlos,12.64935064935065,77
73792,Embassy Suites Phoenix Airport at 24th Street,15.785714285714286,42
224250,Embassy Suites Phoenix-Scottsdale,18.315068493150687,73
73905,Phoenix Place Hotel & Suites,17.88,25
73889,Days Inn Phoenix Metro Center,23.77777777777778,18
73896,Hilton Suites Phoenix,24.363636363636363,22
262398,SpringHill Suites Phoenix North,21.16,25
239947,TownePlace Suites Phoenix Metrocenter Mall,23.466666666666665,15
74758,La Quinta Inn Phoenix - Arcadia,15.096774193548388,31
119330,Arizona Royal Villa Resort,21.88888888888889,27
118775,Red Roof Phoenix North - Bell Road,23.571428571428573,14
239800,Hilton Garden Inn Phoenix,19.375,40
73950,Sleep Inn Airport,19.186046511627907,43
271801,Crowne Plaza Phoenix,19.066666666666666,45
73799,Embassy Suites Hotel Phoenix-North,16.71186440677966,59
543136,Clarion Hotel Phoenix Tech Center,18.529411764705884,17
119355,Coast Phoenix Sky Harbor Hotel,17.835443037974684,79
266322,The Clarendon Hotel - Phoenix's Urban Retreat,21.64876033057851,242
240681,Econo Lodge Airport,14.68,25
223036,Comfort Inn Phoenix West,22.166666666666668,12
74583,Fairfield Inn Phoenix Airport,24.666666666666668,33
73821,Hilton Phoenix Airport,19.86842105263158,76
73751,Courtyard by Marriott Phoenix North,14.5,8
74669,Sleep Inn North,18.0,9
73706,BEST WESTERN Airport Inn,16.774193548387096,31
74590,Courtyard by Marriott Phoenix Airport,24.142857142857142,14
74826,Courtyard by Marriott Phoenix Camelback,21.941176470588236,17
73805,BEST WESTERN Phoenix I-17 MetroCenter Inn,17.5,26
74548,Marriott Phoenix Airport,19.21212121212121,33
73862,La Quinta Inn Phoenix North,16.928571428571427,14
73957,Pointe Hilton Squaw Peak Resort,19.191037735849058,424
73810,Hampton Inn Phoenix Midtown (Downtown Area),20.3,10
119351,Homewood Suites by Hilton Phoenix - Biltmore,19.45,20
74545,Residence Inn Phoenix Airport,21.11111111111111,18
73739,BEST WESTERN PLUS InnSuites Phoenix Hotel & Suites,18.22222222222222,36
74624,Hampton Inn Phoenix-Biltmore,28.142857142857142,7
866697,Residence Inn Phoenix North/Happy Valley,22.333333333333332,15
74834,Comfort Suites Phoenix / MetroCenter,12.857142857142858,7
224733,Candlewood Suites Phoenix,18.90909090909091,11
118778,Holiday Inn Express Chandler - Phoenix,20.083333333333332,12
223273,Holiday Inn Express Phoenix Downtown,24.045454545454547,22
73855,Hyatt Regency Phoenix,18.029411764705884,102
729371,Hilton Garden Inn Phoenix North Happy Valley,25.142857142857142,14
115483,Hampton Inn & Suites Phoenix Airport South,16.678571428571427,28
754229,Hyatt Place Phoenix - North,21.653846153846153,26
313465,Super 8 Phoenix Downtown,15.588235294117647,17
866698,Courtyard Phoenix North / Happy Valley,26.166666666666668,6
119356,Hampton Inn Phoenix Airport North,19.93103448275862,29
677854,Courtyard by Marriott Phoenix West/Avondale,23.53846153846154,13
119353,Homewood Suites by Hilton Phoenix-Metro Center,19.045454545454547,22
240682,Fairfield Inn & Suites - Phoenix,22.344827586206897,29
1158679,Residence Inn Phoenix Desert View at Mayo Clinic,26.428571428571427,7
115482,DoubleTree Suites by Hilton Phoenix,21.74,100
112178,Arizona Grand Resort & Spa,24.222772277227723,202
112154,Embassy Suites Hotel Phoenix Biltmore,21.033333333333335,60
74626,Legacy Golf Resort,19.473684210526315,152
1485459,Homewood Suites Phoenix Airport South,29.0,2
74845,Comfort Inn West,11.454545454545455,11
1201061,Homewood Suites Phoenix North - Happy Valley,23.5,4
74927,La Quinta Inn & Suites Phoenix Chandler,18.9,10
119363,Country Inn & Suites Deer Valley,19.846153846153847,13
634649,La Quinta Inn & Suites Phoenix I-10 West,23.416666666666668,12
112179,The Ritz-Carlton Phoenix,18.78125,64
223035,Hilton Garden Inn Phoenix Airport,23.727272727272727,44
1174692,Aloft Phoenix-Airport,26.09090909090909,11
1657449,Holiday Inn Hotel & Suites Phoenix Airport,35.0,1
115484,Arizona Biltmore,20.82804232804233,378
277997,Pointe Hilton Tapatio Cliffs Resort,18.565,400
286542,Marriott's Canyon Villas,23.484848484848484,99
1176581,Hilton Garden Inn Phoenix Airport North,26.558823529411764,34
225578,Hampton Inn Phoenix/Anthem,25.228571428571428,35
1200121,Hampton Inn & Suites Phoenix North / Happy Valley,26.333333333333332,3
564652,Radisson Hotel Phoenix Airport,19.392857142857142,56
1147292,Sheraton Phoenix Downtown Hotel,23.224489795918366,49
816807,Americas Best Value Inn - Downtown Phoenix,31.0,8
1605022,Drury Inn & Suites Happy Valley,33.125,8
73947,Sheraton Crescent Hotel,19.181818181818183,55
223860,JW Marriott Desert Ridge Resort & Spa Phoenix,19.128342245989305,374
119365,Budget Lodge Downtown Phoenix,26.392156862745097,51
