Hotel ID,Hotel Name,Total Rating,Overall Customers
73943,Royal Palms Resort and Spa,25.223529411764705,340
224757,Red Roof Inn Phoenix West,22.857142857142858,35
75662,Holiday Inn Express Phoenix Airport (University Drive),24.280701754385966,114
642935,LaQuinta Inn,19.75,4
74805,Fairfield Inn Phoenix North,16.8125,16
244405,Motel 6 Phoenix West,15.363636363636363,11
73937,Residence Inn Phoenix,22.227272727272727,22
73727,Grace Inn Phoenix,16.21276595744681,47
74652,Extended Stay America - Phoenix - Midtown,18.928571428571427,14
73977,Budget Lodge of Phoenix,11.142857142857142,14
565626,Traveler's Inn,18.1,10
118790,Quality Inn & Suites Downtown,20.666666666666668,9
119366,Budget Suites of America,11.5,10
73869,Motel 6 Phoenix - Black Canyon,11.6,10
1036415,Premier Inns,18.571428571428573,7
119335,Extended Stay America - Phoenix - Airport - E. Oak St.,21.8,10
1176612,Comfort Inn Phoenix,19.390243902439025,41
223039,Extended Stay America - Phoenix - Chandler - E. Chandler Blvd.,13.8,5
73743,A Victory Inn & Suites Phoenix North,13.606060606060606,33
248145,Sierra Grande Suites,11.5,2
73768,Days Inn I-17 & Thomas,10.25925925925926,27
73712,Super 8 Phoenix,17.925925925925927,27
74724,Travel Inn,8.3,10
74561,Sterling International Hotels,7.0476190476190474,21
73760,Days Inn Camelback Phoenix and Conference Center,17.676470588235293,34
1926212,Travelodge Phoenix,20.5,2
74732,Knights Inn Fairground-Phoenix,14.285714285714286,7
118794,Las Palmas Inn,6.0,1
74687,Ramada Inn Phoenix Downtown,5.285714285714286,7
217199,Homestead Phoenix Metro,14.0,16
119314,Mainstay Suites Metro Center,16.823529411764707,17
73875,Motel 6 Phoenix East,34.0,1
1164638,Phoenix Sunrise Motel,20.5,6
73882,Motel 6 Phoenix North - Bell Road,9.333333333333334,9
1160848,Holiday Inn Phoenix-Midtown,8.714285714285714,7
248361,Palm Shadows,18.5,2
224749,Oakwood At Paradise Lakes,14.0,2
119337,Super 7 Motel,1.0,1
118793,Log Cabin Motel,1.0,1
73782,Comfort Suites Conference Center,5.5,4
73982,Days Inn Phoenix Airport,12.208333333333334,24
112175,Extended Stay America - Phoenix - Biltmore,17.954545454545453,22
73884,Motel 6 Phoenix - Northern Avenue,18.5,2
73817,Windsor Palms Apartments,6.0,1
239801,Studio 6 Phoenix - Deer Valley,14.933333333333334,15
74739,Travelodge Phoenix (50th Ave.),19.8,5
74410,Budget Inn,14.153846153846153,13
73718,Lexington Hotel Central Phoenix,16.104477611940297,67
243927,Motel 6 Phoenix Airport,12.6,20
74720,Days Inn Phoenix,17.846153846153847,13
74657,Extended Stay America - Phoenix - Metro Center,10.75,8
1160841,The Hotel Waterfront Ivy,35.0,1
73910,Travel Inn Airport,9.8,5
74816,Crossland Economy Studios - Phoenix - West,19.636363636363637,11
74936,Extended Stay America - Phoenix - Chandler,17.6,5
1026671,Value Place Phoenix,19.0,1
73773,Americas Best Value Inn Phoenix/I-10 West,9.666666666666666,9
119327,Extended Stay America - Phoenix - Deer Valley,15.0,7
74744,Super 8 Motel - Phoenix West I-10,12.833333333333334,6
248358,Anchorage Point,24.666666666666668,6
73825,Holiday Inn Phoenix-West,14.88888888888889,27
223861,SpringHill Suites Phoenix Downtown,22.6734693877551,49
218100,InnPlace Hotel Phoenix North,17.227272727272727,110
73840,Holiday Inn Phoenix Downtown North,19.526315789473685,57
73927,Howard Johnson Phoenix Airport/Downtown Area,17.75,12
73859,La Quinta Inn Phoenix Thomas Road,15.642857142857142,14
73792,Embassy Suites Phoenix Airport at 24th Street,18.2183908045977,87
112162,Hotel San Carlos,14.99047619047619,105
224250,Embassy Suites Phoenix-Scottsdale,20.991071428571427,112
74752,Phoenix Metro North Super 8 Motel,15.478260869565217,23
73905,Phoenix Place Hotel & Suites,21.72222222222222,72
73889,Days Inn Phoenix Metro Center,21.26530612244898,49
73896,Hilton Suites Phoenix,24.966666666666665,60
266322,The Clarendon Hotel - Phoenix's Urban Retreat,23.215384615384615,390
262398,SpringHill Suites Phoenix North,21.076923076923077,26
74758,La Quinta Inn Phoenix - Arcadia,16.88095238095238,42
239947,TownePlace Suites Phoenix Metrocenter Mall,23.142857142857142,21
119330,Arizona Royal Villa Resort,23.90909090909091,44
73950,Sleep Inn Airport,21.671641791044777,67
118775,Red Roof Phoenix North - Bell Road,23.346153846153847,26
239800,Hilton Garden Inn Phoenix,20.87037037037037,54
271801,Crowne Plaza Phoenix,20.973333333333333,75
1963064,Best West Inn Downtown,18.428571428571427,7
73799,Embassy Suites Hotel Phoenix-North,17.9,80
73957,Pointe Hilton Squaw Peak Resort,21.339593114241,639
119355,Coast Phoenix Sky Harbor Hotel,19.267241379310345,116
543136,Clarion Hotel Phoenix Tech Center,21.22222222222222,27
240681,Econo Lodge Airport,15.27659574468085,47
73821,Hilton Phoenix Airport,20.783333333333335,120
223036,Comfort Inn Phoenix West,24.272727272727273,22
74583,Fairfield Inn Phoenix Airport,23.73913043478261,46
112178,Arizona Grand Resort & Spa,24.316504854368933,515
