Hotel ID,Hotel Name,Total Rating,Overall Customers
73943,Royal Palms Resort and Spa,26.262626262626263,396
224757,Red Roof Inn Phoenix West,23.825,40
75662,Holiday Inn Express Phoenix Airport (University Drive),24.8671875,128
642935,LaQuinta Inn,23.666666666666668,6
74805,Fairfield Inn Phoenix North,19.05263157894737,19
73937,Residence Inn Phoenix,23.29032258064516,31
244405,Motel 6 Phoenix West,15.25,12
142098,Quality Inn & Suites Phoenix,17.0,1
73727,Grace Inn Phoenix,16.32,50
74652,Extended Stay America - Phoenix - Midtown,19.58823529411765,17
73977,Budget Lodge of Phoenix,12.352941176470589,17
1176612,Comfort Inn Phoenix,19.795454545454547,44
565626,Traveler's Inn,18.1,10
118790,Quality Inn & Suites Downtown,21.727272727272727,11
119366,Budget Suites of America,11.818181818181818,11
73985,Knights Inn Phoenix,9.0,1
73869,Motel 6 Phoenix - Black Canyon,11.636363636363637,11
1036415,Premier Inns,16.0,9
119335,Extended Stay America - Phoenix - Airport - E. Oak St.,20.5,14
223039,Extended Stay America - Phoenix - Chandler - E. Chandler Blvd.,16.666666666666668,6
73743,A Victory Inn & Suites Phoenix North,13.314285714285715,35
73760,Days Inn Camelback Phoenix and Conference Center,17.931818181818183,44
73712,Super 8 Phoenix,16.454545454545453,33
248145,Sierra Grande Suites,11.5,2
74724,Travel Inn,8.181818181818182,11
73768,Days Inn I-17 & Thomas,9.964285714285714,28
74561,Sterling International Hotels,7.826086956521739,23
1926212,Travelodge Phoenix,15.666666666666666,6
74732,Knights Inn Fairground-Phoenix,16.375,8
118794,Las Palmas Inn,7.5,2
74687,Ramada Inn Phoenix Downtown,5.625,8
217199,Homestead Phoenix Metro,15.0,18
119314,Mainstay Suites Metro Center,16.958333333333332,24
73882,Motel 6 Phoenix North - Bell Road,11.9,10
73875,Motel 6 Phoenix East,34.0,1
1164638,Phoenix Sunrise Motel,20.5,6
73982,Days Inn Phoenix Airport,13.8,30
1160848,Holiday Inn Phoenix-Midtown,11.5,8
248361,Palm Shadows,18.5,2
224749,Oakwood At Paradise Lakes,14.0,2
119337,Super 7 Motel,1.0,1
118793,Log Cabin Motel,1.0,1
73782,Comfort Suites Conference Center,5.5,4
112175,Extended Stay America - Phoenix - Biltmore,17.304347826086957,23
73884,Motel 6 Phoenix - Northern Avenue,18.333333333333332,3
73817,Windsor Palms Apartments,6.0,1
239801,Studio 6 Phoenix - Deer Valley,14.933333333333334,15
74657,Extended Stay America - Phoenix - Metro Center,12.75,12
73718,Lexington Hotel Central Phoenix,16.569444444444443,72
74739,Travelodge Phoenix (50th Ave.),19.8,5
243927,Motel 6 Phoenix Airport,12.565217391304348,23
74410,Budget Inn,15.571428571428571,14
74720,Days Inn Phoenix,18.866666666666667,15
1160841,The Hotel Waterfront Ivy,35.0,1
74816,Crossland Economy Studios - Phoenix - West,19.307692307692307,13
74936,Extended Stay America - Phoenix - Chandler,17.666666666666668,6
73910,Travel Inn Airport,9.8,5
1026671,Value Place Phoenix,23.0,2
73773,Americas Best Value Inn Phoenix/I-10 West,9.666666666666666,9
119327,Extended Stay America - Phoenix - Deer Valley,15.5,8
74744,Super 8 Motel - Phoenix West I-10,12.0,7
248358,Anchorage Point,25.142857142857142,7
73825,Holiday Inn Phoenix-West,15.392857142857142,28
74587,Extended Stay America - Phoenix - Airport,28.0,1
223861,SpringHill Suites Phoenix Downtown,23.07843137254902,51
218100,InnPlace Hotel Phoenix North,17.35135135135135,111
73840,Holiday Inn Phoenix Downtown North,20.578125,64
73927,Howard Johnson Phoenix Airport/Downtown Area,18.761904761904763,21
73859,La Quinta Inn Phoenix Thomas Road,16.72222222222222,18
224250,Embassy Suites Phoenix-Scottsdale,22.328358208955223,134
73792,Embassy Suites Phoenix Airport at 24th Street,18.99009900990099,101
112162,Hotel San Carlos,15.64102564102564,117
73905,Phoenix Place Hotel & Suites,21.195121951219512,82
74752,Phoenix Metro North Super 8 Motel,15.32,25
73889,Days Inn Phoenix Metro Center,21.203125,64
266322,The Clarendon Hotel - Phoenix's Urban Retreat,23.71361502347418,426
73896,Hilton Suites Phoenix,25.333333333333332,72
262398,SpringHill Suites Phoenix North,21.464285714285715,28
119330,Arizona Royal Villa Resort,24.12,50
74758,La Quinta Inn Phoenix - Arcadia,19.245283018867923,53
239947,TownePlace Suites Phoenix Metrocenter Mall,22.875,24
73950,Sleep Inn Airport,22.103896103896105,77
118775,Red Roof Phoenix North - Bell Road,24.03030303030303,33
239800,Hilton Garden Inn Phoenix,21.050847457627118,59
271801,Crowne Plaza Phoenix,22.741573033707866,89
73957,Pointe Hilton Squaw Peak Resort,21.816860465116278,688
1963064,Best West Inn Downtown,16.555555555555557,9
73799,Embassy Suites Hotel Phoenix-North,18.477777777777778,90
119355,Coast Phoenix Sky Harbor Hotel,20.04255319148936,141
543136,Clarion Hotel Phoenix Tech Center,21.419354838709676,31
240681,Econo Lodge Airport,17.593220338983052,59
73821,Hilton Phoenix Airport,20.964028776978417,139
112178,Arizona Grand Resort & Spa,24.629963898916966,554
74583,Fairfield Inn Phoenix Airport,24.09259259259259,54
223036,Comfort Inn Phoenix West,25.0,28
73751,Courtyard by Marriott Phoenix North,18.142857142857142,14
74669,Sleep Inn North,19.363636363636363,11
73805,BEST WESTERN Phoenix I-17 MetroCenter Inn,21.19736842105263,76
74590,Courtyard by Marriott Phoenix Airport,25.457142857142856,35
73706,BEST WESTERN Airport Inn,18.157894736842106,57
74548,Marriott Phoenix Airport,23.225806451612904,62
74826,Courtyard by Marriott Phoenix Camelback,24.032258064516128,31
73862,La Quinta Inn Phoenix North,19.892857142857142,28
73810,Hampton Inn Phoenix Midtown (Downtown Area),23.416666666666668,24
119351,Homewood Suites by Hilton Phoenix - Biltmore,24.2,40
74545,Residence Inn Phoenix Airport,23.790697674418606,43
115484,Arizona Biltmore,23.58008075370121,743
73855,Hyatt Regency Phoenix,22.58653846153846,208
73739,BEST WESTERN PLUS InnSuites Phoenix Hotel & Suites,22.6375,80
74624,Hampton Inn Phoenix-Biltmore,28.9,40
73787,Holiday Inn & Suites Phoenix Airport North,26.78125,32
866697,Residence Inn Phoenix North/Happy Valley,24.65,20
729371,Hilton Garden Inn Phoenix North Happy Valley,24.333333333333332,39
74834,Comfort Suites Phoenix / MetroCenter,22.157894736842106,19
223273,Holiday Inn Express Phoenix Downtown,24.914893617021278,47
224733,Candlewood Suites Phoenix,20.904761904761905,21
118778,Holiday Inn Express Chandler - Phoenix,23.76,25
115483,Hampton Inn & Suites Phoenix Airport South,21.0,51
754229,Hyatt Place Phoenix - North,23.927272727272726,55
313465,Super 8 Phoenix Downtown,20.6875,32
119356,Hampton Inn Phoenix Airport North,25.06896551724138,58
112179,The Ritz-Carlton Phoenix,23.29310344827586,116
866698,Courtyard Phoenix North / Happy Valley,28.8,15
115482,DoubleTree Suites by Hilton Phoenix,24.5,176
677854,Courtyard by Marriott Phoenix West/Avondale,23.791666666666668,24
277997,Pointe Hilton Tapatio Cliffs Resort,21.143556280587276,613
119353,Homewood Suites by Hilton Phoenix-Metro Center,22.564102564102566,39
1158679,Residence Inn Phoenix Desert View at Mayo Clinic,27.0,31
240682,Fairfield Inn & Suites - Phoenix,22.74418604651163,43
112154,Embassy Suites Hotel Phoenix Biltmore,23.992125984251967,127
74626,Legacy Golf Resort,21.618834080717487,223
1485459,Homewood Suites Phoenix Airport South,28.347826086956523,23
74845,Comfort Inn West,16.842105263157894,19
223035,Hilton Garden Inn Phoenix Airport,26.36036036036036,111
1657449,Holiday Inn Hotel & Suites Phoenix Airport,28.75,96
1201061,Homewood Suites Phoenix North - Happy Valley,30.0,19
634649,La Quinta Inn & Suites Phoenix I-10 West,25.387096774193548,31
74927,La Quinta Inn & Suites Phoenix Chandler,23.125,16
119363,Country Inn & Suites Deer Valley,25.24,25
1174692,Aloft Phoenix-Airport,26.455882352941178,68
1176581,Hilton Garden Inn Phoenix Airport North,26.889830508474578,118
286542,Marriott's Canyon Villas,24.73446327683616,177
73757,Renaissance Phoenix Downtown,24.125,8
1200121,Hampton Inn & Suites Phoenix North / Happy Valley,28.70967741935484,31
225578,Hampton Inn Phoenix/Anthem,25.654545454545456,55
73923,Drury Inn & Suites Phoenix Airport,27.428571428571427,7
2015227,Westin Phoenix Downtown,29.676923076923078,65
564652,Radisson Hotel Phoenix Airport,22.521008403361346,119
1147292,Sheraton Phoenix Downtown Hotel,27.557522123893804,339
816807,Americas Best Value Inn - Downtown Phoenix,28.942857142857143,105
119365,Budget Lodge Downtown Phoenix,26.84328358208955,134
