Hotel ID,Hotel Name,Total Rating,Overall Customers
76049,Four Seasons Hotel Los Angeles at Beverly Hills,5.0,1
504815,Rodeway Inn Hollywood,2.0,2
240156,Motel 6 Los Angeles - Van Nuys/Sepulveda,3.0,1
576828,Valley Inn & Conference Center,3.6666666666666665,3
223050,Rotex Hotel And Condo,1.0,1
84442,Travelodge Chatsworth,1.0,1
82498,Motel 6 Van Nuys,1.0,1
84513,Quality Inn & Suites by Convention Center,4.0,1
76446,Century Wilshire,5.0,1
248069,Bevonshire Lodge Motel,2.0,3
113229,Highland Gardens Hotel,4.0,1
77859,Stillwell Hotel,1.0,1
77260,Rodeway Inn,4.0,1
77809,Kawada Hotel,2.5,2
119414,L.A. Sky Boutique Hotel,3.0,1
77729,BEST WESTERN PLUS Dragon Gate Inn,4.5,2
235430,BLVD Hotel & Suites,5.0,2
119464,La Mirage Inn,3.0,1
77753,The Historic Mayfair Hotel,1.0,2
84515,Quality Inn Hollywood,3.0,1
77852,The Wilshire Hotel Los Angeles,4.0,1
82633,Azul Inn,3.0,1
76460,Staybridge Suites Chatsworth,4.0,1
82689,Warner Center Marriott Woodland Hills,5.0,1
240151,Motel 6 Los Angeles - Hollywood,1.0,2
77247,BEST WESTERN Hollywood Plaza Inn,2.0,3
113221,The LA Hotel Downtown,2.0,1
82578,Beverly Laurel Motor Hotel,3.0,4
77923,Holiday Inn Los Angeles International Airport,4.0,1
119388,Cadillac Hotel,1.0,1
84555,BEST WESTERN PLUS Carlyle Inn,4.0,3
240875,Clarion Inn,4.0,1
223049,Radisson Hotel at Los Angeles Airport,3.0,3
82491,Airtel Plaza Hotel and Conference Center,3.0,1
81768,Vagabond Inn San Pedro,1.0,1
119483,Courtyard Los Angeles Century City / Beverly Hills,3.5,2
77708,BEST WESTERN PLUS Royal Palace Inn & Suites,4.0,1
77888,Hilton Checkers Hotel - Los Angeles,12.5,4
77237,Hollywood Hotel,3.0,2
77970,Travelodge Hotel at LAX,3.0,2
82636,Royal Palace Westwood,4.0,1
223013,Beverly Hills Plaza Hotel,1.0,1
77866,Millennium Biltmore Hotel Los Angeles,4.0,4
249696,The Standard Downtown LA,3.0,12
124956,Figueroa Hotel,2.0,4
77256,Days Inn Hollywood/Universal Studios,7.0,2
84253,Crowne Plaza Los Angeles International Airport Hotel,4.0,1
119382,Inn at Venice Beach,3.0,2
76061,Crowne Plaza Beverly Hills,5.666666666666667,6
77787,Luxe City Center Hotel,5.0,1
77243,BEST WESTERN PLUS Hollywood Hills Hotel,3.0,6
77917,Embassy Suites LAX North,5.0,2
208191,Four Points by Sheraton Los Angeles International Airport,4.0,1
77944,Renaissance Los Angeles Airport Hotel,5.0,2
77274,Hollywood Roosevelt Hotel - A Thompson Hotel,3.3333333333333335,9
77874,The Westin Bonaventure Hotel & Suites,6.125,8
84167,Hilton Los Angeles Airport,3.0,3
119443,The Westin Los Angeles Airport,4.0,6
