Hotel ID,Hotel Name,Total Rating,Overall Customers
76049,Four Seasons Hotel Los Angeles at Beverly Hills,7.571428571428571,7
504815,Rodeway Inn Hollywood,6.0,3
240156,Motel 6 Los Angeles - Van Nuys/Sepulveda,3.0,1
272668,Comfort Inn - Los Angeles / West Sunset Blvd.,4.0,1
576828,Valley Inn & Conference Center,3.6666666666666665,3
223050,Rotex Hotel And Condo,1.0,1
81120,BEST WESTERN Los Angeles Worldport Hotel,4.0,1
84320,Hotel Solaire Los Angeles,1.75,4
223044,Vagabond Inn Executive,1.0,2
235456,Good Nite Inn Sylmar,2.8,5
84442,Travelodge Chatsworth,4.5,2
82496,The Voyager Motor Inn,1.0,1
82498,Motel 6 Van Nuys,1.0,2
76446,Century Wilshire,6.5,6
78679,BEST WESTERN PLUS Mikado Hotel,1.5,2
84513,Quality Inn & Suites by Convention Center,4.0,1
271606,Islander Motel,3.0,1
248069,Bevonshire Lodge Motel,4.25,4
81285,Sunrise Hotel San Pedro,3.0,1
113229,Highland Gardens Hotel,2.8333333333333335,6
235134,Super 8 Hollywood,2.0,2
119434,The Claremont Hotel,2.0,1
77859,Stillwell Hotel,1.0,2
634746,Travelodge Sylmar/Magic Mountain Area,2.0,1
77260,Rodeway Inn,8.0,3
84529,Rodeway Inn Los Angeles,3.0,5
225809,Best Inn Hollywood,10.0,2
77809,Kawada Hotel,2.5,6
119422,Liberty Hotel,4.0,1
77729,BEST WESTERN PLUS Dragon Gate Inn,7.333333333333333,6
275366,Super 8 North Hollywood,4.0,1
84434,Radisson Hotel Chatsworth,4.0,3
119414,L.A. Sky Boutique Hotel,3.0,2
276208,Cecil Hotel,1.0,3
235430,BLVD Hotel & Suites,3.8333333333333335,12
119464,La Mirage Inn,3.0,1
77753,The Historic Mayfair Hotel,2.0,8
249692,Ritz Milner Hotel,2.0,2
84517,Holiday Inn Express Century City,4.5,2
84515,Quality Inn Hollywood,6.2,5
239812,The Dixie Hollywood,3.25,4
77852,The Wilshire Hotel Los Angeles,2.75,4
82633,Azul Inn,4.0,2
76460,Staybridge Suites Chatsworth,3.0,2
84553,Comfort Inn Near Universal Studios Hollywood,3.7142857142857144,7
268977,Hollywood Downtowner Inn,4.166666666666667,6
82494,Holiday Inn Express Van Nuys,4.0,1
240151,Motel 6 Los Angeles - Hollywood,1.8,5
77829,Metro Plaza Hotel,3.0,3
84286,Holiday Inn Express - Los Angeles Downtown West,1.0,1
223051,Super 8 Los Angeles Airport/LAX,7.0,3
84437,Ramada Limited Canoga Park/Warner Center,2.0,2
82689,Warner Center Marriott Woodland Hills,4.0,6
77247,BEST WESTERN Hollywood Plaza Inn,1.8571428571428572,7
77282,Travelodge Hollywood-Vermont/Sunset,1.0,1
113221,The LA Hotel Downtown,2.5,2
82578,Beverly Laurel Motor Hotel,3.6923076923076925,13
78688,Sportsmen's Lodge Hotel,7.75,4
77923,Holiday Inn Los Angeles International Airport,4.222222222222222,9
223049,Radisson Hotel at Los Angeles Airport,6.9523809523809526,21
119388,Cadillac Hotel,2.7222222222222223,18
84555,BEST WESTERN PLUS Carlyle Inn,6.857142857142857,7
240875,Clarion Inn,4.333333333333333,6
82491,Airtel Plaza Hotel and Conference Center,3.2,5
81768,Vagabond Inn San Pedro,1.0,1
119483,Courtyard Los Angeles Century City / Beverly Hills,3.5,2
77708,BEST WESTERN PLUS Royal Palace Inn & Suites,4.5,8
77888,Hilton Checkers Hotel - Los Angeles,6.625,16
77237,Hollywood Hotel,3.7058823529411766,17
82656,Hilgard House Hotel,3.0,2
223046,Miyako Hotel Los Angeles,3.2857142857142856,7
77970,Travelodge Hotel at LAX,6.6923076923076925,13
82636,Royal Palace Westwood,3.0,2
223013,Beverly Hills Plaza Hotel,1.6666666666666667,3
82318,Tarzana Inn,5.0,1
77866,Millennium Biltmore Hotel Los Angeles,4.176470588235294,17
249696,The Standard Downtown LA,3.6333333333333333,30
124956,Figueroa Hotel,4.166666666666667,18
272703,Hollywood Hills Hotel,5.0,2
81765,Crowne Plaza Los Angeles Harbor Hotel,3.0,2
77256,Days Inn Hollywood/Universal Studios,3.8,5
119382,Inn at Venice Beach,8.176470588235293,17
84253,Crowne Plaza Los Angeles International Airport Hotel,8.153846153846153,13
84182,La Quinta Inn & Suites LAX,4.0,9
82650,Holiday Inn Express West Los Angeles,4.5,2
