Hotel ID,Hotel Name,Total Rating,Overall Customers
76049,Four Seasons Hotel Los Angeles at Beverly Hills,12.925925925925926,27
76790,BEST WESTERN PLUS Eagle Rock Inn,22.75,4
82682,Courtyard by Marriott Los Angeles Woodland Hills,20.8,10
83988,Sea Rock Inn,1.0,1
223054,Super 8 Motel Los Angeles Downtown,11.2,5
504815,Rodeway Inn Hollywood,8.571428571428571,7
272668,Comfort Inn - Los Angeles / West Sunset Blvd.,18.818181818181817,33
577590,Vibe Hotel,16.210526315789473,19
84513,Quality Inn & Suites by Convention Center,12.666666666666666,9
549431,Americas Best Value Inn - Hollywood / Los Angeles,14.714285714285714,7
313508,Motel 6 Canoga Park,12.0,1
576828,Valley Inn & Conference Center,11.636363636363637,11
256799,Colony Inn North Hollywood,17.0,2
240156,Motel 6 Los Angeles - Van Nuys/Sepulveda,8.5,2
223050,Rotex Hotel And Condo,1.0,1
84499,Hollywood Stars Inn,16.5,2
282463,Americas Best Value Inn,11.0,1
570050,Sunset Inn & Suites,13.8,10
84320,Hotel Solaire Los Angeles,8.666666666666666,18
223044,Vagabond Inn Executive,7.7894736842105265,19
81120,BEST WESTERN Los Angeles Worldport Hotel,12.25,8
119492,Beverly Inn,10.142857142857142,7
235456,Good Nite Inn Sylmar,9.1875,16
559383,Hollywood Inn Express North,6.909090909090909,11
84442,Travelodge Chatsworth,4.5,2
82496,The Voyager Motor Inn,5.8,5
119399,Hollywood Cityview Inn & Suites,19.0,1
575416,Marina Seven Motel,11.666666666666666,3
77761,Americas Best Value Inn & Suites-Los Angeles Downtown/S.W.,10.0,3
613619,Paradise Inn & Suites,12.0,1
217256,El Patio Inn,3.0,1
76446,Century Wilshire,7.0,23
266004,Pacific Inn and Suites,18.5,4
82498,Motel 6 Van Nuys,3.0,4
78679,BEST WESTERN PLUS Mikado Hotel,7.5,4
271581,St. George Motor Inn,21.0,1
113229,Highland Gardens Hotel,11.76,50
549441,Hollywood Inn Express South,10.642857142857142,14
217240,Nite Inn at Universal City,7.0,4
81285,Sunrise Hotel San Pedro,11.2,25
271479,Hometown Inn,29.0,1
271607,Monterey Inn,1.0,1
271601,Del Mar Hotel,3.0,1
291209,Los Feliz Motel,7.0,1
271606,Islander Motel,4.0,2
119390,Stars Inn,20.0,1
248069,Bevonshire Lodge Motel,9.533333333333333,15
235134,Super 8 Hollywood,6.3076923076923075,13
77717,Dunes Inn - Wilshire,14.0,3
634746,Travelodge Sylmar/Magic Mountain Area,11.0,9
119434,The Claremont Hotel,10.818181818181818,11
82304,Motel 6 Los Angeles Sylmar,22.0,1
77859,Stillwell Hotel,6.8,10
84529,Rodeway Inn Los Angeles,7.944444444444445,18
77809,Kawada Hotel,10.038461538461538,26
77260,Rodeway Inn,10.818181818181818,11
613137,Royal Pagoda Motel,15.666666666666666,3
226148,Studio 6 Van Nuys,7.0,2
84365,Rodeway Inn Culver City,18.333333333333332,3
225809,Best Inn Hollywood,10.0,10
235430,BLVD Hotel & Suites,7.914893617021277,47
77729,BEST WESTERN PLUS Dragon Gate Inn,12.696969696969697,33
119422,Liberty Hotel,13.555555555555555,9
84480,Ramada Wilshire Center,12.105263157894736,19
553344,Americas Best Value Inn - Los Angeles / Hollywood,19.0,2
84434,Radisson Hotel Chatsworth,15.833333333333334,18
275366,Super 8 North Hollywood,14.142857142857142,7
276208,Cecil Hotel,6.916666666666667,12
77753,The Historic Mayfair Hotel,9.4,40
119414,L.A. Sky Boutique Hotel,12.5,6
249692,Ritz Milner Hotel,12.136363636363637,22
84515,Quality Inn Hollywood,14.311111111111112,45
77844,Radisson Midtown at USC,11.8,10
119464,La Mirage Inn,12.25,4
84517,Holiday Inn Express Century City,9.416666666666666,12
235133,Super 8 Los Angeles / Alhambra,17.0,6
239812,The Dixie Hollywood,10.285714285714286,28
77852,The Wilshire Hotel Los Angeles,12.857142857142858,42
82684,Comfort Inn Near Warner Center,7.714285714285714,7
268977,Hollywood Downtowner Inn,10.466666666666667,30
82633,Azul Inn,8.818181818181818,11
84553,Comfort Inn Near Universal Studios Hollywood,8.571428571428571,14
76460,Staybridge Suites Chatsworth,7.0,5
82494,Holiday Inn Express Van Nuys,17.214285714285715,14
119454,Saharan Motor Hotel,16.454545454545453,22
632541,Comfort Inn and Suites near Universal Studios,17.25,4
240151,Motel 6 Los Angeles - Hollywood,10.222222222222221,18
77829,Metro Plaza Hotel,14.307692307692308,26
84286,Holiday Inn Express - Los Angeles Downtown West,3.5,2
223051,Super 8 Los Angeles Airport/LAX,8.166666666666666,12
84437,Ramada Limited Canoga Park/Warner Center,15.375,8
77870,Vagabond Inn Los Angeles-USC,13.125,8
82689,Warner Center Marriott Woodland Hills,11.65,20
81761,DoubleTree by Hilton Hotel San Pedro,21.5,6
113221,The LA Hotel Downtown,14.533333333333333,30
77247,BEST WESTERN Hollywood Plaza Inn,10.027777777777779,36
223049,Radisson Hotel at Los Angeles Airport,13.224137931034482,116
502971,Hollywood City Inn,11.4375,16
77282,Travelodge Hollywood-Vermont/Sunset,18.083333333333332,12
76325,BEST WESTERN Canoga Park Motor Inn,12.5,4
84428,Studio City Court Yard Hotel,12.125,16
223042,Rodeway Inn Convention Center,16.2,5
82578,Beverly Laurel Motor Hotel,9.911764705882353,34
78688,Sportsmen's Lodge Hotel,13.789473684210526,38
77923,Holiday Inn Los Angeles International Airport,13.0,52
77277,Comfort Inn Near Hollywood Walk of Fame,15.1,10
77798,Sheraton Los Angeles Downtown Hotel,16.482758620689655,29
119388,Cadillac Hotel,9.552238805970148,67
84555,BEST WESTERN PLUS Carlyle Inn,13.166666666666666,24
240875,Clarion Inn,13.947368421052632,38
82491,Airtel Plaza Hotel and Conference Center,12.466666666666667,30
81768,Vagabond Inn San Pedro,14.347826086956522,23
76793,Comfort Inn Near Old Town Pasadena - Eagle Rock,13.75,4
119483,Courtyard Los Angeles Century City / Beverly Hills,12.176470588235293,17
77888,Hilton Checkers Hotel - Los Angeles,10.191489361702128,47
77237,Hollywood Hotel,10.830357142857142,112
77708,BEST WESTERN PLUS Royal Palace Inn & Suites,8.263157894736842,19
630945,Park Plaza Lodge Hotel,24.0,1
77866,Millennium Biltmore Hotel Los Angeles,12.826086956521738,138
223046,Miyako Hotel Los Angeles,11.54,50
82148,BEST WESTERN PLUS Carriage Inn,16.22222222222222,9
82656,Hilgard House Hotel,14.692307692307692,13
249696,The Standard Downtown LA,9.740384615384615,104
77970,Travelodge Hotel at LAX,12.0,73
77232,Dunes Inn - Sunset,17.5,2
82679,BEST WESTERN Woodland Hills Inn,12.5,4
223013,Beverly Hills Plaza Hotel,10.846153846153847,26
82636,Royal Palace Westwood,12.0,9
82318,Tarzana Inn,16.0,5
133994,Coral Sands Motel,12.1,10
272703,Hollywood Hills Hotel,16.424242424242426,33
124956,Figueroa Hotel,8.589285714285714,56
81765,Crowne Plaza Los Angeles Harbor Hotel,13.068965517241379,29
119382,Inn at Venice Beach,13.26923076923077,78
77256,Days Inn Hollywood/Universal Studios,9.0,19
84253,Crowne Plaza Los Angeles International Airport Hotel,13.75,64
84182,La Quinta Inn & Suites LAX,10.54054054054054,37
76061,Crowne Plaza Beverly Hills,12.756521739130434,115
82150,Courtyard Los Angeles Sherman Oaks,19.68,25
76458,Ramada Chatsworth,14.2,5
82650,Holiday Inn Express West Los Angeles,17.428571428571427,14
82501,Venice Beach Suites & Hotel,14.416666666666666,24
84453,Residence Inn by Marriott Beverly Hills,19.128205128205128,39
84505,Hollywood Celebrity Hotel,18.882716049382715,162
77787,Luxe City Center Hotel,15.714285714285714,21
77274,Hollywood Roosevelt Hotel - A Thompson Hotel,11.80373831775701,214
77243,BEST WESTERN PLUS Hollywood Hills Hotel,12.681818181818182,66
77917,Embassy Suites LAX North,15.642857142857142,56
208191,Four Points by Sheraton Los Angeles International Airport,11.29,100
621153,Villa Delle Stelle,24.4,5
77874,The Westin Bonaventure Hotel & Suites,14.653061224489797,196
77944,Renaissance Los Angeles Airport Hotel,18.069767441860463,86
76442,Hyatt Regency Century Plaza,14.882352941176471,102
507339,Venice On The Beach Hotel,15.133333333333333,15
84167,Hilton Los Angeles Airport,13.202020202020202,99
78037,Los Angeles Airport Marriott,18.240506329113924,79
119443,The Westin Los Angeles Airport,12.092857142857143,140
638765,InterContinental Los Angeles Century City,23.727272727272727,22
119479,Farmer's Daughter Hotel,13.76595744680851,141
82686,Hilton Woodland Hills,13.090909090909092,22
84522,Hotel Angeleno,21.29032258064516,31
77700,W Los Angeles - Westwood,11.426829268292684,82
119421,The Los Angeles Athletic Club,11.833333333333334,6
274223,Wilshire Crest Hotel,8.142857142857142,7
84561,Orlando Hotel,11.254901960784315,51
595476,Courtyard Los Angeles LAX/Century Boulevard,14.227272727272727,22
