Hotel ID,Hotel Name,Total Rating,Overall Customers
76049,Four Seasons Hotel Los Angeles at Beverly Hills,14.069767441860465,43
82682,Courtyard by Marriott Los Angeles Woodland Hills,21.428571428571427,14
76790,BEST WESTERN PLUS Eagle Rock Inn,23.666666666666668,6
83988,Sea Rock Inn,12.333333333333334,3
504815,Rodeway Inn Hollywood,10.357142857142858,14
223054,Super 8 Motel Los Angeles Downtown,12.0,6
272668,Comfort Inn - Los Angeles / West Sunset Blvd.,19.436363636363637,55
577590,Vibe Hotel,17.3,30
611195,East West Suites,2.0,1
84513,Quality Inn & Suites by Convention Center,12.076923076923077,13
549431,Americas Best Value Inn - Hollywood / Los Angeles,16.166666666666668,12
313508,Motel 6 Canoga Park,12.0,3
576828,Valley Inn & Conference Center,13.2,15
256799,Colony Inn North Hollywood,12.333333333333334,6
240156,Motel 6 Los Angeles - Van Nuys/Sepulveda,10.666666666666666,3
939204,JJ Grand Hotel,5.0,1
223050,Rotex Hotel And Condo,1.0,1
84499,Hollywood Stars Inn,19.25,4
282463,Americas Best Value Inn,11.0,1
570050,Sunset Inn & Suites,12.5,12
84320,Hotel Solaire Los Angeles,10.304347826086957,23
235456,Good Nite Inn Sylmar,9.518518518518519,27
223044,Vagabond Inn Executive,9.678571428571429,28
119492,Beverly Inn,10.8,10
81120,BEST WESTERN Los Angeles Worldport Hotel,12.3,10
559383,Hollywood Inn Express North,7.666666666666667,18
82305,Goldstar Inn,3.0,1
84442,Travelodge Chatsworth,4.5,2
82496,The Voyager Motor Inn,5.833333333333333,6
119399,Hollywood Cityview Inn & Suites,15.333333333333334,3
575416,Marina Seven Motel,11.75,4
77761,Americas Best Value Inn & Suites-Los Angeles Downtown/S.W.,10.0,3
613619,Paradise Inn & Suites,12.0,1
217256,El Patio Inn,12.5,2
266004,Pacific Inn and Suites,14.333333333333334,6
76446,Century Wilshire,7.0,23
82498,Motel 6 Van Nuys,3.0,4
271581,St. George Motor Inn,21.0,3
113229,Highland Gardens Hotel,13.03225806451613,62
549441,Hollywood Inn Express South,10.461538461538462,26
78679,BEST WESTERN PLUS Mikado Hotel,7.5,4
281769,Hollywood Studio Inn & Suites,13.0,2
81285,Sunrise Hotel San Pedro,11.571428571428571,28
217240,Nite Inn at Universal City,6.142857142857143,7
271479,Hometown Inn,15.0,2
271607,Monterey Inn,1.0,1
271601,Del Mar Hotel,3.0,1
291209,Los Feliz Motel,7.0,1
271606,Islander Motel,4.0,2
235134,Super 8 Hollywood,8.047619047619047,21
1225375,Ramada Los Angeles Convention Center,13.5,4
119390,Stars Inn,20.666666666666668,3
248069,Bevonshire Lodge Motel,11.428571428571429,21
77717,Dunes Inn - Wilshire,14.0,3
634746,Travelodge Sylmar/Magic Mountain Area,10.2,10
119434,The Claremont Hotel,10.818181818181818,11
82304,Motel 6 Los Angeles Sylmar,18.5,2
77859,Stillwell Hotel,6.363636363636363,11
84529,Rodeway Inn Los Angeles,8.578947368421053,19
77260,Rodeway Inn,13.708333333333334,24
