Hotel ID,Hotel Name,Total Rating,Overall Customers
76049,Four Seasons Hotel Los Angeles at Beverly Hills,17.318181818181817,66
82682,Courtyard by Marriott Los Angeles Woodland Hills,21.476190476190474,21
76790,BEST WESTERN PLUS Eagle Rock Inn,20.636363636363637,11
83988,Sea Rock Inn,19.153846153846153,13
504815,Rodeway Inn Hollywood,13.10344827586207,29
223054,Super 8 Motel Los Angeles Downtown,18.941176470588236,17
272668,Comfort Inn - Los Angeles / West Sunset Blvd.,18.63013698630137,73
577590,Vibe Hotel,16.023809523809526,42
84513,Quality Inn & Suites by Convention Center,12.666666666666666,18
611195,East West Suites,10.666666666666666,3
549431,Americas Best Value Inn - Hollywood / Los Angeles,15.384615384615385,26
78679,BEST WESTERN PLUS Mikado Hotel,13.7,10
113229,Highland Gardens Hotel,12.824324324324325,74
576828,Valley Inn & Conference Center,11.857142857142858,49
313508,Motel 6 Canoga Park,13.2,5
256799,Colony Inn North Hollywood,12.333333333333334,6
939204,JJ Grand Hotel,14.5,4
240156,Motel 6 Los Angeles - Van Nuys/Sepulveda,8.75,4
235456,Good Nite Inn Sylmar,12.682539682539682,63
223050,Rotex Hotel And Condo,1.0,1
1457221,Shelter Hotels Los Angeles,28.5,2
84499,Hollywood Stars Inn,9.26923076923077,26
84320,Hotel Solaire Los Angeles,11.906976744186046,43
282463,Americas Best Value Inn,9.5,2
223044,Vagabond Inn Executive,10.512820512820513,39
570050,Sunset Inn & Suites,12.277777777777779,18
119492,Beverly Inn,10.785714285714286,14
81120,BEST WESTERN Los Angeles Worldport Hotel,14.0,12
559383,Hollywood Inn Express North,8.464285714285714,28
84442,Travelodge Chatsworth,7.0,4
535826,Paradise Lodge Hotel,12.0,1
82305,Goldstar Inn,14.5,2
82496,The Voyager Motor Inn,5.833333333333333,6
119399,Hollywood Cityview Inn & Suites,16.0,4
575416,Marina Seven Motel,13.333333333333334,6
77761,Americas Best Value Inn & Suites-Los Angeles Downtown/S.W.,8.25,4
613619,Paradise Inn & Suites,9.5,4
217256,El Patio Inn,12.2,5
1186068,Budget Inn Hollywood,8.666666666666666,3
549441,Hollywood Inn Express South,12.48936170212766,47
266004,Pacific Inn and Suites,14.333333333333334,6
76446,Century Wilshire,7.0,23
1223148,Starlight Inn,17.5,2
82498,Motel 6 Van Nuys,7.571428571428571,7
217240,Nite Inn at Universal City,7.333333333333333,12
81285,Sunrise Hotel San Pedro,12.923076923076923,39
281769,Hollywood Studio Inn & Suites,9.8,15
247755,Economy Inn Hollywood,21.0,2
271581,St. George Motor Inn,23.4,5
84202,Lincoln Inn,27.5,2
249704,Americas Best Value Inn,20.0,1
1225375,Ramada Los Angeles Convention Center,20.46875,32
271479,Hometown Inn,15.666666666666666,6
817023,777 Motor Inn,14.666666666666666,3
235134,Super 8 Hollywood,10.64102564102564,39
271607,Monterey Inn,5.0,2
271601,Del Mar Hotel,3.0,1
291209,Los Feliz Motel,7.0,1
271606,Islander Motel,4.0,2
119390,Stars Inn,16.875,8
271481,Travel Inn,19.0,1
248069,Bevonshire Lodge Motel,12.653846153846153,26
84441,Economy Inn Motel,30.0,1
84365,Rodeway Inn Culver City,18.928571428571427,14
77717,Dunes Inn - Wilshire,13.8,5
77809,Kawada Hotel,11.985074626865671,67
634746,Travelodge Sylmar/Magic Mountain Area,9.818181818181818,11
77262,Hollywood Premiere Motel,1.0,1
82304,Motel 6 Los Angeles Sylmar,15.6,5
119434,The Claremont Hotel,12.714285714285714,14
77260,Rodeway Inn,14.34375,32
77859,Stillwell Hotel,10.705882352941176,17
84529,Rodeway Inn Los Angeles,10.090909090909092,22
235430,BLVD Hotel & Suites,9.943661971830986,71
613137,Royal Pagoda Motel,19.580645161290324,31
225809,Best Inn Hollywood,17.82758620689655,29
