Hotel ID,Hotel Name,Total Rating,Overall Customers
76049,Four Seasons Hotel Los Angeles at Beverly Hills,23.387283236994218,173
82682,Courtyard by Marriott Los Angeles Woodland Hills,22.833333333333332,36
76790,BEST WESTERN PLUS Eagle Rock Inn,21.055555555555557,18
83988,Sea Rock Inn,22.307692307692307,39
272668,Comfort Inn - Los Angeles / West Sunset Blvd.,19.767857142857142,112
504815,Rodeway Inn Hollywood,17.016949152542374,59
223054,Super 8 Motel Los Angeles Downtown,19.522727272727273,44
1457221,Shelter Hotels Los Angeles,20.394957983193276,119
577590,Vibe Hotel,15.44,50
549431,Americas Best Value Inn - Hollywood / Los Angeles,13.407407407407407,54
1528649,Garden Suites Hotel & Resort,16.0,1
113229,Highland Gardens Hotel,12.663461538461538,104
84513,Quality Inn & Suites by Convention Center,15.16,25
78679,BEST WESTERN PLUS Mikado Hotel,17.454545454545453,22
235456,Good Nite Inn Sylmar,14.871287128712872,101
576828,Valley Inn & Conference Center,11.41891891891892,74
611195,East West Suites,11.6,5
1225375,Ramada Los Angeles Convention Center,20.138461538461538,65
313508,Motel 6 Canoga Park,12.666666666666666,9
84320,Hotel Solaire Los Angeles,13.48,75
84499,Hollywood Stars Inn,9.772727272727273,44
240156,Motel 6 Los Angeles - Van Nuys/Sepulveda,11.8,10
271595,Ambassador Hotel,7.5,2
256799,Colony Inn North Hollywood,12.333333333333334,6
570050,Sunset Inn & Suites,11.615384615384615,39
939204,JJ Grand Hotel,13.0,8
81120,BEST WESTERN Los Angeles Worldport Hotel,14.944444444444445,18
223044,Vagabond Inn Executive,11.352941176470589,51
1645834,Seaway Motel,2.0,1
223050,Rotex Hotel And Condo,13.0,4
282463,Americas Best Value Inn,16.625,16
119492,Beverly Inn,16.033333333333335,30
559383,Hollywood Inn Express North,9.909090909090908,55
549441,Hollywood Inn Express South,12.613636363636363,88
84442,Travelodge Chatsworth,16.642857142857142,14
535826,Paradise Lodge Hotel,11.0,2
82305,Goldstar Inn,14.5,2
82496,The Voyager Motor Inn,6.666666666666667,9
119399,Hollywood Cityview Inn & Suites,18.5,6
575416,Marina Seven Motel,12.875,8
1591524,City Center Hotel,14.0,12
217256,El Patio Inn,15.272727272727273,11
77761,Americas Best Value Inn & Suites-Los Angeles Downtown/S.W.,7.285714285714286,7
613619,Paradise Inn & Suites,11.636363636363637,11
1186068,Budget Inn Hollywood,9.692307692307692,13
82498,Motel 6 Van Nuys,9.529411764705882,17
1223148,Starlight Inn,12.2,5
266004,Pacific Inn and Suites,14.875,8
76446,Century Wilshire,7.0,24
217240,Nite Inn at Universal City,10.558823529411764,34
81285,Sunrise Hotel San Pedro,13.625,48
249704,Americas Best Value Inn,23.6,5
281769,Hollywood Studio Inn & Suites,10.75,24
1229893,Hyland Motel Van Nuys,18.75,4
1743425,Extended Stay America,21.666666666666668,3
247755,Economy Inn Hollywood,22.4,5
271581,St. George Motor Inn,23.857142857142858,7
1642879,Valley Lodge Motel,14.0,1
84202,Lincoln Inn,21.166666666666668,6
235134,Super 8 Hollywood,13.661764705882353,68
77809,Kawada Hotel,13.880952380952381,126
271479,Hometown Inn,15.666666666666666,6
817023,777 Motor Inn,17.666666666666668,6
244432,Motel 6 Los Angeles - Harbor City,21.5,2
271607,Monterey Inn,7.0,3
235430,BLVD Hotel & Suites,12.104761904761904,105
