Hotel ID,Hotel Name,Total Rating,Overall Customers
85353,Drury Inn Denver East,4.0,1
119939,Motel 5,1.0,1
114326,Loews Denver Hotel,5.0,1
85341,Comfort Inn Central,5.0,1
82960,Holiday Inn Select Denver - Cherry Creek,4.0,4
120083,Denver Marriott Tech Center,4.0,1
85325,Ramada Inn Downtown Denver,2.0,2
85332,Doubletree by Hilton Hotel Denver,5.0,1
83099,The Westin Denver Downtown,3.0,1
83046,Grand Hyatt Denver Downtown,2.0,1
83093,The Oxford Hotel,5.0,1
83097,Warwick Denver Hotel,4.666666666666667,3
120056,Hotel Monaco Denver - a Kimpton Hotel,3.5,2
120058,Hotel Teatro,2.6666666666666665,3
