Hotel ID,Hotel Name,Total Rating,Overall Customers
83044,Howard Johnson Inn Denver,3.5,2
85353,Drury Inn Denver East,14.125,8
82992,Days Inn Central,4.333333333333333,3
119939,Motel 5,1.0,1
119949,Budget Inn Motel,3.5,2
82976,Super 8 Denver Stapleton,13.0,2
223852,TownePlace Suites Denver Downtown,12.0,2
85375,Comfort Inn Denver International Airport,6.5,4
543093,Courtyard by Marriott Denver Cherry Creek,11.714285714285714,7
85638,Denver Stapleton Hotel,3.6666666666666665,3
114326,Loews Denver Hotel,5.3,10
83091,The Burnsley All Suite Hotel,10.444444444444445,18
85343,Denver's Best Inn and Suites,15.0,2
119975,Jet Hotel,8.0,5
85330,Comfort Inn & Suites,14.0,1
85346,La Quinta Inn Denver Cherry Creek,15.0,2
111562,Renaissance Denver Hotel,7.3,10
120036,Notel Motel,3.75,4
85341,Comfort Inn Central,5.0,1
119941,Crowne Plaza Hotel Denver,7.375,8
83060,Four Points by Sheraton Denver Southeast,17.6,10
82982,Comfort Inn Downtown,8.666666666666666,9
85366,Quality Inn Denver,1.5,2
82984,Courtyard by Marriott Denver Stapleton,9.0,1
85344,La Quinta Inn Denver Central,5.0,2
85359,Comfort Suites Denver International Airport,10.5,2
83023,Fairfield Inn Denver Cherry Creek,10.0,4
85357,Days Inn & Suites DIA-Denver International Airport,15.333333333333334,3
225090,Microtel Inn by Wyndham Denver,17.0,1
83014,Embassy Suites Denver - Southeast,9.857142857142858,7
82960,Holiday Inn Select Denver - Cherry Creek,5.352941176470588,17
120072,Hampton Inn Denver - International Airport,12.0,1
81023,The Timbers Hotel,23.0,1
120083,Denver Marriott Tech Center,6.8,5
270508,Hotel VQ,5.684210526315789,19
85325,Ramada Inn Downtown Denver,9.88888888888889,9
83057,Denver Marriott City Center,5.714285714285714,7
225093,Red Lion Hotel Denver Central,8.6,5
1190033,Hilton Garden Inn Denver Tech Center,10.5,12
125845,Embassy Suites Hotel Denver - Aurora,6.333333333333333,6
83081,Quality Inn & Suites Denver International Airport,10.0,1
120029,Residence Inn Denver Downtown,12.307692307692308,13
83038,Ramada Plaza Denver Central Hotel,3.6666666666666665,3
85372,Courtyard by Marriott Denver Airport,7.0,4
1751673,Super 8 Denver - Airport,11.0,2
85332,Doubletree by Hilton Hotel Denver,11.833333333333334,6
83051,Hyatt Regency Denver Tech Center,11.384615384615385,13
85352,Hampton Inn & Suites Denver Tech Center,19.0,1
258669,Embassy Suites Denver-International Airport,13.571428571428571,7
119992,Fairfield Inn Denver Airport,15.8,5
83099,The Westin Denver Downtown,9.481481481481481,27
83046,Grand Hyatt Denver Downtown,10.952380952380953,21
85368,La Quinta Inn & Suites Denver Airport DIA,5.0,1
83093,The Oxford Hotel,11.25,16
119993,Courtyard by Marriott Denver Downtown,6.666666666666667,3
83097,Warwick Denver Hotel,8.409090909090908,22
120056,Hotel Monaco Denver - a Kimpton Hotel,7.517241379310345,29
83088,The Brown Palace Hotel and Spa,8.666666666666666,12
308759,JW Marriott Denver Cherry Creek,13.3,10
120058,Hotel Teatro,5.5,18
530585,"Country Inn & Suites By Carlson, Denver International Airport",23.0,1
83040,Magnolia Hotel Denver,9.705882352941176,17
