Hotel ID,Hotel Name,Total Rating,Overall Customers
119998,Bar X Motel,8.0,1
111550,Cameron Motel,9.0,1
83095,Rockies Inn,8.25,4
589144,Valli-Hi Motor Hotel,3.0,2
85353,Drury Inn Denver East,18.625,24
83086,Royal Palace Motel,1.0,1
83061,Motel 6 Denver Central,24.0,1
119948,Budget Host Inn,2.0,1
671614,Knights Inn Denver - Gateway to Downtown,16.0,1
82992,Days Inn Central,4.888888888888889,9
83044,Howard Johnson Inn Denver,4.25,4
223852,TownePlace Suites Denver Downtown,22.176470588235293,17
119939,Motel 5,1.0,1
119949,Budget Inn Motel,3.5,2
120014,Town and Country Motel,30.0,1
82976,Super 8 Denver Stapleton,9.666666666666666,6
85375,Comfort Inn Denver International Airport,11.4,15
543093,Courtyard by Marriott Denver Cherry Creek,14.142857142857142,14
119929,Super 8 Denver / I25 & 58th Ave.,8.5,2
119981,Homestead Studio Suites - Denver - Tech Center - North,8.0,5
114326,Loews Denver Hotel,14.558823529411764,34
85638,Denver Stapleton Hotel,4.8,5
83091,The Burnsley All Suite Hotel,12.76923076923077,39
85343,Denver's Best Inn and Suites,10.083333333333334,24
119975,Jet Hotel,9.571428571428571,21
119928,Ramada Denver Midtown,12.875,8
85330,Comfort Inn & Suites,19.142857142857142,7
111562,Renaissance Denver Hotel,13.766666666666667,30
85346,La Quinta Inn Denver Cherry Creek,16.333333333333332,3
120036,Notel Motel,5.333333333333333,6
85341,Comfort Inn Central,12.0,5
83060,Four Points by Sheraton Denver Southeast,18.8,45
119941,Crowne Plaza Hotel Denver,9.772727272727273,22
82982,Comfort Inn Downtown,14.323529411764707,34
119938,Motel 6 Denver - Airport,16.0,1
119997,Belcaro Motel,20.5,2
83100,TownePlace Suites Denver Southeast,25.4,10
85366,Quality Inn Denver,8.6,5
82984,Courtyard by Marriott Denver Stapleton,22.5,4
85344,La Quinta Inn Denver Central,11.818181818181818,11
85359,Comfort Suites Denver International Airport,15.5,10
83023,Fairfield Inn Denver Cherry Creek,16.615384615384617,13
81023,The Timbers Hotel,13.864864864864865,37
85357,Days Inn & Suites DIA-Denver International Airport,16.2,5
83014,Embassy Suites Denver - Southeast,12.76923076923077,13
225090,Microtel Inn by Wyndham Denver,14.333333333333334,3
82960,Holiday Inn Select Denver - Cherry Creek,10.142857142857142,28
270508,Hotel VQ,9.285714285714286,35
120072,Hampton Inn Denver - International Airport,14.857142857142858,7
85325,Ramada Inn Downtown Denver,10.928571428571429,28
120083,Denver Marriott Tech Center,15.181818181818182,11
225093,Red Lion Hotel Denver Central,12.17142857142857,35
83057,Denver Marriott City Center,15.548387096774194,31
530656,Inn at Cherry Creek,16.333333333333332,9
1190033,Hilton Garden Inn Denver Tech Center,11.72,25
120029,Residence Inn Denver Downtown,17.65625,32
125845,Embassy Suites Hotel Denver - Aurora,10.181818181818182,11
83081,Quality Inn & Suites Denver International Airport,17.444444444444443,9
83038,Ramada Plaza Denver Central Hotel,11.25,8
85372,Courtyard by Marriott Denver Airport,10.5,8
1751673,Super 8 Denver - Airport,12.625,8
85332,Doubletree by Hilton Hotel Denver,14.8,20
83051,Hyatt Regency Denver Tech Center,14.23076923076923,26
85352,Hampton Inn & Suites Denver Tech Center,21.3,10
258669,Embassy Suites Denver-International Airport,19.16,25
119992,Fairfield Inn Denver Airport,18.4,15
578192,Hampton Inn & Suites Denver Downtown,23.6,35
596431,Hampton Inn & Suites Denver-Speer Boulevard,24.545454545454547,11
83099,The Westin Denver Downtown,12.661016949152541,59
83046,Grand Hyatt Denver Downtown,16.05263157894737,57
657868,Hilton Garden Inn Denver Downtown,22.0,1
85368,La Quinta Inn & Suites Denver Airport DIA,15.518518518518519,27
83093,The Oxford Hotel,14.953488372093023,43
119993,Courtyard by Marriott Denver Downtown,20.210526315789473,19
83097,Warwick Denver Hotel,11.07843137254902,51
308759,JW Marriott Denver Cherry Creek,18.512820512820515,39
120056,Hotel Monaco Denver - a Kimpton Hotel,17.416666666666668,96
578190,Residence Inn Denver City Center,24.78125,32
83020,The Curtis,20.372093023255815,43
573340,Hyatt Regency Denver At Colorado Convention Center,21.924242424242426,66
83088,The Brown Palace Hotel and Spa,15.849056603773585,53
120058,Hotel Teatro,14.692307692307692,52
530585,"Country Inn & Suites By Carlson, Denver International Airport",18.083333333333332,24
83040,Magnolia Hotel Denver,17.765625,64
