Hotel ID,Hotel Name,Total Rating,Overall Customers
119998,Bar X Motel,8.0,1
111550,Cameron Motel,9.0,1
83095,Rockies Inn,12.285714285714286,7
120087,Broadway Plaza Motel,19.0,1
589144,Valli-Hi Motor Hotel,3.0,2
85353,Drury Inn Denver East,18.96551724137931,29
83086,Royal Palace Motel,3.5,2
671614,Knights Inn Denver - Gateway to Downtown,8.5,4
83061,Motel 6 Denver Central,24.0,1
119948,Budget Host Inn,7.25,4
82992,Days Inn Central,5.5,12
83044,Howard Johnson Inn Denver,5.833333333333333,6
223852,TownePlace Suites Denver Downtown,23.26923076923077,26
82976,Super 8 Denver Stapleton,12.083333333333334,12
119939,Motel 5,4.333333333333333,3
119949,Budget Inn Motel,3.5,2
120014,Town and Country Motel,30.0,1
120099,Anchor Motel,9.0,1
85338,Stay Inn,6.0,1
85375,Comfort Inn Denver International Airport,11.277777777777779,18
543093,Courtyard by Marriott Denver Cherry Creek,16.476190476190474,21
119981,Homestead Studio Suites - Denver - Tech Center - North,8.5,8
114326,Loews Denver Hotel,15.744186046511627,43
119929,Super 8 Denver / I25 & 58th Ave.,9.8,5
83091,The Burnsley All Suite Hotel,14.717391304347826,46
85638,Denver Stapleton Hotel,4.8,5
119975,Jet Hotel,12.0,36
85343,Denver's Best Inn and Suites,9.962962962962964,27
111562,Renaissance Denver Hotel,16.0,45
119928,Ramada Denver Midtown,11.333333333333334,12
85330,Comfort Inn & Suites,18.454545454545453,11
85346,La Quinta Inn Denver Cherry Creek,14.857142857142858,7
120036,Notel Motel,5.333333333333333,6
83060,Four Points by Sheraton Denver Southeast,18.410714285714285,56
119941,Crowne Plaza Hotel Denver,13.81578947368421,38
119914,11th Avenue Hotel & Hostel,2.0,1
85341,Comfort Inn Central,12.857142857142858,7
82982,Comfort Inn Downtown,15.222222222222221,45
119938,Motel 6 Denver - Airport,14.5,2
119997,Belcaro Motel,21.666666666666668,3
83100,TownePlace Suites Denver Southeast,25.285714285714285,14
85366,Quality Inn Denver,12.5,8
82984,Courtyard by Marriott Denver Stapleton,20.916666666666668,12
83023,Fairfield Inn Denver Cherry Creek,17.533333333333335,15
85359,Comfort Suites Denver International Airport,18.5625,16
85344,La Quinta Inn Denver Central,11.2,15
81023,The Timbers Hotel,14.581395348837209,43
270508,Hotel VQ,10.16,50
82960,Holiday Inn Select Denver - Cherry Creek,12.371428571428572,35
85357,Days Inn & Suites DIA-Denver International Airport,15.5,6
83014,Embassy Suites Denver - Southeast,13.6,20
120072,Hampton Inn Denver - International Airport,13.833333333333334,12
225090,Microtel Inn by Wyndham Denver,20.166666666666668,6
85325,Ramada Inn Downtown Denver,11.368421052631579,38
120083,Denver Marriott Tech Center,15.357142857142858,14
225093,Red Lion Hotel Denver Central,13.9,50
83031,Crowne Plaza Denver International Airport,14.666666666666666,9
83057,Denver Marriott City Center,15.461538461538462,39
530656,Inn at Cherry Creek,16.7,10
83038,Ramada Plaza Denver Central Hotel,12.1,10
1190033,Hilton Garden Inn Denver Tech Center,13.4375,32
120029,Residence Inn Denver Downtown,18.72093023255814,43
125845,Embassy Suites Hotel Denver - Aurora,14.31578947368421,19
83081,Quality Inn & Suites Denver International Airport,20.294117647058822,17
85372,Courtyard by Marriott Denver Airport,12.454545454545455,11
673588,Springhill Suites Denver Airport,24.4,5
1751673,Super 8 Denver - Airport,16.666666666666668,15
85332,Doubletree by Hilton Hotel Denver,16.03448275862069,29
83051,Hyatt Regency Denver Tech Center,16.11111111111111,36
85352,Hampton Inn & Suites Denver Tech Center,21.857142857142858,14
258669,Embassy Suites Denver-International Airport,18.59375,32
119992,Fairfield Inn Denver Airport,18.72222222222222,18
578192,Hampton Inn & Suites Denver Downtown,23.959183673469386,49
596431,Hampton Inn & Suites Denver-Speer Boulevard,24.176470588235293,17
83099,The Westin Denver Downtown,15.209876543209877,81
83046,Grand Hyatt Denver Downtown,18.134146341463413,82
657868,Hilton Garden Inn Denver Downtown,22.846153846153847,13
85368,La Quinta Inn & Suites Denver Airport DIA,18.333333333333332,39
83093,The Oxford Hotel,16.06896551724138,58
119993,Courtyard by Marriott Denver Downtown,20.63157894736842,38
83097,Warwick Denver Hotel,12.19047619047619,63
82961,Sheraton Denver Downtown Hotel,22.5,2
308759,JW Marriott Denver Cherry Creek,20.134615384615383,52
120056,Hotel Monaco Denver - a Kimpton Hotel,19.015625,128
578190,Residence Inn Denver City Center,25.29824561403509,57
83020,The Curtis,21.59493670886076,79
573340,Hyatt Regency Denver At Colorado Convention Center,23.048,125
83088,The Brown Palace Hotel and Spa,17.4251968503937,127
878358,"The Ritz-Carlton, Denver",28.11764705882353,17
120058,Hotel Teatro,17.205882352941178,68
530585,"Country Inn & Suites By Carlson, Denver International Airport",19.727272727272727,33
83040,Magnolia Hotel Denver,19.326315789473686,95
