Hotel ID,Hotel Name,Total Rating,Overall Customers
119998,Bar X Motel,8.0,1
85353,Drury Inn Denver East,19.463414634146343,41
111550,Cameron Motel,8.0,2
83095,Rockies Inn,12.285714285714286,7
120087,Broadway Plaza Motel,15.4,5
223852,TownePlace Suites Denver Downtown,24.403846153846153,52
83061,Motel 6 Denver Central,13.2,5
589144,Valli-Hi Motor Hotel,4.333333333333333,3
83086,Royal Palace Motel,6.0,5
1238865,Holiday Inn Express Denver Airport,25.0,5
671614,Knights Inn Denver - Gateway to Downtown,6.0,9
119948,Budget Host Inn,12.125,8
83044,Howard Johnson Inn Denver,7.7272727272727275,11
82992,Days Inn Central,6.611111111111111,18
82976,Super 8 Denver Stapleton,12.6,20
85375,Comfort Inn Denver International Airport,13.827586206896552,29
119939,Motel 5,4.333333333333333,3
119949,Budget Inn Motel,5.333333333333333,3
85338,Stay Inn,3.5,2
120014,Town and Country Motel,30.0,1
120099,Anchor Motel,9.0,1
120040,Newhouse Hotel,19.5,2
120006,Western Motor Inn,13.0,1
543093,Courtyard by Marriott Denver Cherry Creek,20.027027027027028,37
119981,Homestead Studio Suites - Denver - Tech Center - North,17.11764705882353,17
119929,Super 8 Denver / I25 & 58th Ave.,10.571428571428571,7
120017,Stonewall Motel,13.0,1
114326,Loews Denver Hotel,18.338709677419356,62
83091,The Burnsley All Suite Hotel,17.264367816091955,87
119975,Jet Hotel,13.511111111111111,45
111562,Renaissance Denver Hotel,18.763157894736842,76
85638,Denver Stapleton Hotel,4.8,5
85343,Denver's Best Inn and Suites,12.21951219512195,41
85330,Comfort Inn & Suites,19.5,20
119928,Ramada Denver Midtown,11.482758620689655,29
85346,La Quinta Inn Denver Cherry Creek,18.61904761904762,21
119941,Crowne Plaza Hotel Denver,16.5875,80
83060,Four Points by Sheraton Denver Southeast,17.855263157894736,76
120036,Notel Motel,6.375,8
82982,Comfort Inn Downtown,17.921348314606742,89
85341,Comfort Inn Central,17.133333333333333,15
1176784,Econo Lodge Downtown,12.666666666666666,3
119914,11th Avenue Hotel & Hostel,13.25,4
119938,Motel 6 Denver - Airport,15.2,5
119997,Belcaro Motel,21.666666666666668,3
83100,TownePlace Suites Denver Southeast,24.1875,16
85366,Quality Inn Denver,15.38888888888889,18
85359,Comfort Suites Denver International Airport,20.525,40
82984,Courtyard by Marriott Denver Stapleton,18.466666666666665,15
85344,La Quinta Inn Denver Central,16.037037037037038,27
83023,Fairfield Inn Denver Cherry Creek,19.5,26
270508,Hotel VQ,15.206521739130435,92
81023,The Timbers Hotel,16.229508196721312,61
83014,Embassy Suites Denver - Southeast,18.916666666666668,36
82960,Holiday Inn Select Denver - Cherry Creek,13.882352941176471,51
85325,Ramada Inn Downtown Denver,13.0,77
85357,Days Inn & Suites DIA-Denver International Airport,18.666666666666668,21
225090,Microtel Inn by Wyndham Denver,17.0,12
225093,Red Lion Hotel Denver Central,16.82894736842105,76
83057,Denver Marriott City Center,18.426470588235293,68
120072,Hampton Inn Denver - International Airport,18.727272727272727,22
120083,Denver Marriott Tech Center,18.129032258064516,31
83031,Crowne Plaza Denver International Airport,19.032258064516128,31
530656,Inn at Cherry Creek,21.25,24
1238857,Holiday Inn Hotel & Suites Denver Airport,19.75,4
1190033,Hilton Garden Inn Denver Tech Center,17.21276595744681,47
83038,Ramada Plaza Denver Central Hotel,15.9,20
120029,Residence Inn Denver Downtown,20.609375,64
125845,Embassy Suites Hotel Denver - Aurora,19.045454545454547,44
83081,Quality Inn & Suites Denver International Airport,21.56756756756757,37
673588,Springhill Suites Denver Airport,25.5625,16
85372,Courtyard by Marriott Denver Airport,17.9,20
83070,Holiday Inn Denver East-Stapleton,28.0,3
85332,Doubletree by Hilton Hotel Denver,19.0,56
1751673,Super 8 Denver - Airport,16.681818181818183,22
83051,Hyatt Regency Denver Tech Center,18.50793650793651,63
85352,Hampton Inn & Suites Denver Tech Center,23.904761904761905,21
258669,Embassy Suites Denver-International Airport,19.7,50
119992,Fairfield Inn Denver Airport,19.742857142857144,35
578192,Hampton Inn & Suites Denver Downtown,24.116883116883116,77
83099,The Westin Denver Downtown,19.357142857142858,140
596431,Hampton Inn & Suites Denver-Speer Boulevard,24.5,32
218788,Hilton Garden Inn Denver Cherry Creek,29.333333333333332,6
83046,Grand Hyatt Denver Downtown,21.379746835443036,158
657868,Hilton Garden Inn Denver Downtown,25.666666666666668,39
1026992,Staybridge Suites Denver International Airport,24.4,45
85368,La Quinta Inn & Suites Denver Airport DIA,21.597560975609756,82
83093,The Oxford Hotel,18.67676767676768,99
1653655,Baymont Inn and Suites Denver International Airport,33.0,2
83097,Warwick Denver Hotel,17.067226890756302,119
82961,Sheraton Denver Downtown Hotel,20.305084745762713,118
119993,Courtyard by Marriott Denver Downtown,23.042857142857144,70
120056,Hotel Monaco Denver - a Kimpton Hotel,21.15841584158416,202
308759,JW Marriott Denver Cherry Creek,23.023529411764706,85
83020,The Curtis,22.741935483870968,186
578190,Residence Inn Denver City Center,26.475409836065573,122
83088,The Brown Palace Hotel and Spa,22.20327868852459,305
573340,Hyatt Regency Denver At Colorado Convention Center,23.795833333333334,240
1149434,Homewood Suites Denver International Airport,30.142857142857142,21
878358,"The Ritz-Carlton, Denver",26.88157894736842,76
120058,Hotel Teatro,23.670103092783506,194
530585,"Country Inn & Suites By Carlson, Denver International Airport",25.647058823529413,102
83040,Magnolia Hotel Denver,25.630177514792898,338
