Hotel ID,Hotel Name,Total Rating,Overall Customers
223852,TownePlace Suites Denver Downtown,24.76530612244898,98
85353,Drury Inn Denver East,21.125,64
543093,Courtyard by Marriott Denver Cherry Creek,22.528846153846153,104
1238865,Holiday Inn Express Denver Airport,23.644444444444446,45
119998,Bar X Motel,8.0,1
83091,The Burnsley All Suite Hotel,20.7875,160
114326,Loews Denver Hotel,21.747899159663866,119
111550,Cameron Motel,7.75,4
83104,Venture Inn,8.0,2
83095,Rockies Inn,12.285714285714286,7
120087,Broadway Plaza Motel,10.5,10
119948,Budget Host Inn,12.80952380952381,21
83061,Motel 6 Denver Central,14.8,10
589144,Valli-Hi Motor Hotel,5.0,6
83086,Royal Palace Motel,6.0,6
671614,Knights Inn Denver - Gateway to Downtown,8.117647058823529,17
111562,Renaissance Denver Hotel,21.805194805194805,154
82992,Days Inn Central,9.692307692307692,26
83044,Howard Johnson Inn Denver,9.588235294117647,17
82976,Super 8 Denver Stapleton,12.487804878048781,41
85375,Comfort Inn Denver International Airport,14.595744680851064,47
119939,Motel 5,4.333333333333333,3
119949,Budget Inn Motel,5.333333333333333,3
85338,Stay Inn,4.666666666666667,3
120003,7 Star Motel,8.0,1
120014,Town and Country Motel,19.0,2
120099,Anchor Motel,9.0,1
120040,Newhouse Hotel,13.25,4
120006,Western Motor Inn,19.333333333333332,3
120042,Motel 9,7.0,1
119981,Homestead Studio Suites - Denver - Tech Center - North,17.392857142857142,28
119975,Jet Hotel,13.936708860759493,79
119929,Super 8 Denver / I25 & 58th Ave.,9.538461538461538,13
85343,Denver's Best Inn and Suites,12.354166666666666,96
120017,Stonewall Motel,13.0,1
119941,Crowne Plaza Hotel Denver,21.744791666666668,192
119928,Ramada Denver Midtown,12.476923076923077,65
85638,Denver Stapleton Hotel,4.8,5
85330,Comfort Inn & Suites,19.942857142857143,35
85346,La Quinta Inn Denver Cherry Creek,18.710526315789473,38
82982,Comfort Inn Downtown,19.303797468354432,158
83060,Four Points by Sheraton Denver Southeast,17.71794871794872,78
120036,Notel Motel,8.222222222222221,9
83057,Denver Marriott City Center,22.253246753246753,154
81026,Quality Inn Central Denver,22.23728813559322,59
119938,Motel 6 Denver - Airport,19.238095238095237,21
120050,La Rue Motel,16.0,2
1176784,Econo Lodge Downtown,15.5,22
119914,11th Avenue Hotel & Hostel,18.166666666666668,18
85341,Comfort Inn Central,18.625,24
270508,Hotel VQ,17.265895953757227,173
82960,Holiday Inn Select Denver - Cherry Creek,17.967741935483872,93
119997,Belcaro Motel,21.666666666666668,3
83100,TownePlace Suites Denver Southeast,24.095238095238095,21
85359,Comfort Suites Denver International Airport,21.71875,64
85366,Quality Inn Denver,17.393939393939394,33
85325,Ramada Inn Downtown Denver,15.731543624161073,149
82984,Courtyard by Marriott Denver Stapleton,20.545454545454547,33
83023,Fairfield Inn Denver Cherry Creek,21.71698113207547,53
81023,The Timbers Hotel,17.57894736842105,95
85344,La Quinta Inn Denver Central,17.15,40
225093,Red Lion Hotel Denver Central,18.273972602739725,146
83031,Crowne Plaza Denver International Airport,20.642105263157895,95
83014,Embassy Suites Denver - Southeast,21.506849315068493,73
120083,Denver Marriott Tech Center,21.092105263157894,76
83072,BEST WESTERN PLUS Denver Hotel,21.671232876712327,73
85357,Days Inn & Suites DIA-Denver International Airport,18.37878787878788,66
225090,Microtel Inn by Wyndham Denver,18.1,50
120072,Hampton Inn Denver - International Airport,19.0,46
83038,Ramada Plaza Denver Central Hotel,17.023255813953487,43
530656,Inn at Cherry Creek,23.916666666666668,36
1190033,Hilton Garden Inn Denver Tech Center,19.92105263157895,76
1238857,Holiday Inn Hotel & Suites Denver Airport,25.161290322580644,31
125845,Embassy Suites Hotel Denver - Aurora,22.96842105263158,95
120029,Residence Inn Denver Downtown,22.121495327102803,107
83070,Holiday Inn Denver East-Stapleton,26.698924731182796,93
83081,Quality Inn & Suites Denver International Airport,23.21518987341772,79
85332,Doubletree by Hilton Hotel Denver,21.813793103448276,145
82961,Sheraton Denver Downtown Hotel,23.7102615694165,497
83051,Hyatt Regency Denver Tech Center,23.02054794520548,146
673588,Springhill Suites Denver Airport,25.683333333333334,60
85372,Courtyard by Marriott Denver Airport,20.865384615384617,52
1751673,Super 8 Denver - Airport,21.12,50
83099,The Westin Denver Downtown,22.85084745762712,295
85352,Hampton Inn & Suites Denver Tech Center,24.854545454545455,55
578192,Hampton Inn & Suites Denver Downtown,24.571428571428573,140
83046,Grand Hyatt Denver Downtown,23.343234323432345,303
258669,Embassy Suites Denver-International Airport,21.967032967032967,91
119992,Fairfield Inn Denver Airport,21.7027027027027,74
218788,Hilton Garden Inn Denver Cherry Creek,25.397260273972602,73
596431,Hampton Inn & Suites Denver-Speer Boulevard,25.442857142857143,70
85368,La Quinta Inn & Suites Denver Airport DIA,24.106060606060606,198
83097,Warwick Denver Hotel,22.439393939393938,264
657868,Hilton Garden Inn Denver Downtown,27.175182481751825,137
2085146,La Quinta Inn & Suites Denver Gateway Park,28.789473684210527,19
1026992,Staybridge Suites Denver International Airport,25.722772277227723,101
83093,The Oxford Hotel,23.532663316582916,199
83020,The Curtis,25.202409638554215,415
1737951,HYATT house Denver Airport,30.05263157894737,57
119993,Courtyard by Marriott Denver Downtown,26.64179104477612,201
120056,Hotel Monaco Denver - a Kimpton Hotel,24.008130081300813,369
1653655,Baymont Inn and Suites Denver International Airport,24.76271186440678,59
83088,The Brown Palace Hotel and Spa,23.808641975308642,486
578190,Residence Inn Denver City Center,27.397435897435898,234
573340,Hyatt Regency Denver At Colorado Convention Center,25.37579617834395,471
308759,JW Marriott Denver Cherry Creek,25.759493670886076,158
120058,Hotel Teatro,26.008955223880598,335
878358,"The Ritz-Carlton, Denver",28.36046511627907,172
1149434,Homewood Suites Denver International Airport,29.36842105263158,133
1845691,Four Seasons Hotel Denver,28.929936305732483,157
1859056,Embassy Suites Denver - Downtown / Convention Center,29.591743119266056,218
83040,Magnolia Hotel Denver,27.69326241134752,1128
530585,"Country Inn & Suites By Carlson, Denver International Airport",27.926829268292682,369
