Hotel ID,Hotel Name,Total Rating,Overall Customers
223852,TownePlace Suites Denver Downtown,24.666666666666668,96
85353,Drury Inn Denver East,21.125,64
1238865,Holiday Inn Express Denver Airport,23.477272727272727,44
543093,Courtyard by Marriott Denver Cherry Creek,22.26,100
119998,Bar X Motel,8.0,1
114326,Loews Denver Hotel,21.747899159663866,119
83091,The Burnsley All Suite Hotel,20.496774193548386,155
111550,Cameron Motel,7.75,4
83104,Venture Inn,8.0,2
83095,Rockies Inn,12.285714285714286,7
120087,Broadway Plaza Motel,10.5,10
119948,Budget Host Inn,12.75,20
83061,Motel 6 Denver Central,14.8,10
589144,Valli-Hi Motor Hotel,5.0,6
83086,Royal Palace Motel,6.0,6
671614,Knights Inn Denver - Gateway to Downtown,8.117647058823529,17
82992,Days Inn Central,8.68,25
83044,Howard Johnson Inn Denver,9.588235294117647,17
111562,Renaissance Denver Hotel,21.624161073825505,149
82976,Super 8 Denver Stapleton,12.325,40
85375,Comfort Inn Denver International Airport,14.577777777777778,45
119939,Motel 5,4.333333333333333,3
119949,Budget Inn Motel,5.333333333333333,3
85338,Stay Inn,4.666666666666667,3
120003,7 Star Motel,8.0,1
120014,Town and Country Motel,19.0,2
120099,Anchor Motel,9.0,1
120040,Newhouse Hotel,13.25,4
120006,Western Motor Inn,19.333333333333332,3
120042,Motel 9,7.0,1
119981,Homestead Studio Suites - Denver - Tech Center - North,17.62962962962963,27
119975,Jet Hotel,13.936708860759493,79
119929,Super 8 Denver / I25 & 58th Ave.,9.538461538461538,13
120017,Stonewall Motel,13.0,1
119941,Crowne Plaza Hotel Denver,21.56382978723404,188
85343,Denver's Best Inn and Suites,12.142857142857142,91
119928,Ramada Denver Midtown,12.126984126984127,63
85638,Denver Stapleton Hotel,4.8,5
85330,Comfort Inn & Suites,19.942857142857143,35
82982,Comfort Inn Downtown,19.134615384615383,156
85346,La Quinta Inn Denver Cherry Creek,18.205882352941178,34
83060,Four Points by Sheraton Denver Southeast,17.71794871794872,78
120036,Notel Motel,8.222222222222221,9
119938,Motel 6 Denver - Airport,19.238095238095237,21
81026,Quality Inn Central Denver,22.036363636363635,55
120050,La Rue Motel,16.0,2
83057,Denver Marriott City Center,22.246666666666666,150
1176784,Econo Lodge Downtown,15.5,22
119914,11th Avenue Hotel & Hostel,18.166666666666668,18
85341,Comfort Inn Central,18.625,24
270508,Hotel VQ,17.313953488372093,172
82960,Holiday Inn Select Denver - Cherry Creek,17.6,90
119997,Belcaro Motel,21.666666666666668,3
83100,TownePlace Suites Denver Southeast,23.65,20
85359,Comfort Suites Denver International Airport,21.634920634920636,63
85366,Quality Inn Denver,17.393939393939394,33
82984,Courtyard by Marriott Denver Stapleton,20.545454545454547,33
85325,Ramada Inn Downtown Denver,15.41958041958042,143
83023,Fairfield Inn Denver Cherry Creek,21.74,50
85344,La Quinta Inn Denver Central,17.15,40
225093,Red Lion Hotel Denver Central,18.2,145
81023,The Timbers Hotel,17.532608695652176,92
83031,Crowne Plaza Denver International Airport,20.72826086956522,92
83014,Embassy Suites Denver - Southeast,21.458333333333332,72
120083,Denver Marriott Tech Center,21.070422535211268,71
83072,BEST WESTERN PLUS Denver Hotel,22.1,70
85357,Days Inn & Suites DIA-Denver International Airport,18.274193548387096,62
225090,Microtel Inn by Wyndham Denver,17.708333333333332,48
120072,Hampton Inn Denver - International Airport,18.863636363636363,44
83038,Ramada Plaza Denver Central Hotel,16.976190476190474,42
530656,Inn at Cherry Creek,23.558823529411764,34
1190033,Hilton Garden Inn Denver Tech Center,19.85135135135135,74
1238857,Holiday Inn Hotel & Suites Denver Airport,25.066666666666666,30
125845,Embassy Suites Hotel Denver - Aurora,22.70967741935484,93
120029,Residence Inn Denver Downtown,22.121495327102803,107
83070,Holiday Inn Denver East-Stapleton,26.582417582417584,91
83081,Quality Inn & Suites Denver International Airport,22.92207792207792,77
85332,Doubletree by Hilton Hotel Denver,21.8943661971831,142
83051,Hyatt Regency Denver Tech Center,22.843971631205672,141
