Hotel ID,Hotel Name,Total Rating,Overall Customers
253068,"The Ritz-Carlton, Georgetown",23.081967213114755,61
225100,"The Ritz-Carlton, Washington DC",19.372340425531913,94
557199,AKA White House,27.0,33
498950,"Residence Inn Washington, DC/Capitol",23.946666666666665,150
84127,Savoy Suites Hotel,19.666666666666668,63
223893,Courtyard Washington Embassy Row,19.094117647058823,85
84082,Hotel Lombardy,20.809734513274336,226
120592,Tabard Inn,16.666666666666668,60
223031,Holiday Inn Express Hotel & Suites Washington DC-Northeast,23.615384615384617,52
84092,"Rouge, a Kimpton Hotel",21.82278481012658,316
80689,BEST WESTERN Georgetown Hotel & Suites,17.61320754716981,106
214097,"The Westin Georgetown, Washington D.C.",21.645522388059703,268
125477,Club Quarters,18.35036496350365,137
308189,Kellogg Conference Hotel at Gallaudet University,16.8,30
574805,Embassy Suites Washington-Convention Center,24.073578595317727,299
220075,"Hilton Garden Inn Washington, DC Downtown",20.293548387096774,310
84083,Washington Marriott,21.680851063829788,141
295751,"Mandarin Oriental, Washington D.C.",17.714285714285715,203
1197032,Loftstel / Washington,17.666666666666668,3
1528551,Motel 6 Washington DC/Convention Center,7.75,4
120559,DoubleTree Hotel Washington DC,19.43421052631579,152
123837,Quality Inn Washington,9.775510204081632,49
84076,Howard Johnson Express Inn - Washington,7.55,40
84033,The Allen Lee,10.03448275862069,58
84120,The Latham Hotel,15.89375,160
84051,Days Inn Connecticut Ave.,18.554140127388536,157
84026,The Watergate Hotel,12.453125,64
1095352,Georgetown Hill Inn,11.090909090909092,11
84134,Motel 6 Washington DC,11.842105263157896,38
217083,Days Inn Gateway,16.444444444444443,9
75021,Windsor Park Hotel,16.37037037037037,54
120613,Four Points by Sheraton,16.44943820224719,178
1515599,Executive Apartments,27.0,1
1212709,District Hotel Washington,12.262032085561497,187
84078,Hyatt Regency Washington on Capitol Hill,18.246537396121884,361
123974,Comfort Inn & Suites New York Avenue,15.272727272727273,44
84044,Windsor Inn,18.982758620689655,58
939375,"Fairfield Inn & Suites Washington, DC/New York Avenue",17.896551724137932,29
225099,Georgetown University Hotel and Conference Center,14.966101694915254,59
84029,Georgetown Inn,23.146788990825687,109
219444,Washington Marriott Wardman Park,18.6525974025974,308
120563,"DoubleTree Suites Washington, DC",19.396396396396398,111
84072,Holiday Inn Washington - Georgetown,15.789473684210526,95
84038,Channel Inn Hotel,14.375,72
84080,The Quincy,22.544303797468356,158
84068,Harrington Hotel,16.994490358126722,363
80708,Capitol Skyline Hotel,19.564356435643564,101
1237013,"Courtyard Washington, DC / U.S. Capitol",23.636363636363637,33
266091,"Melrose Hotel, Washington DC",17.387301587301586,315
217767,The Churchill Hotel,19.678861788617887,246
84052,Courtyard by Marriott Washington DC \ Dupont Circle,17.710843373493976,83
120585,"The Westin Washington, D.C. City Center",5.0,1
240271,Georgetown Suites,20.5,150
84073,Holiday Inn Washington - Central / White House,16.857142857142858,140
84132,Comfort Inn Downtown DC / Convention Center,19.25,92
120566,The Mansion on O Street,18.783783783783782,37
84081,L'Enfant Plaza Hotel,17.9746192893401,394
84032,Hotel Monticello,20.3,100
120614,Hamilton Crowne Plaza Hotel,18.298657718120804,298
600107,Courtyard Washington Capitol Hill/Navy Yard,24.217391304347824,115
84069,The Henley Park Hotel,20.390243902439025,123
84074,Holiday Inn Washington - Capitol,19.964383561643835,365
84101,"Renaissance Washington, DC Dupont Circle Hotel",19.744444444444444,180
1456261,W Washington DC,26.016216216216215,185
1224560,The Eldon Luxury Suites,25.12,75
84107,Capital Hilton,19.045871559633028,327
84064,"Embassy Suites Hotel Washington, D.C.",23.19842829076621,509
84067,Grand Hyatt Washington,19.889975550122248,409
84137,Washington Hilton,25.616666666666667,60
84095,Washington Plaza,15.389570552147239,326
224337,"Homewood Suites Washington, DC",21.017543859649123,171
84104,State Plaza Hotel,19.725099601593627,251
84113,Beacon Hotel & Corporate Quarters,20.896551724137932,203
84098,"Renaissance Washington, DC Hotel",21.103004291845494,233
84096,"The Mayflower Renaissance Washington, DC Hotel",20.11038961038961,308
84087,Omni Shoreham Hotel,22.217218543046357,755
84084,Morrison-Clark Historic Inn,19.27710843373494,83
84062,Embassy Suites Chevy Chase Pavilion,23.026143790849673,153
84086,The Normandy Hotel,18.76875,160
220047,Courtyard by Marriott Washington Convention Center,21.12142857142857,140
84100,The River Inn,21.41409691629956,227
220076,St. Gregory Hotel & Suites,21.534615384615385,260
84125,"The Fairfax at Embassy Row, a Starwood Luxury Collection Hotel",25.04724409448819,127
223897,Residence Inn Washington/Dupont Circle,18.783333333333335,60
223900,Residence Inn Washington DC / Vermont Ave.,21.347826086956523,92
84066,George Washington University Inn,19.428571428571427,91
939976,Donovan House - A Kimpton Hotel,4.625,8
84039,One Washington Circle Hotel,20.087628865979383,194
84070,Washington Marriott at Metro Center,23.06756756756757,222
84079,JW Marriott Washington DC,21.31367292225201,373
84048,Capitol Hill Hotel,20.845303867403317,181
498949,"Hampton Inn Washington, DC-Convention Center",23.108333333333334,240
84129,Washington Court Hotel on Capitol Hill,21.58,250
223032,Avenue Suites Georgetown,4.666666666666667,3
84115,"Madera, a Kimpton Hotel",22.816593886462883,229
114575,"The St. Regis Washington, D.C.",25.703296703296704,91
84041,Phoenix Park Hotel,22.076190476190476,210
84075,"Helix, a Kimpton Hotel",22.623626373626372,364
84065,Four Seasons Washington D.C.,22.2972972972973,74
84118,"The Jefferson, Washington DC",29.4,30
84047,"Topaz, a Kimpton Hotel",22.264026402640265,303
240907,"Monaco Washington DC, a Kimpton Hotel",21.08679245283019,265
84058,The Dupont Circle Hotel,26.2196261682243,214
217770,The Fairmont Washington DC,22.327067669172934,266
1026016,"The Liaison Capitol Hill, An Affinia Hotel",23.282798833819243,343
84131,Willard InterContinental Washington,22.596958174904945,263
84090,Park Hyatt Washington,25.73913043478261,138
84109,Carlyle Suites Hotel,22.055944055944057,143
120556,"Hotel George, a Kimpton Hotel",25.536585365853657,287
84117,The Hay-Adams,20.85234899328859,149
235513,Sofitel Washington DC,25.510166358595193,541
84093,"Palomar Washington DC, a Kimpton Hotel",26.726241134751774,705
