Hotel ID,Hotel Name,Total Rating,Overall Customers
253068,"The Ritz-Carlton, Georgetown",24.209876543209877,81
225100,"The Ritz-Carlton, Washington DC",20.283333333333335,120
557199,AKA White House,25.511111111111113,45
84127,Savoy Suites Hotel,21.916666666666668,144
84092,"Rouge, a Kimpton Hotel",23.238611713665943,461
214097,"The Westin Georgetown, Washington D.C.",23.3561320754717,424
498950,"Residence Inn Washington, DC/Capitol",24.29901960784314,204
84082,Hotel Lombardy,21.533742331288344,326
574805,Embassy Suites Washington-Convention Center,24.680434782608696,460
84132,Comfort Inn Downtown DC / Convention Center,19.77037037037037,135
220075,"Hilton Garden Inn Washington, DC Downtown",21.311004784688997,418
223893,Courtyard Washington Embassy Row,19.696969696969695,99
223031,Holiday Inn Express Hotel & Suites Washington DC-Northeast,22.986842105263158,76
120592,Tabard Inn,16.5,72
80689,BEST WESTERN Georgetown Hotel & Suites,18.112781954887218,133
125477,Club Quarters,19.187878787878788,165
308189,Kellogg Conference Hotel at Gallaudet University,15.0,52
84083,Washington Marriott,21.534391534391535,189
295751,"Mandarin Oriental, Washington D.C.",18.703557312252965,253
1197032,Loftstel / Washington,17.0,4
1528551,Motel 6 Washington DC/Convention Center,8.833333333333334,6
120559,DoubleTree Hotel Washington DC,20.0,194
84060,The Embassy Row Hotel,17.214285714285715,14
84051,Days Inn Connecticut Ave.,19.23580786026201,229
84120,The Latham Hotel,16.11219512195122,205
123837,Quality Inn Washington,10.96875,64
84033,The Allen Lee,10.375,72
84076,Howard Johnson Express Inn - Washington,8.446808510638299,47
120613,Four Points by Sheraton,18.152416356877325,269
84078,Hyatt Regency Washington on Capitol Hill,19.01528384279476,458
1204691,Quality Inn & Suites Laurel,24.0,1
84026,The Watergate Hotel,12.453125,64
1095352,Georgetown Hill Inn,10.357142857142858,14
84134,Motel 6 Washington DC,11.788461538461538,52
217083,Days Inn Gateway,14.952380952380953,21
219444,Washington Marriott Wardman Park,19.45631067961165,412
75021,Windsor Park Hotel,17.323076923076922,65
1212709,District Hotel Washington,12.272727272727273,231
123974,Comfort Inn & Suites New York Avenue,14.445945945945946,74
1515599,Executive Apartments,32.25,4
84044,Windsor Inn,17.793478260869566,92
939375,"Fairfield Inn & Suites Washington, DC/New York Avenue",18.13157894736842,38
225099,Georgetown University Hotel and Conference Center,15.794117647058824,68
84029,Georgetown Inn,23.58273381294964,139
120563,"DoubleTree Suites Washington, DC",18.91156462585034,147
84072,Holiday Inn Washington - Georgetown,16.83076923076923,130
84080,The Quincy,22.366197183098592,213
84038,Channel Inn Hotel,14.826086956521738,115
84068,Harrington Hotel,17.272289156626506,415
80708,Capitol Skyline Hotel,20.55440414507772,193
266091,"Melrose Hotel, Washington DC",17.96031746031746,378
1237013,"Courtyard Washington, DC / U.S. Capitol",22.914893617021278,47
120585,"The Westin Washington, D.C. City Center",21.825396825396826,63
217767,The Churchill Hotel,20.322033898305083,295
84052,Courtyard by Marriott Washington DC \ Dupont Circle,18.893203883495147,103
84081,L'Enfant Plaza Hotel,18.91806331471136,537
240271,Georgetown Suites,20.44607843137255,204
84073,Holiday Inn Washington - Central / White House,18.60891089108911,202
120614,Hamilton Crowne Plaza Hotel,19.231578947368423,380
120566,The Mansion on O Street,19.21951219512195,41
84074,Holiday Inn Washington - Capitol,20.37007874015748,508
84032,Hotel Monticello,20.80952380952381,126
600107,Courtyard Washington Capitol Hill/Navy Yard,23.926470588235293,136
84069,The Henley Park Hotel,20.129943502824858,177
84101,"Renaissance Washington, DC Dupont Circle Hotel",20.413333333333334,225
1456261,W Washington DC,25.29794520547945,292
84137,Washington Hilton,23.454935622317596,233
84064,"Embassy Suites Hotel Washington, D.C.",23.394984326018808,638
84107,Capital Hilton,20.306818181818183,440
84067,Grand Hyatt Washington,20.38779174147217,557
84095,Washington Plaza,17.870103092783506,485
84104,State Plaza Hotel,20.10483870967742,372
1224560,The Eldon Luxury Suites,23.345132743362832,113
84087,Omni Shoreham Hotel,22.62309368191721,918
84113,Beacon Hotel & Corporate Quarters,22.237942122186496,311
224337,"Homewood Suites Washington, DC",20.84070796460177,226
84098,"Renaissance Washington, DC Hotel",20.924092409240924,303
84096,"The Mayflower Renaissance Washington, DC Hotel",20.528645833333332,384
84084,Morrison-Clark Historic Inn,20.412587412587413,143
84062,Embassy Suites Chevy Chase Pavilion,22.815533980582526,206
84086,The Normandy Hotel,19.753694581280786,203
84100,The River Inn,22.235668789808916,314
220047,Courtyard by Marriott Washington Convention Center,22.085561497326204,187
220076,St. Gregory Hotel & Suites,22.749318801089917,367
84125,"The Fairfax at Embassy Row, a Starwood Luxury Collection Hotel",24.94736842105263,209
223897,Residence Inn Washington/Dupont Circle,19.545454545454547,77
223900,Residence Inn Washington DC / Vermont Ave.,22.234782608695653,115
84066,George Washington University Inn,20.94736842105263,133
84079,JW Marriott Washington DC,21.63888888888889,468
84039,One Washington Circle Hotel,20.64748201438849,278
84070,Washington Marriott at Metro Center,23.352313167259787,281
125476,"Fairfield Inn & Suites Washington, DC / Downtown",23.666666666666668,33
939976,Donovan House - A Kimpton Hotel,4.666666666666667,9
84048,Capitol Hill Hotel,22.216730038022813,263
498949,"Hampton Inn Washington, DC-Convention Center",23.315942028985507,345
84129,Washington Court Hotel on Capitol Hill,22.147435897435898,312
2038749,Hilton Garden Inn Washington DC/US Capitol,21.46153846153846,26
114575,"The St. Regis Washington, D.C.",27.1340206185567,194
84041,Phoenix Park Hotel,23.27639751552795,322
223032,Avenue Suites Georgetown,4.666666666666667,3
84115,"Madera, a Kimpton Hotel",23.621451104100945,317
84075,"Helix, a Kimpton Hotel",23.5489443378119,521
240907,"Monaco Washington DC, a Kimpton Hotel",23.381642512077295,414
84058,The Dupont Circle Hotel,25.39541547277937,349
84047,"Topaz, a Kimpton Hotel",23.484455958549223,386
