Hotel ID,Hotel Name,Total Rating,Overall Customers
88401,Fairfield Inn Jacksonville Airport,12.333333333333334,3
120161,Red Roof Inn Jacksonville - Orange Park,6.5,2
120174,Hilton Garden Inn Jacksonville JTB / Deerwood Park,14.25,4
120159,Red Roof Inn - Southpoint,15.333333333333334,3
261234,Wingate by Wyndham Jacksonville Airport,15.0,8
1165021,Holiday Inn Express & Suites Jacksonville - Blount Island,13.333333333333334,3
84653,Super 8 Jacksonville South,16.0,1
88425,Extended Stay Deluxe - Jacksonville - Butler Blvd.,1.0,1
84650,Quality Inn Conference Center,7.0,4
120158,Regency Inn Jacksonville,3.0,2
120106,Motel 6 Jacksonville Airport,9.333333333333334,3
120157,Scottish Inn,2.75,4
88429,Stars Rest Inn,4.3,10
84659,EconoLodge,5.0,1
88416,Hampton Inn Jacksonville - I-95 South,3.5,2
88405,Baymeadows Inn & Suites,1.0,1
120128,Super 8 Jacksonville/Orange Park,12.0,1
120170,La Quinta Inn Jacksonville Baymeadows,9.5,2
84635,Quality Inn & Suites Baymeadows,4.6,5
84660,Red Carpet Inn,2.0,4
84617,America's Best Inn Jacksonville,3.0,2
88436,Homestead Studio Suites - Jacksonville - Salisbury Rd. - Southpoint,19.0,3
120167,Motel 6 Jacksonville Southeast,13.5,2
120131,Kings Inn,1.0,1
120141,The Beach Landing Motel,5.0,1
88444,Diamond Inn Motel Jacksonville West,1.0,2
226993,Homestead Studio Suites - Jacksonville - Baymeadows,3.0,2
294735,Knights Inn Jacksonville,1.0,1
84637,Jaxport Inn,2.0,1
239840,Suburban Extended Stay Hotel of Jacksonville / Baymeadows,6.0,2
1164991,Homestead Studio Suites - Jacksonville - Southside - St. Johns Towne Center,11.5,2
84656,BEST WESTERN Hotel JTB / Southpoint,4.555555555555555,9
120109,Microtel Inn & Suites by Wyndham Jacksonville/Near Butler Blvd,10.2,5
88451,Howard Johnson Inn and Suites Jacksonville,1.0,1
120124,The Inn at Mayo Clinic,3.8,5
88456,Holiday Inn Jacksonville - I-95 & Baymeadows,9.0,2
88440,La Quinta Inn Jacksonville Orange Park,14.0,2
224590,Hilton Garden Inn Jacksonville Airport,18.25,4
120160,Red Roof Inn - Jacksonville Airport,9.333333333333334,3
553883,Homewood Suites by Hilton Jacksonville-South/St. Johns Ctr.,25.0,1
88403,Jacksonville Airport Hotel,9.833333333333334,12
120153,SpringHill Suites Jacksonville / Deerwood,8.285714285714286,7
247710,Wingate by Wyndham Jacksonville / Mayo Clinic Area,11.666666666666666,3
88400,BEST WESTERN Jacksonville Airport,12.6,5
88406,Residence Inn Jacksonville Butler Boulevard,19.333333333333332,3
252242,Hospitality Inn,3.6666666666666665,3
120135,Jameson Inn,7.8,5
88402,Courtyard by Marriott Jacksonville Airport/Northeast,1.0,1
120147,Quality Inn Airport,1.0,1
84636,Courtyard Jacksonville Mayo Clinic/Beaches,12.75,4
88395,La Quinta Inn Jacksonville Airport North,10.0,5
84647,Embassy Suites Hotel Jacksonville - Baymeadows,12.363636363636363,11
84661,Residence Inn Jacksonville Baymeadows,14.0,2
88410,Homewood Suites by Hilton Jacksonville,9.909090909090908,11
84642,Radisson Jacksonville Butler Boulevard,21.666666666666668,6
120138,Comfort Suites Airport,14.714285714285714,7
88408,Ramada Conference Center Mandarin,12.333333333333334,3
88417,Hampton Inn Jacksonville-Downtown-I-95,16.0,5
120186,La Quinta Inn & Suites Jacksonville Mandarin,22.666666666666668,3
88442,La Quinta Inn & Suites Jacksonville Butler Blvd,8.777777777777779,9
84654,Jacksonville Marriott,6.333333333333333,3
84655,Omni Jacksonville Hotel,9.448275862068966,29
120177,"Country Inn & Suites By Carlson, Jacksonville",11.75,4
472259,Hampton Inn & Suites Jacksonville-Southside Blvd-Deerwood Pk,23.0,4
88460,Crowne Plaza Jacksonville Riverfront Hotel,6.230769230769231,13
1223992,Wingate by Wyndam Jacksonville South,9.214285714285714,14
88458,Holiday Inn Express Hotel & Suites Jacksonville South,12.25,4
120123,Hyatt Regency Jacksonville Riverfront,11.0,23
