Hotel ID,Hotel Name,Total Rating,Overall Customers
235385,City Suites Hotel,10.095238095238095,21
79228,BEST WESTERN Plus Hawthorne Terrace Hotel,10.727272727272727,11
123234,Heart O' Chicago Motel,8.375,8
123318,Abbott Hotel,11.5,2
123316,Bellwood Hotel,5.0,2
123209,Chateau Hotel,3.0,2
123317,Belair Hotel,2.5,4
87600,Delaware Towers,2.6666666666666665,3
123230,Lincoln Motel,8.0,1
123224,Patio Motel,5.0,1
123217,Sheffield House,4.833333333333333,6
87610,Clarion Hotel Midway Airport,11.25,8
488493,Chinatown Hotel,15.857142857142858,7
90918,Inn at Lincoln Park,9.25,12
299922,Holiday Inn Express Chicago-Midway Airport,9.5,4
90922,Ramada Inn Lake Shore - Chicago,4.0625,16
114583,BEST WESTERN Grant Park Hotel,6.545454545454546,22
123225,Ohio House Motel,5.9,20
111509,The Sutton Place Hotel,9.882352941176471,17
87627,Red Roof Inn,9.9375,16
87576,Travelodge Chicago Downtown,6.714285714285714,21
114578,Wyndham Blake Chicago,6.2105263157894735,19
87613,Howard Johnson Inn Downtown Chicago,6.857142857142857,21
87614,Chicago Marriott at Medical District/UIC,11.666666666666666,3
111487,Hilton Garden Inn Chicago Downtown/Magnificent Mile,14.0,42
87573,Chicago's Essex Inn,5.1454545454545455,55
90969,Holiday Inn Chicago Downtown,10.75,8
87656,The Tremont Chicago Hotel at Magnificent Mile,5.3544303797468356,79
223061,Embassy Suites Hotel Chicago Downtown Lakefront,12.82857142857143,35
90955,Residence Inn Chicago Downtown,7.888888888888889,9
114600,The Whitehall Hotel,7.711111111111111,45
90976,Courtyard by Marriott Chicago Downtown,10.1875,16
87566,"Inn of Chicago Magnificent Mile, an Ascend Collection hotel",7.541666666666667,48
87657,The Westin Michigan Avenue Chicago,8.709677419354838,62
90973,Allerton Hotel,9.1,50
114581,Swissotel Chicago,10.551724137931034,87
273262,Crowne Plaza Chicago - The Metro,5.0,1
90916,Majestic Hotel,8.333333333333334,12
87618,Hyatt Regency McCormick Place,6.666666666666667,24
90766,Courtyard Chicago Midway Airport,24.0,2
235386,Wheeler Mansion,7.555555555555555,9
114608,"Hotel Cass, a Holiday Inn Express",8.175438596491228,57
123319,Hilton Chicago O'Hare Airport,9.909090909090908,22
250023,River Hotel,7.321428571428571,28
498305,Buckingham Athletic Club,8.6,5
90986,Hilton Suites Chicago/Magnificent Mile,7.833333333333333,24
87592,Marriott Chicago Downtown Magnificent Mile,9.444444444444445,27
87608,Holiday Inn Chicago - Mart Plaza,6.470588235294118,17
87590,Hilton Chicago,10.356164383561644,73
114577,Fairmont Chicago Millennium Park,8.075,40
225108,W Chicago Lakeshore,9.030303030303031,66
90963,Hotel Indigo Chicago Downtown Gold Coast,17.8,5
217510,Club Quarters Chicago - Central Loop,7.411764705882353,51
90762,Marriott Chicago Midway,13.0,2
87659,The Westin Chicago River North,11.44186046511628,43
87637,Renaissance Chicago Hotel,12.538461538461538,39
90957,Hotel Sax Chicago,6.166666666666667,6
220240,W Chicago - City Center,7.655172413793103,58
114604,BEST WESTERN PLUS River North Chicago Downtown Hotel,9.041666666666666,24
87602,Embassy Suites Hotel Chicago Downtown,8.272727272727273,22
490891,Four Points by Sheraton Chicago Downtown / Magnificent Mile,18.5,6
262831,Renaissance Chicago O'Hare Suites Hotel,21.5,10
87571,Days Inn Chicago,5.176470588235294,17
87648,Millennium Knickerbocker Hotel Chicago,8.341772151898734,79
87645,The Drake,8.253521126760564,71
87620,InterContinental Chicago,10.183673469387756,49
287568,Hard Rock Hotel Chicago,8.40677966101695,59
90985,Hotel Allegro Chicago - a Kimpton Hotel,8.813725490196079,102
111500,Omni Chicago Hotel,12.05,40
90975,The Silversmith Hotel & Suites,15.148936170212766,47
304277,Carlton Inn Midway,21.0,1
87640,The Willows,9.222222222222221,9
286793,Courtyard Chicago Downtown/Magnificent Mile,12.588235294117647,17
224036,Fairfield Inn & Suites Chicago Downtown,14.470588235294118,17
114595,"MileNorth, A Chicago Hotel",9.09375,96
87632,Park Hyatt Chicago,11.655172413793103,29
87617,Hyatt Regency Chicago,9.056603773584905,106
111486,Hampton Inn & Suites Chicago - Downtown,9.083333333333334,24
293203,Amalfi Hotel Chicago,13.542857142857143,70
111507,The Ritz-Carlton Chicago (A Four Seasons Hotel),13.0625,16
111490,Hotel Burnham - a Kimpton Hotel,13.595744680851064,94
111501,The Palmer House Hilton,8.73049645390071,141
225105,The Peninsula Chicago,11.634146341463415,41
87638,Sheraton Chicago Hotel and Towers,7.477777777777778,90
114591,Four Seasons Hotel Chicago,14.61111111111111,18
87654,The Talbott Hotel,11.08,50
111492,Hotel Monaco Chicago - a Kimpton Hotel,11.304347826086957,69
236299,Sofitel Chicago Water Tower,13.16822429906542,107
