Hotel ID,Hotel Name,Total Rating,Overall Customers
235385,City Suites Hotel,10.176470588235293,17
79228,BEST WESTERN Plus Hawthorne Terrace Hotel,11.0,8
123234,Heart O' Chicago Motel,8.375,8
123318,Abbott Hotel,1.0,1
123316,Bellwood Hotel,5.0,2
123209,Chateau Hotel,1.0,1
123317,Belair Hotel,2.5,4
87600,Delaware Towers,2.6666666666666665,3
123230,Lincoln Motel,8.0,1
123224,Patio Motel,5.0,1
123217,Sheffield House,4.833333333333333,6
87610,Clarion Hotel Midway Airport,10.428571428571429,7
90918,Inn at Lincoln Park,7.875,8
299922,Holiday Inn Express Chicago-Midway Airport,9.333333333333334,3
90922,Ramada Inn Lake Shore - Chicago,2.6363636363636362,11
114583,BEST WESTERN Grant Park Hotel,3.4615384615384617,13
123225,Ohio House Motel,4.294117647058823,17
111509,The Sutton Place Hotel,7.928571428571429,14
87627,Red Roof Inn,8.5,12
87576,Travelodge Chicago Downtown,6.388888888888889,18
114578,Wyndham Blake Chicago,4.8125,16
87613,Howard Johnson Inn Downtown Chicago,6.555555555555555,18
87614,Chicago Marriott at Medical District/UIC,11.666666666666666,3
111487,Hilton Garden Inn Chicago Downtown/Magnificent Mile,12.742857142857142,35
87573,Chicago's Essex Inn,4.857142857142857,49
90969,Holiday Inn Chicago Downtown,6.5,4
87656,The Tremont Chicago Hotel at Magnificent Mile,4.507936507936508,63
223061,Embassy Suites Hotel Chicago Downtown Lakefront,9.956521739130435,23
90955,Residence Inn Chicago Downtown,7.888888888888889,9
90976,Courtyard by Marriott Chicago Downtown,7.384615384615385,13
114600,The Whitehall Hotel,5.967741935483871,31
87566,"Inn of Chicago Magnificent Mile, an Ascend Collection hotel",7.431818181818182,44
87657,The Westin Michigan Avenue Chicago,7.8545454545454545,55
90973,Allerton Hotel,7.257142857142857,35
114581,Swissotel Chicago,9.027777777777779,72
90916,Majestic Hotel,5.5,10
87618,Hyatt Regency McCormick Place,4.176470588235294,17
90766,Courtyard Chicago Midway Airport,25.0,1
235386,Wheeler Mansion,6.75,8
114608,"Hotel Cass, a Holiday Inn Express",6.630434782608695,46
123319,Hilton Chicago O'Hare Airport,7.0,16
250023,River Hotel,7.518518518518518,27
498305,Buckingham Athletic Club,8.6,5
90986,Hilton Suites Chicago/Magnificent Mile,6.904761904761905,21
87592,Marriott Chicago Downtown Magnificent Mile,8.571428571428571,21
87608,Holiday Inn Chicago - Mart Plaza,6.6923076923076925,13
114577,Fairmont Chicago Millennium Park,6.46875,32
225108,W Chicago Lakeshore,7.8545454545454545,55
87590,Hilton Chicago,8.491228070175438,57
217510,Club Quarters Chicago - Central Loop,5.769230769230769,39
90762,Marriott Chicago Midway,5.0,1
87659,The Westin Chicago River North,10.228571428571428,35
87637,Renaissance Chicago Hotel,9.333333333333334,30
90957,Hotel Sax Chicago,6.166666666666667,6
220240,W Chicago - City Center,6.465116279069767,43
114604,BEST WESTERN PLUS River North Chicago Downtown Hotel,8.095238095238095,21
87602,Embassy Suites Hotel Chicago Downtown,7.0,20
262831,Renaissance Chicago O'Hare Suites Hotel,18.5,4
87571,Days Inn Chicago,4.25,16
87648,Millennium Knickerbocker Hotel Chicago,7.913043478260869,69
87645,The Drake,7.169491525423729,59
87620,InterContinental Chicago,9.59375,32
287568,Hard Rock Hotel Chicago,7.16,50
90985,Hotel Allegro Chicago - a Kimpton Hotel,8.193181818181818,88
111500,Omni Chicago Hotel,11.212121212121213,33
90975,The Silversmith Hotel & Suites,12.82857142857143,35
304277,Carlton Inn Midway,21.0,1
87640,The Willows,9.222222222222221,9
286793,Courtyard Chicago Downtown/Magnificent Mile,9.76923076923077,13
224036,Fairfield Inn & Suites Chicago Downtown,13.928571428571429,14
114595,"MileNorth, A Chicago Hotel",8.08641975308642,81
87632,Park Hyatt Chicago,10.166666666666666,18
87617,Hyatt Regency Chicago,7.540229885057471,87
111486,Hampton Inn & Suites Chicago - Downtown,8.636363636363637,22
293203,Amalfi Hotel Chicago,11.705882352941176,51
111507,The Ritz-Carlton Chicago (A Four Seasons Hotel),10.615384615384615,13
111490,Hotel Burnham - a Kimpton Hotel,13.333333333333334,84
111501,The Palmer House Hilton,7.462809917355372,121
87638,Sheraton Chicago Hotel and Towers,5.808219178082192,73
225105,The Peninsula Chicago,8.344827586206897,29
114591,Four Seasons Hotel Chicago,13.071428571428571,14
87654,The Talbott Hotel,8.761904761904763,42
111492,Hotel Monaco Chicago - a Kimpton Hotel,9.736842105263158,57
236299,Sofitel Chicago Water Tower,10.657534246575343,73
