Hotel ID,Hotel Name,Total Rating,Overall Customers
278718,University Club of Chicago,4.0,1
235385,City Suites Hotel,11.916666666666666,24
79228,BEST WESTERN Plus Hawthorne Terrace Hotel,15.642857142857142,28
123234,Heart O' Chicago Motel,11.533333333333333,15
290675,Amber Inn,13.0,2
123292,Milshire Hotel,9.5,2
123316,Bellwood Hotel,11.333333333333334,3
123318,Abbott Hotel,8.333333333333334,3
123217,Sheffield House,6.25,8
123209,Chateau Hotel,3.0,2
123317,Belair Hotel,6.2,5
278717,The Fisher Building,16.0,2
87600,Delaware Towers,2.6666666666666665,3
123230,Lincoln Motel,8.0,1
123224,Patio Motel,5.0,1
87610,Clarion Hotel Midway Airport,14.538461538461538,13
488493,Chinatown Hotel,15.8125,16
90918,Inn at Lincoln Park,9.73913043478261,23
299922,Holiday Inn Express Chicago-Midway Airport,15.454545454545455,11
90922,Ramada Inn Lake Shore - Chicago,8.451612903225806,31
591177,Union League Club,8.666666666666666,3
114583,BEST WESTERN Grant Park Hotel,10.6,50
281340,Fairfield Inn Chicago Midway Airport,17.0,1
123225,Ohio House Motel,8.04,25
87627,Red Roof Inn,13.89090909090909,55
111509,The Sutton Place Hotel,14.206896551724139,29
87576,Travelodge Chicago Downtown,9.895833333333334,48
114578,Wyndham Blake Chicago,13.903225806451612,62
87613,Howard Johnson Inn Downtown Chicago,9.548387096774194,31
111487,Hilton Garden Inn Chicago Downtown/Magnificent Mile,18.445652173913043,92
87573,Chicago's Essex Inn,9.019417475728156,103
87614,Chicago Marriott at Medical District/UIC,19.375,8
87656,The Tremont Chicago Hotel at Magnificent Mile,7.598484848484849,132
90969,Holiday Inn Chicago Downtown,12.928571428571429,14
223061,Embassy Suites Hotel Chicago Downtown Lakefront,15.430555555555555,72
90955,Residence Inn Chicago Downtown,11.0,18
114600,The Whitehall Hotel,10.67123287671233,73
90976,Courtyard by Marriott Chicago Downtown,12.551724137931034,29
87566,"Inn of Chicago Magnificent Mile, an Ascend Collection hotel",11.166666666666666,84
87657,The Westin Michigan Avenue Chicago,11.019047619047619,105
114581,Swissotel Chicago,13.291390728476822,151
90973,Allerton Hotel,12.0,86
273262,Crowne Plaza Chicago - The Metro,18.689655172413794,29
90916,Majestic Hotel,15.464285714285714,28
87618,Hyatt Regency McCormick Place,10.956521739130435,46
90766,Courtyard Chicago Midway Airport,24.0,2
235386,Wheeler Mansion,8.375,16
114608,"Hotel Cass, a Holiday Inn Express",9.8625,80
123319,Hilton Chicago O'Hare Airport,12.511627906976743,43
250023,River Hotel,13.101694915254237,59
498305,Buckingham Athletic Club,14.5,10
90986,Hilton Suites Chicago/Magnificent Mile,12.19047619047619,42
87592,Marriott Chicago Downtown Magnificent Mile,13.725806451612904,62
87608,Holiday Inn Chicago - Mart Plaza,11.837837837837839,37
87635,Raffaello Hotel,30.0,1
225108,W Chicago Lakeshore,13.342465753424657,146
87590,Hilton Chicago,13.134751773049645,141
114577,Fairmont Chicago Millennium Park,13.0875,80
90963,Hotel Indigo Chicago Downtown Gold Coast,22.325581395348838,43
217510,Club Quarters Chicago - Central Loop,12.82,100
90762,Marriott Chicago Midway,21.25,4
87659,The Westin Chicago River North,14.485714285714286,70
87637,Renaissance Chicago Hotel,15.223684210526315,76
220240,W Chicago - City Center,11.100917431192661,109
90957,Hotel Sax Chicago,15.333333333333334,24
114604,BEST WESTERN PLUS River North Chicago Downtown Hotel,12.043478260869565,46
490891,Four Points by Sheraton Chicago Downtown / Magnificent Mile,20.410714285714285,56
87602,Embassy Suites Hotel Chicago Downtown,14.238095238095237,42
262831,Renaissance Chicago O'Hare Suites Hotel,18.46875,32
87648,Millennium Knickerbocker Hotel Chicago,11.324503311258278,151
87571,Days Inn Chicago,10.5625,32
87645,The Drake,11.78048780487805,123
87620,InterContinental Chicago,12.978494623655914,93
287568,Hard Rock Hotel Chicago,11.693069306930694,101
90985,Hotel Allegro Chicago - a Kimpton Hotel,11.429447852760736,163
111500,Omni Chicago Hotel,16.246753246753247,77
90975,The Silversmith Hotel & Suites,18.31764705882353,85
304277,Carlton Inn Midway,17.333333333333332,3
87640,The Willows,13.944444444444445,18
286793,Courtyard Chicago Downtown/Magnificent Mile,17.170212765957448,47
224036,Fairfield Inn & Suites Chicago Downtown,18.918367346938776,49
87617,Hyatt Regency Chicago,12.577981651376147,218
114595,"MileNorth, A Chicago Hotel",10.71551724137931,116
87632,Park Hyatt Chicago,17.797101449275363,69
111486,Hampton Inn & Suites Chicago - Downtown,16.344827586206897,58
111501,The Palmer House Hilton,12.8300395256917,253
293203,Amalfi Hotel Chicago,15.523809523809524,126
111490,Hotel Burnham - a Kimpton Hotel,16.291666666666668,144
111507,The Ritz-Carlton Chicago (A Four Seasons Hotel),15.142857142857142,28
609738,James Chicago,19.6,30
87638,Sheraton Chicago Hotel and Towers,11.02,150
225105,The Peninsula Chicago,14.289855072463768,69
114591,Four Seasons Hotel Chicago,14.32258064516129,31
87654,The Talbott Hotel,12.18421052631579,76
111492,Hotel Monaco Chicago - a Kimpton Hotel,15.338582677165354,127
217498,Conrad Chicago,23.166666666666668,42
236299,Sofitel Chicago Water Tower,15.717647058823529,170
