Hotel ID,Hotel Name,Total Rating,Overall Customers
235385,City Suites Hotel,11.916666666666666,24
79228,BEST WESTERN Plus Hawthorne Terrace Hotel,14.884615384615385,26
123234,Heart O' Chicago Motel,11.533333333333333,15
290675,Amber Inn,13.0,2
123292,Milshire Hotel,9.5,2
123318,Abbott Hotel,8.333333333333334,3
123316,Bellwood Hotel,5.0,2
123217,Sheffield House,6.25,8
123209,Chateau Hotel,3.0,2
123317,Belair Hotel,6.2,5
278717,The Fisher Building,16.0,2
87600,Delaware Towers,2.6666666666666665,3
123230,Lincoln Motel,8.0,1
123224,Patio Motel,5.0,1
87610,Clarion Hotel Midway Airport,14.538461538461538,13
488493,Chinatown Hotel,15.8125,16
90918,Inn at Lincoln Park,9.73913043478261,23
299922,Holiday Inn Express Chicago-Midway Airport,15.454545454545455,11
90922,Ramada Inn Lake Shore - Chicago,8.451612903225806,31
591177,Union League Club,8.666666666666666,3
114583,BEST WESTERN Grant Park Hotel,10.729166666666666,48
281340,Fairfield Inn Chicago Midway Airport,17.0,1
123225,Ohio House Motel,8.04,25
87627,Red Roof Inn,13.907407407407407,54
111509,The Sutton Place Hotel,14.206896551724139,29
87576,Travelodge Chicago Downtown,9.565217391304348,46
114578,Wyndham Blake Chicago,13.416666666666666,60
87613,Howard Johnson Inn Downtown Chicago,8.96551724137931,29
111487,Hilton Garden Inn Chicago Downtown/Magnificent Mile,18.18888888888889,90
87573,Chicago's Essex Inn,8.742574257425742,101
87614,Chicago Marriott at Medical District/UIC,19.375,8
87656,The Tremont Chicago Hotel at Magnificent Mile,7.6183206106870225,131
90969,Holiday Inn Chicago Downtown,12.928571428571429,14
223061,Embassy Suites Hotel Chicago Downtown Lakefront,15.042857142857143,70
90955,Residence Inn Chicago Downtown,9.882352941176471,17
114600,The Whitehall Hotel,10.271428571428572,70
90976,Courtyard by Marriott Chicago Downtown,12.142857142857142,28
87566,"Inn of Chicago Magnificent Mile, an Ascend Collection hotel",11.072289156626505,83
87657,The Westin Michigan Avenue Chicago,10.81,100
114581,Swissotel Chicago,12.868055555555555,144
90973,Allerton Hotel,12.0,86
273262,Crowne Plaza Chicago - The Metro,18.689655172413794,29
90916,Majestic Hotel,14.73076923076923,26
87618,Hyatt Regency McCormick Place,10.386363636363637,44
90766,Courtyard Chicago Midway Airport,24.0,2
235386,Wheeler Mansion,8.375,16
114608,"Hotel Cass, a Holiday Inn Express",9.8625,80
123319,Hilton Chicago O'Hare Airport,12.511627906976743,43
250023,River Hotel,12.672727272727272,55
498305,Buckingham Athletic Club,14.5,10
90986,Hilton Suites Chicago/Magnificent Mile,12.19047619047619,42
87592,Marriott Chicago Downtown Magnificent Mile,13.508196721311476,61
87608,Holiday Inn Chicago - Mart Plaza,11.837837837837839,37
87635,Raffaello Hotel,30.0,1
225108,W Chicago Lakeshore,13.02127659574468,141
87590,Hilton Chicago,13.05072463768116,138
114577,Fairmont Chicago Millennium Park,12.782051282051283,78
90963,Hotel Indigo Chicago Downtown Gold Coast,22.205128205128204,39
217510,Club Quarters Chicago - Central Loop,12.747474747474747,99
90762,Marriott Chicago Midway,21.25,4
87659,The Westin Chicago River North,14.485714285714286,70
87637,Renaissance Chicago Hotel,14.878378378378379,74
220240,W Chicago - City Center,11.086538461538462,104
90957,Hotel Sax Chicago,14.91304347826087,23
114604,BEST WESTERN PLUS River North Chicago Downtown Hotel,12.043478260869565,46
490891,Four Points by Sheraton Chicago Downtown / Magnificent Mile,20.203703703703702,54
87602,Embassy Suites Hotel Chicago Downtown,13.6,40
262831,Renaissance Chicago O'Hare Suites Hotel,17.933333333333334,30
87648,Millennium Knickerbocker Hotel Chicago,11.047619047619047,147
87571,Days Inn Chicago,10.5625,32
87645,The Drake,11.579831932773109,119
87620,InterContinental Chicago,12.659340659340659,91
287568,Hard Rock Hotel Chicago,11.206185567010309,97
90985,Hotel Allegro Chicago - a Kimpton Hotel,11.35625,160
111500,Omni Chicago Hotel,15.893333333333333,75
90975,The Silversmith Hotel & Suites,18.289156626506024,83
304277,Carlton Inn Midway,24.0,2
87640,The Willows,13.944444444444445,18
286793,Courtyard Chicago Downtown/Magnificent Mile,17.043478260869566,46
224036,Fairfield Inn & Suites Chicago Downtown,18.918367346938776,49
114595,"MileNorth, A Chicago Hotel",10.547826086956523,115
87617,Hyatt Regency Chicago,12.334928229665072,209
87632,Park Hyatt Chicago,17.70769230769231,65
111486,Hampton Inn & Suites Chicago - Downtown,16.344827586206897,58
293203,Amalfi Hotel Chicago,15.21951219512195,123
111501,The Palmer House Hilton,12.646341463414634,246
111490,Hotel Burnham - a Kimpton Hotel,16.190140845070424,142
111507,The Ritz-Carlton Chicago (A Four Seasons Hotel),15.142857142857142,28
609738,James Chicago,19.26923076923077,26
87638,Sheraton Chicago Hotel and Towers,11.02,150
225105,The Peninsula Chicago,14.294117647058824,68
114591,Four Seasons Hotel Chicago,14.633333333333333,30
87654,The Talbott Hotel,11.946666666666667,75
111492,Hotel Monaco Chicago - a Kimpton Hotel,15.21311475409836,122
217498,Conrad Chicago,23.024390243902438,41
236299,Sofitel Chicago Water Tower,15.47305389221557,167
