Hotel ID,Hotel Name,Total Rating,Overall Customers
235385,City Suites Hotel,16.9811320754717,53
79228,BEST WESTERN Plus Hawthorne Terrace Hotel,18.488372093023255,43
278718,University Club of Chicago,15.333333333333334,3
123234,Heart O' Chicago Motel,16.976744186046513,43
123293,Mark Twain Hotel,8.0,2
290675,Amber Inn,17.6,10
595763,Habitat Corporate Suites at Presidential Towers,24.75,4
123216,Skylark Motel,3.5,6
123292,Milshire Hotel,8.666666666666666,6
123290,New Jackson Hotel,3.5,2
123316,Bellwood Hotel,15.428571428571429,7
123318,Abbott Hotel,8.0,7
123217,Sheffield House,9.235294117647058,17
123317,Belair Hotel,11.272727272727273,11
123209,Chateau Hotel,2.3333333333333335,3
1164776,Chicago Athletic Association,9.0,1
676721,River Park Motel & Suites,27.0,1
278717,The Fisher Building,16.0,3
87600,Delaware Towers,2.6666666666666665,3
123230,Lincoln Motel,8.0,1
90952,Hyatt Chicago Magnificent Mile,4.5,2
123224,Patio Motel,3.3333333333333335,3
596421,Midway Inn,9.166666666666666,6
1045286,Springhill Suites Chicago Downtown / River North,26.049180327868854,61
87610,Clarion Hotel Midway Airport,16.714285714285715,28
488493,Chinatown Hotel,15.777777777777779,36
111509,The Sutton Place Hotel,22.018691588785046,107
90918,Inn at Lincoln Park,13.363636363636363,55
142296,Holiday Inn Chicago O'Hare,22.59375,32
114583,BEST WESTERN Grant Park Hotel,14.35135135135135,111
90922,Ramada Inn Lake Shore - Chicago,11.129032258064516,62
591177,Union League Club,21.4375,16
299922,Holiday Inn Express Chicago-Midway Airport,17.6,20
87627,Red Roof Inn,13.904109589041095,146
114578,Wyndham Blake Chicago,17.21764705882353,170
281340,Fairfield Inn Chicago Midway Airport,19.75,12
123225,Ohio House Motel,14.54,50
87576,Travelodge Chicago Downtown,12.819672131147541,122
111487,Hilton Garden Inn Chicago Downtown/Magnificent Mile,20.948837209302326,215
87573,Chicago's Essex Inn,14.04109589041096,219
87613,Howard Johnson Inn Downtown Chicago,11.903846153846153,52
223061,Embassy Suites Hotel Chicago Downtown Lakefront,18.769633507853403,191
87656,The Tremont Chicago Hotel at Magnificent Mile,11.615384615384615,221
650708,Ruby Room,15.875,8
87614,Chicago Marriott at Medical District/UIC,20.6,25
87595,Congress Plaza Hotel,16.325,80
90969,Holiday Inn Chicago Downtown,15.0,27
114600,The Whitehall Hotel,15.935294117647059,170
90955,Residence Inn Chicago Downtown,21.31168831168831,77
90976,Courtyard by Marriott Chicago Downtown,18.75,84
87566,"Inn of Chicago Magnificent Mile, an Ascend Collection hotel",14.911016949152541,236
87657,The Westin Michigan Avenue Chicago,16.64963503649635,274
114581,Swissotel Chicago,18.437333333333335,375
90973,Allerton Hotel,16.279850746268657,268
1149495,Hotel Felix,23.0,39
273262,Crowne Plaza Chicago - The Metro,21.941176470588236,102
87618,Hyatt Regency McCormick Place,16.247863247863247,117
1186401,Central Loop Hotel,23.666666666666668,3
90916,Majestic Hotel,19.440677966101696,59
114608,"Hotel Cass, a Holiday Inn Express",14.037593984962406,133
1052716,Crowne Plaza Chicago Magnificent Mile,24.68,100
235386,Wheeler Mansion,11.37037037037037,27
90766,Courtyard Chicago Midway Airport,23.8,5
123319,Hilton Chicago O'Hare Airport,17.89171974522293,157
250023,River Hotel,15.87704918032787,122
87592,Marriott Chicago Downtown Magnificent Mile,18.618834080717487,223
498305,Buckingham Athletic Club,17.94736842105263,19
90986,Hilton Suites Chicago/Magnificent Mile,17.836363636363636,110
217510,Club Quarters Chicago - Central Loop,16.52914798206278,223
1140049,Holiday Inn Chicago - Midway Airport,28.125,8
87608,Holiday Inn Chicago - Mart Plaza,17.88,125
87590,Hilton Chicago,17.237430167597765,358
87635,Raffaello Hotel,20.42361111111111,144
225108,W Chicago Lakeshore,16.07473309608541,281
91042,Doubletree by Hilton Chicago Magnificent Mile,24.34246575342466,73
114577,Fairmont Chicago Millennium Park,19.534246575342465,219
1075753,Chicago South Loop Hotel,25.928571428571427,14
90963,Hotel Indigo Chicago Downtown Gold Coast,22.49137931034483,116
1477545,Club Quarters Chicago -- Wacker at Michigan,21.0,2
841981,The Blackstone A Renaissance Hotel,26.123456790123456,81
87659,The Westin Chicago River North,20.017964071856287,167
90762,Marriott Chicago Midway,22.75,12
220240,W Chicago - City Center,15.262931034482758,232
87637,Renaissance Chicago Hotel,20.60355029585799,169
90957,Hotel Sax Chicago,20.306451612903224,124
87620,InterContinental Chicago,20.843822843822842,429
87648,Millennium Knickerbocker Hotel Chicago,16.54983922829582,311
490891,Four Points by Sheraton Chicago Downtown / Magnificent Mile,21.4,150
87602,Embassy Suites Hotel Chicago Downtown,20.822695035460992,141
114604,BEST WESTERN PLUS River North Chicago Downtown Hotel,17.700934579439252,107
262831,Renaissance Chicago O'Hare Suites Hotel,22.01801801801802,111
87645,The Drake,17.428571428571427,259
87571,Days Inn Chicago,18.39047619047619,105
287568,Hard Rock Hotel Chicago,17.447457627118645,295
1389502,La Quinta Inn & Suites Chicago Downtown,20.875,8
90985,Hotel Allegro Chicago - a Kimpton Hotel,15.250814332247558,307
111500,Omni Chicago Hotel,21.947791164658636,249
90975,The Silversmith Hotel & Suites,19.463054187192117,203
87603,"Hotel 71, Wyndham Affiliate",15.508771929824562,57
304277,Carlton Inn Midway,23.6,25
286793,Courtyard Chicago Downtown/Magnificent Mile,21.1900826446281,121
87640,The Willows,20.608695652173914,46
87617,Hyatt Regency Chicago,17.143847487001732,577
674288,Residence Inn Chicago Downtown / River North,25.536231884057973,69
224036,Fairfield Inn & Suites Chicago Downtown,22.225225225225227,111
114595,"MileNorth, A Chicago Hotel",20.321052631578947,380
111501,The Palmer House Hilton,17.05131964809384,682
1027237,Dana Hotel & Spa,25.024390243902438,82
505788,Comfort Suites,24.523809523809526,21
1235890,"theWit, a Doubletree Hotel",24.866666666666667,15
87632,Park Hyatt Chicago,20.466666666666665,135
111490,Hotel Burnham - a Kimpton Hotel,20.085714285714285,280
293203,Amalfi Hotel Chicago,20.945392491467576,293
111486,Hampton Inn & Suites Chicago - Downtown,20.058823529411764,170
609738,James Chicago,23.745283018867923,212
87638,Sheraton Chicago Hotel and Towers,16.556473829201103,363
619615,Hampton Majestic Chicago Theatre District,25.833333333333332,114
111507,The Ritz-Carlton Chicago (A Four Seasons Hotel),21.204301075268816,93
225105,The Peninsula Chicago,19.610294117647058,136
114591,Four Seasons Hotel Chicago,20.822222222222223,90
236299,Sofitel Chicago Water Tower,21.517021276595745,470
87654,The Talbott Hotel,19.264044943820224,178
111492,Hotel Monaco Chicago - a Kimpton Hotel,20.337704918032788,305
217498,Conrad Chicago,24.642156862745097,204
90959,Homewood Suites by Hilton Chicago Downtown,25.54794520547945,146
674283,Trump International Hotel & Tower Chicago,24.904761904761905,105
