Hotel ID,Hotel Name,Total Rating,Overall Customers
235385,City Suites Hotel,22.403225806451612,124
79228,BEST WESTERN Plus Hawthorne Terrace Hotel,23.414634146341463,123
90955,Residence Inn Chicago Downtown,25.165137614678898,218
1045286,Springhill Suites Chicago Downtown / River North,27.848484848484848,264
111509,The Sutton Place Hotel,25.131901840490798,326
90976,Courtyard by Marriott Chicago Downtown,23.732142857142858,224
484081,The Standard Club,19.4,5
278718,University Club of Chicago,22.0,10
123234,Heart O' Chicago Motel,18.893939393939394,66
114578,Wyndham Blake Chicago,22.575,480
111487,Hilton Garden Inn Chicago Downtown/Magnificent Mile,23.356502242152466,446
1743591,Suite Home Chicago - One Superior Place,28.666666666666668,3
142296,Holiday Inn Chicago O'Hare,21.714285714285715,154
1200027,Steps to Everything - Navy Pier 31,25.0,1
123293,Mark Twain Hotel,15.4,5
290675,Amber Inn,21.83783783783784,37
223061,Embassy Suites Hotel Chicago Downtown Lakefront,23.033333333333335,510
87627,Red Roof Inn,17.129032258064516,341
114583,BEST WESTERN Grant Park Hotel,17.88475836431227,269
595763,Habitat Corporate Suites at Presidential Towers,23.818181818181817,11
123216,Skylark Motel,5.0,8
123292,Milshire Hotel,8.7,10
123316,Bellwood Hotel,17.545454545454547,11
123217,Sheffield House,10.0,27
123290,New Jackson Hotel,8.0,7
123318,Abbott Hotel,10.833333333333334,12
596421,Midway Inn,9.4,30
123222,Rio Motel,7.0,1
123317,Belair Hotel,11.923076923076923,13
123209,Chateau Hotel,4.0,5
1164776,Chicago Athletic Association,9.0,1
676721,River Park Motel & Suites,23.0,2
278717,The Fisher Building,16.0,3
87600,Delaware Towers,2.6666666666666665,3
123230,Lincoln Motel,8.0,1
114581,Swissotel Chicago,22.748488512696493,827
774987,Stan Properties Suites at 300 N. Canal,10.0,1
488493,Chinatown Hotel,15.210526315789474,76
87610,Clarion Hotel Midway Airport,18.22641509433962,53
90952,Hyatt Chicago Magnificent Mile,4.5,2
123232,Hogan's Motel,7.0,1
123224,Patio Motel,4.25,4
90918,Inn at Lincoln Park,15.436170212765957,94
90922,Ramada Inn Lake Shore - Chicago,15.370860927152318,151
87576,Travelodge Chicago Downtown,14.727554179566564,323
87573,Chicago's Essex Inn,18.934599156118143,474
591177,Union League Club,25.630434782608695,46
299922,Holiday Inn Express Chicago-Midway Airport,22.14,50
123225,Ohio House Motel,18.41592920353982,113
87595,Congress Plaza Hotel,16.782241014799155,473
281340,Fairfield Inn Chicago Midway Airport,21.727272727272727,33
114600,The Whitehall Hotel,19.70378151260504,476
87656,The Tremont Chicago Hotel at Magnificent Mile,15.728,375
1149495,Hotel Felix,22.614525139664803,537
87657,The Westin Michigan Avenue Chicago,20.929738562091504,612
87566,"Inn of Chicago Magnificent Mile, an Ascend Collection hotel",19.30730897009967,602
87613,Howard Johnson Inn Downtown Chicago,17.1055900621118,161
90973,Allerton Hotel,19.949728260869566,736
90969,Holiday Inn Chicago Downtown,23.606060606060606,165
650708,Ruby Room,24.0,24
87614,Chicago Marriott at Medical District/UIC,23.054545454545455,55
87618,Hyatt Regency McCormick Place,20.534954407294833,329
273262,Crowne Plaza Chicago - The Metro,22.93574297188755,249
1052716,Crowne Plaza Chicago Magnificent Mile,26.034188034188034,351
123319,Hilton Chicago O'Hare Airport,22.315352697095435,482
114608,"Hotel Cass, a Holiday Inn Express",19.488524590163934,305
87592,Marriott Chicago Downtown Magnificent Mile,21.867826086956523,575
1186401,Central Loop Hotel,19.214285714285715,84
90916,Majestic Hotel,23.377622377622377,143
250023,River Hotel,18.402298850574713,261
87590,Hilton Chicago,20.978359908883828,878
235386,Wheeler Mansion,16.42222222222222,45
90766,Courtyard Chicago Midway Airport,24.296296296296298,27
225108,W Chicago Lakeshore,20.846478873239437,710
1075753,Chicago South Loop Hotel,24.354368932038835,412
90986,Hilton Suites Chicago/Magnificent Mile,22.463492063492062,315
87635,Raffaello Hotel,22.885393258426966,445
217510,Club Quarters Chicago - Central Loop,19.605022831050228,438
87608,Holiday Inn Chicago - Mart Plaza,22.54591836734694,392
114577,Fairmont Chicago Millennium Park,22.609540636042404,566
91042,Doubletree by Hilton Chicago Magnificent Mile,23.962264150943398,424
498305,Buckingham Athletic Club,21.487179487179485,39
1477545,Club Quarters Chicago -- Wacker at Michigan,25.8359375,128
1140049,Holiday Inn Chicago - Midway Airport,25.658536585365855,41
90963,Hotel Indigo Chicago Downtown Gold Coast,24.438127090301002,299
841981,The Blackstone A Renaissance Hotel,26.926345609065155,353
87629,PUBLIC Chicago,28.267080745341616,161
87659,The Westin Chicago River North,25.129390018484287,541
87620,InterContinental Chicago,23.01577287066246,951
220240,W Chicago - City Center,22.30373831775701,642
87617,Hyatt Regency Chicago,22.618668184405237,1757
90762,Marriott Chicago Midway,25.714285714285715,56
90957,Hotel Sax Chicago,24.097387173396676,421
87648,Millennium Knickerbocker Hotel Chicago,21.228776978417265,695
87637,Renaissance Chicago Hotel,24.012437810945272,402
87602,Embassy Suites Hotel Chicago Downtown,25.802395209580837,501
490891,Four Points by Sheraton Chicago Downtown / Magnificent Mile,24.798780487804876,492
111501,The Palmer House Hilton,22.01394422310757,2008
87645,The Drake,22.753067484662576,652
114604,BEST WESTERN PLUS River North Chicago Downtown Hotel,23.286103542234333,367
287568,Hard Rock Hotel Chicago,22.31578947368421,741
262831,Renaissance Chicago O'Hare Suites Hotel,24.489285714285714,280
87571,Days Inn Chicago,23.70508474576271,295
90985,Hotel Allegro Chicago - a Kimpton Hotel,22.25276073619632,815
111500,Omni Chicago Hotel,24.569767441860463,602
2525636,Hotel Lincoln,31.166666666666668,24
1389502,La Quinta Inn & Suites Chicago Downtown,25.529761904761905,168
114595,"MileNorth, A Chicago Hotel",23.710880829015544,965
87603,"Hotel 71, Wyndham Affiliate",23.479120879120877,455
90975,The Silversmith Hotel & Suites,22.147058823529413,442
87640,The Willows,24.46206896551724,145
1742256,JW Marriott Chicago,27.966887417218544,151
87638,Sheraton Chicago Hotel and Towers,22.323473282442748,1048
304277,Carlton Inn Midway,25.714285714285715,147
286793,Courtyard Chicago Downtown/Magnificent Mile,25.01010101010101,297
674288,Residence Inn Chicago Downtown / River North,27.631067961165048,309
224036,Fairfield Inn & Suites Chicago Downtown,26.32934131736527,334
90959,Homewood Suites by Hilton Chicago Downtown,27.881290322580647,775
1027237,Dana Hotel & Spa,26.094017094017094,468
609738,James Chicago,25.20082530949106,727
505788,Comfort Suites,27.83842794759825,458
1235890,"theWit, a Doubletree Hotel",26.92393736017897,447
111486,Hampton Inn & Suites Chicago - Downtown,25.734875444839858,562
293203,Amalfi Hotel Chicago,24.676,750
87632,Park Hyatt Chicago,24.908496732026144,306
111490,Hotel Burnham - a Kimpton Hotel,23.701688555347094,533
619615,Hampton Majestic Chicago Theatre District,27.75,448
111507,The Ritz-Carlton Chicago (A Four Seasons Hotel),26.704260651629074,399
236299,Sofitel Chicago Water Tower,25.4049815498155,1084
225105,The Peninsula Chicago,25.42528735632184,348
114591,Four Seasons Hotel Chicago,27.044510385756677,337
87654,The Talbott Hotel,25.551948051948052,462
111492,Hotel Monaco Chicago - a Kimpton Hotel,25.127005347593585,748
2042562,Radisson Blu Aqua Hotel,31.197278911564627,147
1566945,"Palomar Chicago, a Kimpton Hotel",29.607792207792208,770
217498,Conrad Chicago,28.757462686567163,1072
674283,Trump International Hotel & Tower Chicago,28.38095238095238,525
1516481,Waldorf Astoria Chicago,30.69653767820774,491
