Hotel ID,Hotel Name,Total Rating,Overall Customers
235385,City Suites Hotel,23.82051282051282,156
1045286,Springhill Suites Chicago Downtown / River North,27.801829268292682,328
111509,The Sutton Place Hotel,25.594458438287155,397
79228,BEST WESTERN Plus Hawthorne Terrace Hotel,24.884146341463413,164
111487,Hilton Garden Inn Chicago Downtown/Magnificent Mile,24.29475587703436,553
90955,Residence Inn Chicago Downtown,25.54945054945055,273
90976,Courtyard by Marriott Chicago Downtown,24.935374149659864,294
114578,Wyndham Blake Chicago,23.671821305841924,582
223061,Embassy Suites Hotel Chicago Downtown Lakefront,24.107361963190183,652
114581,Swissotel Chicago,23.70502901353965,1034
123234,Heart O' Chicago Motel,19.653333333333332,75
484081,The Standard Club,22.555555555555557,9
278718,University Club of Chicago,21.5,16
114583,BEST WESTERN Grant Park Hotel,18.79646017699115,339
87627,Red Roof Inn,18.106796116504853,412
142296,Holiday Inn Chicago O'Hare,21.98989898989899,198
90952,Hyatt Chicago Magnificent Mile,21.96808510638298,94
90922,Ramada Inn Lake Shore - Chicago,17.722448979591835,245
87576,Travelodge Chicago Downtown,16.881818181818183,440
87595,Congress Plaza Hotel,17.985052316890883,669
1743591,Suite Home Chicago - One Superior Place,28.666666666666668,3
1200027,Steps to Everything - Navy Pier 31,20.0,3
123293,Mark Twain Hotel,15.4,5
290675,Amber Inn,21.023809523809526,42
87573,Chicago's Essex Inn,20.72203947368421,608
595763,Habitat Corporate Suites at Presidential Towers,23.416666666666668,12
123216,Skylark Motel,6.5,10
123292,Milshire Hotel,8.7,10
123316,Bellwood Hotel,17.5,12
123217,Sheffield House,10.0,27
123290,New Jackson Hotel,8.0,7
596421,Midway Inn,9.157894736842104,38
123318,Abbott Hotel,10.833333333333334,12
488493,Chinatown Hotel,15.684782608695652,92
123222,Rio Motel,7.0,1
123317,Belair Hotel,11.923076923076923,13
123209,Chateau Hotel,4.0,5
1164776,Chicago Athletic Association,9.0,1
676721,River Park Motel & Suites,23.0,2
278717,The Fisher Building,16.0,3
87600,Delaware Towers,2.6666666666666665,3
123230,Lincoln Motel,8.0,1
