Hotel ID,Hotel Name,Total Rating,Overall Customers
91607,Fairfield Inn & Suites Indianapolis Airport,8.5,2
287572,Hilton Garden Inn Indianapolis Downtown,9.818181818181818,11
88172,Hilton Indianapolis North,3.111111111111111,9
91428,Sleep Inn Airport West,19.0,1
91450,Holiday Inn Express Indianapolis South,4.5,2
91446,Bridgemont Residence Inn,2.0,1
268139,America's Best Inn & Suites Indianapolis / Airport Area,3.5,2
144736,Dollar Inn - Indianapolis,3.142857142857143,7
582205,Rodeway Inn,1.0,4
240139,Super 8 Indianapolis/Emerson,3.0,1
120810,Dollar Inn - Castleton,3.0,1
91436,Kings Inn of Indianapolis,1.0,1
278566,Americas Best Value Inn-Indy East,1.0,1
223830,Marriott Indianapolis Downtown,8.666666666666666,6
124015,Cavalier's Resort & Conference Center,1.1666666666666667,6
88153,Best Inn,2.6666666666666665,3
259022,Days Inn Indianapolis,1.0,1
288193,The Suites at 14 West,5.0,2
141972,Quality Inn & Suites East,6.25,4
91490,Super 8 Indianapolis College Park,4.0,2
88151,Comfort Inn & Suites N at Pyramids,20.0,1
251963,Super 8 Indianapolis South,4.0,1
120813,Country Inn & Suites By Carlson Indianapolis-South,5.0,1
78887,Clarion Hotel & Conference Center,14.0,2
91599,Residence Inn Indianapolis Airport,24.0,1
91506,The Gatehouse Suites Indianapolis,3.0,2
224830,Extended Stay Deluxe - Indianapolis - Northwest - I-465,3.5,4
91454,Comfort Inn,12.0,2
91458,Fairfield Inn Indianapolis South,4.0,1
223208,Ramada I-70 East Indianapolis,2.0,1
120766,Extended Stay Deluxe - Indianapolis - Airport - W. Southern Ave.,1.0,1
265878,Radisson Hotel Indianapolis Airport,5.636363636363637,11
120783,Columbia Club,5.0,1
88164,Crowne Plaza Indianapolis Downtown (Union Station),5.285714285714286,7
88161,Hampton Inn Indianapolis-East,12.0,1
91474,TownePlace Suites Indianapolis NW,6.0,1
91609,Courtyard by Marriott Indianapolis Airport,13.5,2
91484,Caribbean Cove Hotel & Conference Center,12.0,16
530673,La Quinta Inn Indianapolis North at Pyramids,1.0,2
631598,Candlewood Suites Indianapolis Dwtn Medical Dist,3.5,2
224820,Red Roof Inn Indianapolis North - College Park,7.0,2
223363,Staybridge Suites Indianapolis - Fishers,11.25,4
91519,Courtyard by Marriott Indianapolis Carmel,10.0,3
88155,Embassy Suites Indianapolis - Downtown,8.25,8
91602,La Quinta Inn Indianapolis Airport Lynhurst,12.5,2
91573,University Place Conference Center & Hotel Indianapolis,2.75,4
91509,Marriott Indianapolis North,4.333333333333333,6
91462,Courtyard Indianapolis South,6.5,2
224793,La Quinta Inn Indianapolis Airport Executive Drive,3.0,2
223827,Fairfield Inn & Suites Indianapolis East,4.0,1
111624,Hampton Inn Indianapolis Dwtn Across from Circle Centre,7.142857142857143,7
88188,Holiday Inn Indianapolis North/Carmel,9.0,1
91441,Baymont Inn & Suites Indianapolis South,2.5,2
88186,The Westin Indianapolis,4.666666666666667,9
120798,Jameson Inn of Indy Castleton,1.0,3
91491,Drury Inn Indianapolis,13.5,2
91558,La Quinta Inn Indianapolis East,4.0,1
91577,Residence Inn Indianapolis Downtown on the Canal,13.0,2
120794,Hyatt Place Indianapolis Airport,4.0,1
224832,Wingate by Wyndham Indianapolis Northwest,24.0,1
88168,Hyatt Regency Indianapolis,6.7272727272727275,11
224259,Hilton Indianapolis,10.8,5
88171,Marriott Indianapolis East,3.5,4
88173,Omni Severin Hotel,4.578947368421052,19
111623,Embassy Suites Indianapolis North,11.4,5
