Hotel ID,Hotel Name,Total Rating,Overall Customers
576787,Conrad Indianapolis,23.24,25
91429,Baymont Inn & Suites Indianapolis West,26.0,1
278567,Residence Inn Indianapolis Northwest,23.0,3
91513,Homewood Suites by Hilton Indianapolis At The Crossing,23.0,4
91607,Fairfield Inn & Suites Indianapolis Airport,9.5,4
91502,Jameson Inn Indianapolis-Carmel,24.0,1
88159,Hampton Inn Indianapolis - NE / Castleton,12.666666666666666,3
287572,Hilton Garden Inn Indianapolis Downtown,18.12121212121212,33
88172,Hilton Indianapolis North,7.076923076923077,13
91428,Sleep Inn Airport West,21.666666666666668,3
91450,Holiday Inn Express Indianapolis South,12.2,5
1214250,La Quinta Inn Indianapolis East-Post Drive,9.5,2
91446,Bridgemont Residence Inn,1.5,2
240136,Country Hearth Inn Indianapolis,4.0,1
268139,America's Best Inn & Suites Indianapolis / Airport Area,4.0,3
240185,Econo Lodge Indianapolis,18.5,2
144736,Dollar Inn - Indianapolis,3.1666666666666665,12
91608,Extended Stay America - Indianapolis - Airport,4.0,1
224819,Quality Inn & Suites Airport,20.2,5
582205,Rodeway Inn,2.4444444444444446,9
91338,Motel 6 - Indianapolis North,9.0,1
88140,Comfort Inn South,11.333333333333334,6
240139,Super 8 Indianapolis/Emerson,3.0,1
223830,Marriott Indianapolis Downtown,14.277777777777779,18
120810,Dollar Inn - Castleton,3.0,1
120811,Americas Best Value Inn - Indy Northwest,9.0,1
120802,Motel 6 Indianapolis South,8.0,2
586270,Always Inn,11.666666666666666,3
91436,Kings Inn of Indianapolis,3.6666666666666665,3
120770,Red Roof Inn Indianapolis - South,15.0,1
91442,Travel Inn,1.0,1
278566,Americas Best Value Inn-Indy East,10.333333333333334,3
124015,Cavalier's Resort & Conference Center,2.8,10
91561,Indianapolis East Knights Inn,5.0,1
275739,Quality Inn & Suites,12.333333333333334,3
241032,Indianapolis Budget Inn and Suites,4.0,2
120767,American Inn West,3.5,2
88153,Best Inn,7.333333333333333,6
259022,Days Inn Indianapolis,2.6666666666666665,3
88138,Brickyard Crossing Golf Resort and Inn,12.5,2
288193,The Suites at 14 West,5.0,2
518323,Country Inn & Suites Indianapolis NE at I-69,17.428571428571427,7
141972,Quality Inn & Suites East,7.111111111111111,9
91490,Super 8 Indianapolis College Park,9.833333333333334,6
239898,Magnuson Hotel Castleton Inn,13.333333333333334,6
91496,Clarion Inn & Suites Northwest,23.0,2
88151,Comfort Inn & Suites N at Pyramids,19.75,4
224809,BEST WESTERN Airport Suites,13.0,4
91515,BEST WESTERN Country Suites,16.0,4
251963,Super 8 Indianapolis South,4.0,1
120813,Country Inn & Suites By Carlson Indianapolis-South,13.25,4
78887,Clarion Hotel & Conference Center,11.0,6
224799,Comfort Inn East Indianapolis,8.0,1
91599,Residence Inn Indianapolis Airport,18.714285714285715,7
91506,The Gatehouse Suites Indianapolis,3.0,2
91522,Extended Stay America - Indianapolis - North - Carmel,15.0,1
224830,Extended Stay Deluxe - Indianapolis - Northwest - I-465,3.3333333333333335,6
88143,Days Inn Indianapolis Airport,19.625,8
91605,Ramada Airport Indianapolis,23.666666666666668,6
91454,Comfort Inn,15.0,6
91458,Fairfield Inn Indianapolis South,10.0,2
88150,Indianapolis Days Inn & Suites Castleton,17.0,2
273699,Quality Inn Indianapolis,13.5,2
223208,Ramada I-70 East Indianapolis,8.0,2
120766,Extended Stay Deluxe - Indianapolis - Airport - W. Southern Ave.,13.0,2
91494,Courtyard Indianapolis Northwest,20.0,2
88164,Crowne Plaza Indianapolis Downtown (Union Station),14.56,25
265878,Radisson Hotel Indianapolis Airport,8.25,16
120783,Columbia Club,15.0,2
91457,Hampton Inn Indianapolis-South,20.0,1
88161,Hampton Inn Indianapolis-East,12.666666666666666,3
91484,Caribbean Cove Hotel & Conference Center,14.043478260869565,46
91474,TownePlace Suites Indianapolis NW,8.0,2
91609,Courtyard by Marriott Indianapolis Airport,18.166666666666668,6
1567301,"Fort Harrison State Park Inn, Golf Resort & Conference Center",4.0,1
91435,Comfort Inn & Suites West,17.166666666666668,6
223363,Staybridge Suites Indianapolis - Fishers,18.615384615384617,13
530673,La Quinta Inn Indianapolis North at Pyramids,1.0,3
631598,Candlewood Suites Indianapolis Dwtn Medical Dist,12.25,4
224820,Red Roof Inn Indianapolis North - College Park,12.75,4
240134,BEST WESTERN Indianapolis South,1.0,1
564589,Country Inn & Suites Indianapolis Airport South,23.75,8
91479,Extended Stay America-West 86th Street,6.5,2
91519,Courtyard by Marriott Indianapolis Carmel,10.0,3
91500,The Marten House Hotel,14.6,5
88155,Embassy Suites Indianapolis - Downtown,15.173913043478262,23
91602,La Quinta Inn Indianapolis Airport Lynhurst,11.0,7
91573,University Place Conference Center & Hotel Indianapolis,12.6875,16
91509,Marriott Indianapolis North,10.6,10
91462,Courtyard Indianapolis South,10.0,3
224793,La Quinta Inn Indianapolis Airport Executive Drive,9.5,6
111624,Hampton Inn Indianapolis Dwtn Across from Circle Centre,14.529411764705882,17
223827,Fairfield Inn & Suites Indianapolis East,19.4,5
278565,Holiday Inn Express Indianapolis Downtown City Centre,21.0,5
88188,Holiday Inn Indianapolis North/Carmel,9.0,1
91441,Baymont Inn & Suites Indianapolis South,9.666666666666666,3
88186,The Westin Indianapolis,11.794871794871796,39
224831,Wingate By Wyndham Indianapolis Airport-Rockville Rd.,19.0,8
91596,Courtyard by Marriott Indianapolis at the Capitol,20.5,2
91527,Residence Inn Indianapolis Fishers,4.0,1
120798,Jameson Inn of Indy Castleton,1.0,3
91491,Drury Inn Indianapolis,15.928571428571429,14
91558,La Quinta Inn Indianapolis East,14.833333333333334,6
91577,Residence Inn Indianapolis Downtown on the Canal,14.5,6
88168,Hyatt Regency Indianapolis,15.897435897435898,39
120794,Hyatt Place Indianapolis Airport,15.625,8
224832,Wingate by Wyndham Indianapolis Northwest,25.8,5
582252,Homewood Suites by Hilton Indianapolis-Downtown,29.0,5
224259,Hilton Indianapolis,18.214285714285715,14
88171,Marriott Indianapolis East,12.9,10
88173,Omni Severin Hotel,10.676470588235293,34
111623,Embassy Suites Indianapolis North,15.266666666666667,15
