Hotel ID,Hotel Name,Total Rating,Overall Customers
576787,Conrad Indianapolis,23.46153846153846,52
91429,Baymont Inn & Suites Indianapolis West,18.0,3
278567,Residence Inn Indianapolis Northwest,24.2,5
91544,Extended Stay America - Indianapolis - Castleton,26.0,1
91513,Homewood Suites by Hilton Indianapolis At The Crossing,17.46153846153846,13
91607,Fairfield Inn & Suites Indianapolis Airport,16.0,8
91502,Jameson Inn Indianapolis-Carmel,26.666666666666668,3
88159,Hampton Inn Indianapolis - NE / Castleton,12.666666666666666,3
287572,Hilton Garden Inn Indianapolis Downtown,18.425,40
88172,Hilton Indianapolis North,12.043478260869565,23
91428,Sleep Inn Airport West,16.333333333333332,9
91450,Holiday Inn Express Indianapolis South,17.77777777777778,9
1214250,La Quinta Inn Indianapolis East-Post Drive,9.5,2
91553,BEST WESTERN Crossroads,20.0,4
91446,Bridgemont Residence Inn,2.3333333333333335,3
665394,Dollar Inn Airport,30.0,1
240136,Country Hearth Inn Indianapolis,4.0,1
144736,Dollar Inn - Indianapolis,3.7333333333333334,15
268139,America's Best Inn & Suites Indianapolis / Airport Area,7.8,5
224819,Quality Inn & Suites Airport,17.444444444444443,9
240185,Econo Lodge Indianapolis,18.5,2
91608,Extended Stay America - Indianapolis - Airport,4.0,1
223830,Marriott Indianapolis Downtown,17.896551724137932,29
582205,Rodeway Inn,2.4444444444444446,9
88140,Comfort Inn South,12.090909090909092,11
635243,Comfort Inn & Suites German Church Road,19.5,2
91338,Motel 6 - Indianapolis North,9.0,1
240139,Super 8 Indianapolis/Emerson,6.666666666666667,3
124015,Cavalier's Resort & Conference Center,4.3125,16
586270,Always Inn,8.4,5
120810,Dollar Inn - Castleton,10.333333333333334,3
120811,Americas Best Value Inn - Indy Northwest,9.333333333333334,3
120802,Motel 6 Indianapolis South,10.333333333333334,3
91436,Kings Inn of Indianapolis,3.6666666666666665,3
120770,Red Roof Inn Indianapolis - South,15.5,4
91442,Travel Inn,1.0,1
278566,Americas Best Value Inn-Indy East,9.25,4
91561,Indianapolis East Knights Inn,3.0,2
275739,Quality Inn & Suites,11.5,4
241032,Indianapolis Budget Inn and Suites,4.0,2
120767,American Inn West,3.5,2
88153,Best Inn,7.333333333333333,6
259022,Days Inn Indianapolis,4.333333333333333,6
120796,InTown Suites Indianapolis Northwest,30.0,1
88138,Brickyard Crossing Golf Resort and Inn,12.5,2
288193,The Suites at 14 West,5.0,2
518323,Country Inn & Suites Indianapolis NE at I-69,16.11111111111111,9
88151,Comfort Inn & Suites N at Pyramids,21.2,10
141972,Quality Inn & Suites East,6.5,10
91515,BEST WESTERN Country Suites,19.0,8
91490,Super 8 Indianapolis College Park,10.75,8
239898,Magnuson Hotel Castleton Inn,14.571428571428571,7
91496,Clarion Inn & Suites Northwest,26.5,4
224809,BEST WESTERN Airport Suites,13.0,4
251963,Super 8 Indianapolis South,11.6,5
120813,Country Inn & Suites By Carlson Indianapolis-South,15.833333333333334,6
78887,Clarion Hotel & Conference Center,12.0,12
224799,Comfort Inn East Indianapolis,12.0,2
91599,Residence Inn Indianapolis Airport,18.714285714285715,7
91542,Super 8 Motel Indianapolis / NE / Castleton Area,8.0,2
91506,The Gatehouse Suites Indianapolis,9.333333333333334,3
91522,Extended Stay America - Indianapolis - North - Carmel,15.0,1
88175,Sheraton Indianapolis City Centre Hotel,19.8125,16
91432,Ramada Limited Indianapolis West,22.0,1
224830,Extended Stay Deluxe - Indianapolis - Northwest - I-465,5.428571428571429,7
88143,Days Inn Indianapolis Airport,20.333333333333332,9
91605,Ramada Airport Indianapolis,23.666666666666668,6
91454,Comfort Inn,15.0,6
91458,Fairfield Inn Indianapolis South,10.0,2
223829,Fairfield Inn & Suites Indianapolis Northwest,2.0,1
273699,Quality Inn Indianapolis,15.0,3
88150,Indianapolis Days Inn & Suites Castleton,13.0,3
88164,Crowne Plaza Indianapolis Downtown (Union Station),17.36,50
223208,Ramada I-70 East Indianapolis,21.0,7
120766,Extended Stay Deluxe - Indianapolis - Airport - W. Southern Ave.,11.333333333333334,6
91477,Days Inn & Suites Indianapolis NW,12.5,2
91494,Courtyard Indianapolis Northwest,15.333333333333334,3
265878,Radisson Hotel Indianapolis Airport,9.217391304347826,23
278568,Super 8 Indianapolis,20.5,2
