Hotel ID,Hotel Name,Total Rating,Overall Customers
576787,Conrad Indianapolis,27.880851063829788,235
91429,Baymont Inn & Suites Indianapolis West,22.8,20
278567,Residence Inn Indianapolis Northwest,23.347826086956523,23
1502098,Comfort Suites Indianapolis Airport,25.966101694915253,59
1008650,Comfort Suites City Centre,26.27906976744186,43
287572,Hilton Garden Inn Indianapolis Downtown,24.13888888888889,108
91513,Homewood Suites by Hilton Indianapolis At The Crossing,24.816326530612244,49
91544,Extended Stay America - Indianapolis - Castleton,21.142857142857142,7
91607,Fairfield Inn & Suites Indianapolis Airport,23.304347826086957,23
91502,Jameson Inn Indianapolis-Carmel,26.448275862068964,29
88159,Hampton Inn Indianapolis - NE / Castleton,21.970588235294116,34
88172,Hilton Indianapolis North,21.52173913043478,69
223830,Marriott Indianapolis Downtown,23.88,150
1156950,Suburban Extended Stay N East,24.181818181818183,11
91428,Sleep Inn Airport West,21.81081081081081,37
91450,Holiday Inn Express Indianapolis South,21.029411764705884,34
1214250,La Quinta Inn Indianapolis East-Post Drive,21.083333333333332,24
88151,Comfort Inn & Suites N at Pyramids,23.92156862745098,51
88175,Sheraton Indianapolis City Centre Hotel,21.603174603174605,126
88164,Crowne Plaza Indianapolis Downtown (Union Station),20.858585858585858,198
88158,Extend a Suites Indianapolis,30.5,10
91553,BEST WESTERN Crossroads,20.384615384615383,13
91446,Bridgemont Residence Inn,9.0,4
1026913,Value Place Lawrence,20.9,10
144736,Dollar Inn - Indianapolis,5.681818181818182,22
260932,InTown Suites Indianapolis North,7.5,2
665394,Dollar Inn Airport,19.0,2
240136,Country Hearth Inn Indianapolis,16.0,3
91338,Motel 6 - Indianapolis North,15.0,10
635243,Comfort Inn & Suites German Church Road,14.555555555555555,9
224819,Quality Inn & Suites Airport,18.125,24
120770,Red Roof Inn Indianapolis - South,18.3,30
91608,Extended Stay America - Indianapolis - Airport,18.857142857142858,14
124015,Cavalier's Resort & Conference Center,6.738095238095238,42
240185,Econo Lodge Indianapolis,10.5,10
268139,America's Best Inn & Suites Indianapolis / Airport Area,6.428571428571429,7
582205,Rodeway Inn,6.125,16
88140,Comfort Inn South,14.48,25
91443,Knights Inn South / Airport Indianapolis,13.363636363636363,11
240139,Super 8 Indianapolis/Emerson,16.0,10
88148,Americas Best Value Inn Indianapolis / Speedway,12.0,6
259022,Days Inn Indianapolis,8.0,18
91442,Travel Inn,11.428571428571429,7
240187,Motel 6 Indianapolis - East,11.666666666666666,6
120811,Americas Best Value Inn - Indy Northwest,9.166666666666666,6
120795,InTown Suites Indianapolis East,14.75,4
586270,Always Inn,8.333333333333334,6
91436,Kings Inn of Indianapolis,7.571428571428571,7
217026,Knights Inn Indianapolis,10.666666666666666,3
120810,Dollar Inn - Castleton,10.0,4
278566,Americas Best Value Inn-Indy East,13.333333333333334,9
120802,Motel 6 Indianapolis South,10.75,4
275739,Quality Inn & Suites,11.166666666666666,12
91561,Indianapolis East Knights Inn,9.142857142857142,7
91490,Super 8 Indianapolis College Park,15.095238095238095,21
241032,Indianapolis Budget Inn and Suites,4.0,2
120767,American Inn West,3.5,2
239898,Magnuson Hotel Castleton Inn,19.225806451612904,31
1627952,Americas Best Value Inn-Indy South,18.25,4
88153,Best Inn,7.428571428571429,7
120777,Mayfair Motel,8.0,1
141972,Quality Inn & Suites East,13.058823529411764,17
1520042,Wyndham Indianapolis West,22.46153846153846,78
288193,The Suites at 14 West,14.5,4
120796,InTown Suites Indianapolis Northwest,30.0,1
88138,Brickyard Crossing Golf Resort and Inn,15.666666666666666,3
91515,BEST WESTERN Country Suites,17.666666666666668,21
518323,Country Inn & Suites Indianapolis NE at I-69,16.11111111111111,9
91496,Clarion Inn & Suites Northwest,22.3125,16
120813,Country Inn & Suites By Carlson Indianapolis-South,19.235294117647058,34
78887,Clarion Hotel & Conference Center,14.604651162790697,43
224809,BEST WESTERN Airport Suites,17.625,16
91484,Caribbean Cove Hotel & Conference Center,14.170454545454545,176
251963,Super 8 Indianapolis South,19.5,16
88143,Days Inn Indianapolis Airport,17.452380952380953,42
91506,The Gatehouse Suites Indianapolis,18.846153846153847,26
91599,Residence Inn Indianapolis Airport,20.791666666666668,24
223208,Ramada I-70 East Indianapolis,17.2,45
265878,Radisson Hotel Indianapolis Airport,17.66346153846154,104
91542,Super 8 Motel Indianapolis / NE / Castleton Area,17.6,10
224830,Extended Stay Deluxe - Indianapolis - Northwest - I-465,17.321428571428573,28
224799,Comfort Inn East Indianapolis,16.875,8
91432,Ramada Limited Indianapolis West,22.928571428571427,14
91605,Ramada Airport Indianapolis,17.0,44
91522,Extended Stay America - Indianapolis - North - Carmel,18.25,4
91475,Extended Stay America - Indianapolis - Northwest - College Park,15.0,2
91458,Fairfield Inn Indianapolis South,23.153846153846153,13
91454,Comfort Inn,17.642857142857142,14
223829,Fairfield Inn & Suites Indianapolis Northwest,23.923076923076923,13
88150,Indianapolis Days Inn & Suites Castleton,15.571428571428571,21
273699,Quality Inn Indianapolis,16.571428571428573,7
120766,Extended Stay Deluxe - Indianapolis - Airport - W. Southern Ave.,20.59090909090909,22
91477,Days Inn & Suites Indianapolis NW,20.833333333333332,24
1759407,Candlewood Suites Indianapolis East,25.142857142857142,7
91494,Courtyard Indianapolis Northwest,20.428571428571427,7
631597,Candlewood Suites Indianapolis Airport,24.235294117647058,17
120783,Columbia Club,20.40740740740741,27
278568,Super 8 Indianapolis,16.4,10
88161,Hampton Inn Indianapolis-East,18.166666666666668,18
91435,Comfort Inn & Suites West,20.5,52
1114620,Candlewood Suites Indianapolis,27.625,16
91457,Hampton Inn Indianapolis-South,26.473684210526315,19
91609,Courtyard by Marriott Indianapolis Airport,21.91176470588235,34
91573,University Place Conference Center & Hotel Indianapolis,20.186046511627907,172
631598,Candlewood Suites Indianapolis Dwtn Medical Dist,23.8,40
91474,TownePlace Suites Indianapolis NW,21.636363636363637,22
223363,Staybridge Suites Indianapolis - Fishers,24.80952380952381,63
91551,Hyatt Place Indianapolis/Keystone,24.813953488372093,43
564589,Country Inn & Suites Indianapolis Airport South,24.680555555555557,72
1567301,"Fort Harrison State Park Inn, Golf Resort & Conference Center",25.77777777777778,9
730126,Holiday Inn Express Beech Grove-Indianapolis Southeast,23.757575757575758,66
240134,BEST WESTERN Indianapolis South,26.390243902439025,41
224820,Red Roof Inn Indianapolis North - College Park,22.866666666666667,30
530673,La Quinta Inn Indianapolis North at Pyramids,17.875,16
88155,Embassy Suites Indianapolis - Downtown,20.700680272108844,147
88144,La Quinta Inn & Suites Indianapolis Downtown,24.72,25
224810,Holiday Inn Express and Suites Indianapolis East,25.846153846153847,13
1239568,Candlewood Suites Indianapolis Northwest,28.4,10
91519,Courtyard by Marriott Indianapolis Carmel,21.842105263157894,19
91479,Extended Stay America-West 86th Street,17.307692307692307,13
91488,Holiday Inn Express Northwest-Park 100,27.0,28
674056,Staybridge Suites Indianapolis - City Centre,25.854166666666668,48
88186,The Westin Indianapolis,20.329545454545453,264
1641470,Hilton Garden Inn Indianapolis Northwest,23.5625,16
91500,The Marten House Hotel,12.363636363636363,11
223827,Fairfield Inn & Suites Indianapolis East,23.44736842105263,38
224793,La Quinta Inn Indianapolis Airport Executive Drive,16.272727272727273,22
