Hotel ID,Hotel Name,Total Rating,Overall Customers
220216,Beacon Hill Hotel and Bistro,5.0,3
121009,Holiday Inn Express Boston,3.0,2
111422,DoubleTree Suites by Hilton - Boston,4.7272727272727275,11
217550,DoubleTree by Hilton Hotel Boston - Downtown,6.571428571428571,7
217000,Days Hotel Boston,5.0,1
120977,Copley House,1.5,2
222958,Comfort Inn - Boston,8.0,2
222957,BEST WESTERN PLUS Roundhouse Suites,1.5,2
217148,Ramada Inn Boston,2.3333333333333335,3
94354,Howard Johnson Inn Fenway Park Boston,4.0,1
94368,DoubleTree Club by Hilton Hotel Boston Bayside,3.5,6
111441,Hyatt Regency Boston,4.0,2
89592,Milner Hotel,1.5,4
94372,Boston Hotel Buckminster,2.6666666666666665,3
94326,Hilton Boston Downtown / Financial District,7.583333333333333,24
217546,Holiday Inn Boston at Beacon Hill,3.0,1
126058,Constitution Inn,2.5,2
77638,The Inn at Longwood Medical,5.0,1
89619,Courtyard Boston Downtown / Tremont,4.6,10
94350,The Midtown Hotel,3.25,4
89620,Hyatt Harborside at Boston's Logan International Airport,9.0,3
89568,Chandler Inn,2.5714285714285716,7
89615,Taj Boston,5.0,1
268205,Embassy Suites Boston Logan Airport,5.333333333333333,3
111423,Eliot Hotel,4.125,8
111428,Hilton Boston Back Bay,9.666666666666666,6
120988,Hilton Boston Logan Airport,4.5,6
111434,Newbury Guest House,4.0,2
268207,Residence Inn by Marriott Boston Harbor on Tudor Wharf,4.0,1
222955,Ritz-Carlton Boston Common,8.6,5
94399,Club Quarters Boston,3.1666666666666665,6
114150,Millennium Bostonian Hotel,2.7,10
111417,Boston Marriott Long Wharf,6.625,8
94344,Marriott's Custom House,5.0,3
114149,"The Langham, Boston",2.3333333333333335,3
111416,Boston Marriott Copley Place,4.75,4
89617,The Westin Copley Place,4.142857142857143,7
94367,Harborside Inn,3.888888888888889,9
111444,"The Fairmont Copley Plaza, Boston",4.0,3
94330,Seaport Boston Hotel,6.733333333333333,15
94337,XV Beacon,4.2,5
89585,Four Seasons Hotel Boston,5.0,2
89575,Boston Harbor Hotel,12.4,5
94371,Colonnade Hotel,4.357142857142857,14
111418,The Boston Park Plaza Hotel & Towers,2.9833333333333334,60
89599,Omni Parker House,4.8,25
114134,The Lenox Hotel,3.0,7
258705,Hotel Commonwealth,5.0,3
