Hotel ID,Hotel Name,Total Rating,Overall Customers
220216,Beacon Hill Hotel and Bistro,4.75,4
121009,Holiday Inn Express Boston,6.75,4
111422,DoubleTree Suites by Hilton - Boston,4.6923076923076925,13
217550,DoubleTree by Hilton Hotel Boston - Downtown,5.777777777777778,18
217000,Days Hotel Boston,3.2,5
120977,Copley House,3.0,3
222958,Comfort Inn - Boston,4.333333333333333,6
222957,BEST WESTERN PLUS Roundhouse Suites,4.875,8
217148,Ramada Inn Boston,6.0,8
77629,BEST WESTERN University Hotel-Boston/Brighton,5.0,1
94354,Howard Johnson Inn Fenway Park Boston,6.0,3
111441,Hyatt Regency Boston,5.956521739130435,23
94368,DoubleTree Club by Hilton Hotel Boston Bayside,3.1818181818181817,11
89592,Milner Hotel,2.7777777777777777,9
94372,Boston Hotel Buckminster,6.375,8
94326,Hilton Boston Downtown / Financial District,7.75,48
287606,Onyx Hotel - a Kimpton Hotel,12.222222222222221,9
217546,Holiday Inn Boston at Beacon Hill,4.166666666666667,12
94350,The Midtown Hotel,5.461538461538462,13
77638,The Inn at Longwood Medical,3.5,2
126058,Constitution Inn,4.0,4
89619,Courtyard Boston Downtown / Tremont,3.75,28
89620,Hyatt Harborside at Boston's Logan International Airport,6.777777777777778,9
89568,Chandler Inn,5.538461538461538,13
89615,Taj Boston,4.333333333333333,3
268205,Embassy Suites Boston Logan Airport,5.846153846153846,13
111423,Eliot Hotel,5.833333333333333,12
111428,Hilton Boston Back Bay,6.75,20
120988,Hilton Boston Logan Airport,7.8,15
111434,Newbury Guest House,3.8,5
222955,Ritz-Carlton Boston Common,5.5,12
268207,Residence Inn by Marriott Boston Harbor on Tudor Wharf,4.0,3
94399,Club Quarters Boston,3.2857142857142856,14
225873,Charlesmark Hotel,11.8,5
114150,Millennium Bostonian Hotel,3.642857142857143,28
111417,Boston Marriott Long Wharf,5.333333333333333,15
94344,Marriott's Custom House,10.0,7
114149,"The Langham, Boston",6.285714285714286,7
111416,Boston Marriott Copley Place,8.0,10
89617,The Westin Copley Place,5.352941176470588,17
94367,Harborside Inn,4.625,16
111444,"The Fairmont Copley Plaza, Boston",6.583333333333333,12
94330,Seaport Boston Hotel,5.869565217391305,23
94337,XV Beacon,6.611111111111111,18
89585,Four Seasons Hotel Boston,4.2,5
89575,Boston Harbor Hotel,6.8125,16
94371,Colonnade Hotel,4.72,25
111418,The Boston Park Plaza Hotel & Towers,3.4444444444444446,99
321151,The Back Bay Hotel,9.5,4
89599,Omni Parker House,5.581818181818182,55
114134,The Lenox Hotel,5.0,14
258705,Hotel Commonwealth,9.333333333333334,12
