Hotel ID,Hotel Name,Total Rating,Overall Customers
220216,Beacon Hill Hotel and Bistro,7.0,6
320038,Hampton Inn & Suites Boston Crosstown Center,13.9375,16
121009,Holiday Inn Express Boston,8.666666666666666,9
111422,DoubleTree Suites by Hilton - Boston,8.678571428571429,28
549445,Hotel 140,8.833333333333334,6
217550,DoubleTree by Hilton Hotel Boston - Downtown,9.0625,32
216999,Americas Best Value Inn,16.0,1
217000,Days Hotel Boston,8.923076923076923,13
120977,Copley House,2.5,4
222958,Comfort Inn - Boston,5.222222222222222,9
222957,BEST WESTERN PLUS Roundhouse Suites,7.8,20
77629,BEST WESTERN University Hotel-Boston/Brighton,9.0,6
217148,Ramada Inn Boston,4.529411764705882,17
94354,Howard Johnson Inn Fenway Park Boston,6.166666666666667,6
111441,Hyatt Regency Boston,9.556962025316455,79
499916,Bulfinch Hotel Boston,16.296296296296298,27
94368,DoubleTree Club by Hilton Hotel Boston Bayside,8.090909090909092,22
94326,Hilton Boston Downtown / Financial District,12.733333333333333,120
94372,Boston Hotel Buckminster,8.826086956521738,23
89592,Milner Hotel,4.0,19
287606,Onyx Hotel - a Kimpton Hotel,11.346938775510203,49
217546,Holiday Inn Boston at Beacon Hill,8.775,40
94350,The Midtown Hotel,8.324324324324325,37
89619,Courtyard Boston Downtown / Tremont,5.673913043478261,46
126058,Constitution Inn,7.375,8
77638,The Inn at Longwood Medical,7.6,5
89620,Hyatt Harborside at Boston's Logan International Airport,10.64516129032258,31
89615,Taj Boston,14.714285714285714,14
89568,Chandler Inn,6.45,20
268205,Embassy Suites Boston Logan Airport,7.592592592592593,27
111423,Eliot Hotel,8.551724137931034,29
111428,Hilton Boston Back Bay,9.416666666666666,36
120988,Hilton Boston Logan Airport,9.956521739130435,46
111434,Newbury Guest House,11.61111111111111,18
222955,Ritz-Carlton Boston Common,7.826086956521739,23
268207,Residence Inn by Marriott Boston Harbor on Tudor Wharf,13.833333333333334,12
225873,Charlesmark Hotel,13.419354838709678,62
94399,Club Quarters Boston,6.057142857142857,35
114150,Millennium Bostonian Hotel,7.396551724137931,58
111417,Boston Marriott Long Wharf,11.575757575757576,33
313573,Courtyard by Marriott Boston Copley Square,13.0,5
94344,Marriott's Custom House,11.2,15
114149,"The Langham, Boston",14.028571428571428,35
111416,Boston Marriott Copley Place,12.727272727272727,44
89617,The Westin Copley Place,11.183673469387756,49
94367,Harborside Inn,7.595238095238095,42
111444,"The Fairmont Copley Plaza, Boston",10.90566037735849,53
94330,Seaport Boston Hotel,6.589743589743589,39
94337,XV Beacon,10.975,40
111418,The Boston Park Plaza Hotel & Towers,6.127659574468085,188
89585,Four Seasons Hotel Boston,9.88888888888889,9
89575,Boston Harbor Hotel,9.84,25
94371,Colonnade Hotel,6.906976744186046,43
321151,The Back Bay Hotel,15.85135135135135,74
89599,Omni Parker House,9.424460431654676,139
114134,The Lenox Hotel,6.916666666666667,36
258705,Hotel Commonwealth,15.106382978723405,47
