Hotel ID,Hotel Name,Total Rating,Overall Customers
220216,Beacon Hill Hotel and Bistro,15.227272727272727,22
320038,Hampton Inn & Suites Boston Crosstown Center,16.875,72
121009,Holiday Inn Express Boston,18.71641791044776,67
111422,DoubleTree Suites by Hilton - Boston,17.716216216216218,148
217550,DoubleTree by Hilton Hotel Boston - Downtown,16.5,118
549445,Hotel 140,15.865671641791044,67
216999,Americas Best Value Inn,11.666666666666666,15
217000,Days Hotel Boston,14.268292682926829,41
555224,Courtyard Boston-South Boston,23.081967213114755,61
120977,Copley House,13.934782608695652,46
111441,Hyatt Regency Boston,17.552346570397113,277
222958,Comfort Inn - Boston,12.69047619047619,42
222957,BEST WESTERN PLUS Roundhouse Suites,13.4,60
94326,Hilton Boston Downtown / Financial District,17.803174603174604,315
94363,Courtyard by Marriott Boston Logan Airport,20.0,2
499916,Bulfinch Hotel Boston,18.50955414012739,157
217148,Ramada Inn Boston,11.24561403508772,57
77629,BEST WESTERN University Hotel-Boston/Brighton,14.473684210526315,38
94354,Howard Johnson Inn Fenway Park Boston,18.294117647058822,51
287606,Onyx Hotel - a Kimpton Hotel,18.53731343283582,201
94368,DoubleTree Club by Hilton Hotel Boston Bayside,16.495049504950494,101
94372,Boston Hotel Buckminster,12.415094339622641,106
89619,Courtyard Boston Downtown / Tremont,12.9,120
89592,Milner Hotel,9.608108108108109,74
217546,Holiday Inn Boston at Beacon Hill,16.322580645161292,124
94350,The Midtown Hotel,16.46857142857143,175
77638,The Inn at Longwood Medical,18.808823529411764,68
126058,Constitution Inn,15.83673469387755,49
89602,Sheraton Boston Hotel,18.564814814814813,216
89620,Hyatt Harborside at Boston's Logan International Airport,17.283464566929133,127
89615,Taj Boston,17.742857142857144,105
268205,Embassy Suites Boston Logan Airport,16.746268656716417,134
89568,Chandler Inn,13.686746987951807,83
111423,Eliot Hotel,17.941747572815533,103
111428,Hilton Boston Back Bay,18.526011560693643,173
120988,Hilton Boston Logan Airport,18.885167464114833,209
225873,Charlesmark Hotel,19.508650519031143,289
678412,Renaissance Boston Waterfront Hotel,23.24074074074074,54
111434,Newbury Guest House,17.25,88
222955,Ritz-Carlton Boston Common,16.67105263157895,76
268207,Residence Inn by Marriott Boston Harbor on Tudor Wharf,20.344827586206897,58
94399,Club Quarters Boston,15.075581395348838,172
595373,The Westin Boston Waterfront,17.818181818181817,176
111416,Boston Marriott Copley Place,19.806324110671937,253
114150,Millennium Bostonian Hotel,15.425287356321839,174
111421,Copley Square Hotel,26.88,25
620703,InterContinental Boston,23.19138755980861,209
111417,Boston Marriott Long Wharf,17.975806451612904,124
1136705,"Mandarin Oriental, Boston",21.7,10
313573,Courtyard by Marriott Boston Copley Square,22.802816901408452,71
94344,Marriott's Custom House,20.359550561797754,89
114149,"The Langham, Boston",18.930817610062892,159
647006,The Liberty Hotel,22.448275862068964,87
1159285,The Inn At St Botolph,28.515151515151516,33
89617,The Westin Copley Place,18.803212851405622,249
1201116,Fairmont Battery Wharf,29.5,6
111418,The Boston Park Plaza Hotel & Towers,13.563748079877112,651
111444,"The Fairmont Copley Plaza, Boston",18.995670995670995,231
94367,Harborside Inn,17.236559139784948,186
94330,Seaport Boston Hotel,16.025316455696203,158
94337,XV Beacon,16.13888888888889,108
89599,Omni Parker House,17.69158878504673,535
234752,Nine Zero Hotel - a Kimpton Hotel,22.71186440677966,177
89575,Boston Harbor Hotel,19.91588785046729,107
89585,Four Seasons Hotel Boston,21.743589743589745,78
321151,The Back Bay Hotel,22.214128035320087,453
94371,Colonnade Hotel,15.340277777777779,144
114134,The Lenox Hotel,20.94402985074627,268
258705,Hotel Commonwealth,21.4025974025974,154
