Hotel ID,Hotel Name,Total Rating,Overall Customers
313947,4 East Madison Inn Boutique Hotel,21.0,1
275870,Residence Inn Baltimore White Marsh,9.75,4
89362,Motel 6 Baltimore,1.0,1
89357,Rodeway Inn & Suites,1.0,1
124186,Sleep Inn & Suites Airport,4.0,1
631880,Americas Best Value Inn,3.5,2
89326,Biltmore Suites Hotel,5.2727272727272725,11
89340,BEST WESTERN Baltimore West,4.0,6
224642,Hampton Inn Baltimore / White Marsh,5.0,1
89367,Days Inn Baltimore,2.3333333333333335,3
217536,La Quinta Inn & Suites Baltimore North,2.5,2
89344,Baltimore Marriott Inner Harbor at Camden Yards,6.25,8
309189,Hampton Inn & Suites Baltimore Inner Harbor,7.6,5
223985,Courtyard by Marriott Baltimore Downtown / Inner Harbor,4.25,4
93889,Tremont Suites Hotel and Grand Historic Venue,7.75,20
89331,Days Inn Inner Harbor,2.875,8
100407,Hilton Garden Inn Baltimore / White Marsh,5.0,1
124839,Admiral Fell Inn,3.2857142857142856,7
89353,Radisson Plaza Lord Baltimore,4.157894736842105,19
89343,Hyatt Regency Baltimore,6.461538461538462,13
89382,Four Points by Sheraton BWI Airport,2.0,2
291397,Mount Vernon Hotel,4.875,8
77730,BEST WESTERN PLUS Hotel & Conference Center,9.0,1
89358,Renaissance Baltimore Harborplace Hotel,4.842105263157895,19
89361,Sheraton Inner Harbor Hotel,7.777777777777778,9
89327,Brookshire Suites,7.333333333333333,15
111408,Henderson's Wharf Inn,9.384615384615385,13
120957,Pier 5 Hotel,4.037037037037037,27
89336,Royal Sonesta Harbor Court Baltimore,8.1,20
223983,Baltimore Marriott Waterfront,5.818181818181818,22
