Hotel ID,Hotel Name,Total Rating,Overall Customers
313947,4 East Madison Inn Boutique Hotel,21.0,1
275870,Residence Inn Baltimore White Marsh,9.75,4
89362,Motel 6 Baltimore,1.5,2
89357,Rodeway Inn & Suites,1.0,1
124186,Sleep Inn & Suites Airport,2.3333333333333335,3
631880,Americas Best Value Inn,8.666666666666666,3
89326,Biltmore Suites Hotel,5.2727272727272725,11
89340,BEST WESTERN Baltimore West,4.0,7
224642,Hampton Inn Baltimore / White Marsh,5.0,1
89367,Days Inn Baltimore,2.3333333333333335,3
217536,La Quinta Inn & Suites Baltimore North,3.3333333333333335,3
89344,Baltimore Marriott Inner Harbor at Camden Yards,7.111111111111111,9
309189,Hampton Inn & Suites Baltimore Inner Harbor,9.666666666666666,9
223985,Courtyard by Marriott Baltimore Downtown / Inner Harbor,3.8,5
93889,Tremont Suites Hotel and Grand Historic Venue,9.807692307692308,26
89331,Days Inn Inner Harbor,3.75,12
124839,Admiral Fell Inn,5.363636363636363,11
100407,Hilton Garden Inn Baltimore / White Marsh,14.5,2
89353,Radisson Plaza Lord Baltimore,5.086956521739131,23
89343,Hyatt Regency Baltimore,7.4,20
89382,Four Points by Sheraton BWI Airport,2.0,2
291397,Mount Vernon Hotel,6.0,9
77730,BEST WESTERN PLUS Hotel & Conference Center,12.333333333333334,3
89358,Renaissance Baltimore Harborplace Hotel,7.36,25
89361,Sheraton Inner Harbor Hotel,6.285714285714286,14
89327,Brookshire Suites,7.588235294117647,17
111408,Henderson's Wharf Inn,11.346153846153847,26
120957,Pier 5 Hotel,5.545454545454546,33
89336,Royal Sonesta Harbor Court Baltimore,8.285714285714286,21
223983,Baltimore Marriott Waterfront,6.428571428571429,28
