Hotel ID,Hotel Name,Total Rating,Overall Customers
313947,4 East Madison Inn Boutique Hotel,22.5,8
624736,Econo Lodge,6.0,1
120951,Motel 6 Baltimore West,8.0,3
275870,Residence Inn Baltimore White Marsh,21.0,22
604930,Red Carpet Inn Baltimore,11.0,4
89332,Leisure Inn Baltimore West,4.625,8
89362,Motel 6 Baltimore,7.466666666666667,15
89357,Rodeway Inn & Suites,5.0,3
124186,Sleep Inn & Suites Airport,14.916666666666666,12
574054,Park Plaza Motel,2.0,1
631880,Americas Best Value Inn,13.636363636363637,11
225246,Mt. Washington Conference Center,11.0,2
89326,Biltmore Suites Hotel,10.666666666666666,27
89340,BEST WESTERN Baltimore West,8.285714285714286,14
610125,Rodeway Inn Mid Town,5.0,1
224642,Hampton Inn Baltimore / White Marsh,18.0,13
89333,Doubletree Inn at The Colonnade,14.833333333333334,12
89344,Baltimore Marriott Inner Harbor at Camden Yards,15.290322580645162,62
674606,Homewood Suites by Hilton Baltimore,24.954545454545453,22
89367,Days Inn Baltimore,6.625,16
217536,La Quinta Inn & Suites Baltimore North,7.3,10
656449,SpringHill Suites by Marriott Baltimore Inner Harbor,25.88888888888889,9
309189,Hampton Inn & Suites Baltimore Inner Harbor,18.113636363636363,44
223985,Courtyard by Marriott Baltimore Downtown / Inner Harbor,16.057142857142857,35
93889,Tremont Suites Hotel and Grand Historic Venue,14.559633027522937,109
89331,Days Inn Inner Harbor,13.944444444444445,54
89353,Radisson Plaza Lord Baltimore,14.821428571428571,112
89351,Holiday Inn Express Baltimore at the Stadiums,20.86111111111111,36
124839,Admiral Fell Inn,14.614035087719298,57
89358,Renaissance Baltimore Harborplace Hotel,18.206666666666667,150
89343,Hyatt Regency Baltimore,15.93939393939394,99
100407,Hilton Garden Inn Baltimore / White Marsh,24.5,14
291397,Mount Vernon Hotel,11.813559322033898,59
89382,Four Points by Sheraton BWI Airport,17.976190476190474,42
77730,BEST WESTERN PLUS Hotel & Conference Center,14.464285714285714,28
1164933,Fairfield Inn & Suites Baltimore White Marsh,25.0,1
1007816,Hilton Garden Inn Baltimore Inner Harbor,23.666666666666668,9
89361,Sheraton Inner Harbor Hotel,13.728571428571428,70
89346,Sheraton Baltimore City Center Hotel,14.733333333333333,60
89327,Brookshire Suites,14.482758620689655,87
566439,Residence Inn by Marriott Baltimore Downtown/Inner Harbor,24.458333333333332,48
111408,Henderson's Wharf Inn,21.770491803278688,122
120957,Pier 5 Hotel,11.68421052631579,76
625154,Hampton Inn Baltimore-Downtown-Convention Center,23.923076923076923,26
89336,Royal Sonesta Harbor Court Baltimore,14.225806451612904,62
223983,Baltimore Marriott Waterfront,17.3943661971831,142
