Hotel ID,Hotel Name,Total Rating,Overall Customers
275870,Residence Inn Baltimore White Marsh,24.571428571428573,42
1479971,Fairfield Inn & Suites Baltimore Downtown/Inner Harbor,27.926605504587155,109
313947,4 East Madison Inn Boutique Hotel,19.272727272727273,11
624736,Econo Lodge,16.6,5
89357,Rodeway Inn & Suites,16.64814814814815,54
89325,"Days Inn Baltimore West, Security Blvd",20.185185185185187,27
124186,Sleep Inn & Suites Airport,17.765625,64
120951,Motel 6 Baltimore West,12.875,8
604930,Red Carpet Inn Baltimore,13.142857142857142,14
89332,Leisure Inn Baltimore West,7.136363636363637,22
89333,Doubletree Inn at The Colonnade,25.668341708542712,199
89362,Motel 6 Baltimore,11.738095238095237,42
674606,Homewood Suites by Hilton Baltimore,25.588516746411482,209
1751278,Hotel Brexton,28.180851063829788,188
1629271,North Avenue Motel,11.0,2
93846,Ramada Limited Baltimore,18.0,24
124839,Admiral Fell Inn,25.914712153518124,469
89344,Baltimore Marriott Inner Harbor at Camden Yards,22.572727272727274,220
93889,Tremont Suites Hotel and Grand Historic Venue,22.057291666666668,384
1174784,Holiday Inn Baltimore-Towson,12.0,2
631880,Americas Best Value Inn,17.705882352941178,34
225246,Mt. Washington Conference Center,22.0,25
1206970,The Richardson House,29.0,1
574054,Park Plaza Motel,2.0,1
610125,Rodeway Inn Mid Town,21.741176470588236,85
89326,Biltmore Suites Hotel,15.266666666666667,60
93886,Super 8 Baltimore/Essex,18.0,11
1950129,BEST WESTERN Plus Envy Hotel,19.58139534883721,43
89340,BEST WESTERN Baltimore West,16.76271186440678,59
1436140,Quality Inn Downtown Baltimore,21.82608695652174,69
89358,Renaissance Baltimore Harborplace Hotel,24.1793893129771,524
89353,Radisson Plaza Lord Baltimore,18.559322033898304,413
224642,Hampton Inn Baltimore / White Marsh,23.84375,32
89331,Days Inn Inner Harbor,23.861486486486488,296
309189,Hampton Inn & Suites Baltimore Inner Harbor,24.33862433862434,189
89343,Hyatt Regency Baltimore,22.20159151193634,377
656449,SpringHill Suites by Marriott Baltimore Inner Harbor,26.455357142857142,112
223985,Courtyard by Marriott Baltimore Downtown / Inner Harbor,23.0,151
89327,Brookshire Suites,24.390542907180386,571
89367,Days Inn Baltimore,14.432432432432432,37
217536,La Quinta Inn & Suites Baltimore North,19.97826086956522,46
1147514,Hilton Baltimore,25.25735294117647,408
225792,Radisson Hotel at Cross Keys,24.375,32
1465016,Holiday Inn Express Baltimore-Downtown,24.58823529411765,102
291397,Mount Vernon Hotel,20.88256227758007,281
89351,Holiday Inn Express Baltimore at the Stadiums,24.273885350318473,157
89365,Wyndham Baltimore Peabody Court,25.03125,64
89346,Sheraton Baltimore City Center Hotel,19.894871794871793,390
89382,Four Points by Sheraton BWI Airport,22.828125,192
89361,Sheraton Inner Harbor Hotel,23.178125,320
89337,Holiday Inn Inner Harbor,26.08974358974359,78
1007816,Hilton Garden Inn Baltimore Inner Harbor,23.958333333333332,168
100407,Hilton Garden Inn Baltimore / White Marsh,27.076923076923077,52
77730,BEST WESTERN PLUS Hotel & Conference Center,20.54263565891473,129
120957,Pier 5 Hotel,24.214285714285715,406
1164933,Fairfield Inn & Suites Baltimore White Marsh,27.232558139534884,43
93892,Home2 Suites by Hilton Baltimore Downtown,28.495238095238093,105
566439,Residence Inn by Marriott Baltimore Downtown/Inner Harbor,26.57560975609756,205
1821731,Sleep Inn & Suites Downtown Inner Harbor,27.694736842105264,190
89336,Royal Sonesta Harbor Court Baltimore,23.747634069400632,317
625154,Hampton Inn Baltimore-Downtown-Convention Center,26.823529411764707,153
111408,Henderson's Wharf Inn,26.91005291005291,378
2196840,Inn at The Black Olive,31.74576271186441,118
1449313,"Monaco Baltimore, a Kimpton Hotel",28.178260869565218,460
223983,Baltimore Marriott Waterfront,25.12568306010929,549
2322597,Four Seasons Baltimore,31.192307692307693,104
