Hotel ID,Hotel Name,Total Rating,Overall Customers
114654,Shorecrest Motor Inn,4.0,1
89998,The Leland,1.6666666666666667,12
89995,Milner Hotel,2.0,2
89999,St. Regis,2.7,10
114661,Courtyard by Marriott Detroit Downtown,2.6666666666666665,3
95294,The Atheneum,2.7142857142857144,7
256897,Holiday Inn Express Detroit - Downtown,4.0,1
288605,Hilton Garden Inn Detroit Downtown,5.0,1
242702,Inn on Ferry Street,6.857142857142857,7
224064,Detroit Marriott at the Renaissance Center,7.1,10
90003,The Westin Detroit Metropolitan Airport,4.2727272727272725,11
