Hotel ID,Hotel Name,Total Rating,Overall Customers
114654,Shorecrest Motor Inn,9.0,2
89998,The Leland,1.8,15
89995,Milner Hotel,2.0,2
89999,St. Regis,4.090909090909091,11
94554,Marriott Detroit Airport,4.0,1
114661,Courtyard by Marriott Detroit Downtown,9.8,5
95294,The Atheneum,4.1,10
256897,Holiday Inn Express Detroit - Downtown,7.5,2
288605,Hilton Garden Inn Detroit Downtown,4.666666666666667,3
242702,Inn on Ferry Street,7.357142857142857,14
224064,Detroit Marriott at the Renaissance Center,7.25,12
95302,Doubletree by Hilton Hotel Detroit-Dearborn,21.0,1
90003,The Westin Detroit Metropolitan Airport,4.230769230769231,13
