Hotel ID,Hotel Name,Total Rating,Overall Customers
114654,Shorecrest Motor Inn,9.0,2
89998,The Leland,2.0416666666666665,24
89995,Milner Hotel,2.0,2
89999,St. Regis,5.333333333333333,12
94554,Marriott Detroit Airport,4.0,1
114661,Courtyard by Marriott Detroit Downtown,9.8,5
95294,The Atheneum,4.0,12
256897,Holiday Inn Express Detroit - Downtown,13.25,4
288605,Hilton Garden Inn Detroit Downtown,13.875,8
242702,Inn on Ferry Street,10.333333333333334,21
224064,Detroit Marriott at the Renaissance Center,7.533333333333333,15
95302,Doubletree by Hilton Hotel Detroit-Dearborn,20.5,2
90003,The Westin Detroit Metropolitan Airport,5.2,15
