Hotel ID,Hotel Name,Total Rating,Overall Customers
114654,Shorecrest Motor Inn,9.0,2
89998,The Leland,2.9642857142857144,28
89995,Milner Hotel,1.6666666666666667,3
89999,St. Regis,7.5,14
94554,Marriott Detroit Airport,13.5,2
114661,Courtyard by Marriott Detroit Downtown,9.8,5
95294,The Atheneum,8.4375,16
256897,Holiday Inn Express Detroit - Downtown,16.571428571428573,7
288605,Hilton Garden Inn Detroit Downtown,11.8,10
242702,Inn on Ferry Street,11.5,24
224064,Detroit Marriott at the Renaissance Center,9.4,20
95302,Doubletree by Hilton Hotel Detroit-Dearborn,19.666666666666668,3
90003,The Westin Detroit Metropolitan Airport,6.578947368421052,19
