Hotel ID,Hotel Name,Total Rating,Overall Customers
114654,Shorecrest Motor Inn,15.2,5
89998,The Leland,6.7407407407407405,54
605656,Corktown Inn,14.5,2
89995,Milner Hotel,11.5,18
89999,St. Regis,8.058823529411764,17
530320,Viking Motel,7.8,5
94554,Marriott Detroit Airport,22.714285714285715,14
114661,Courtyard by Marriott Detroit Downtown,17.90909090909091,22
95294,The Atheneum,12.892857142857142,28
256897,Holiday Inn Express Detroit - Downtown,16.689655172413794,29
288605,Hilton Garden Inn Detroit Downtown,13.304347826086957,23
242702,Inn on Ferry Street,16.333333333333332,48
224064,Detroit Marriott at the Renaissance Center,14.938461538461539,65
95302,Doubletree by Hilton Hotel Detroit-Dearborn,25.0625,16
90003,The Westin Detroit Metropolitan Airport,15.571428571428571,56
