Hotel ID,Hotel Name,Total Rating,Overall Customers
114654,Shorecrest Motor Inn,15.2,5
605656,Corktown Inn,7.0,1
89998,The Leland,5.729166666666667,48
89995,Milner Hotel,9.642857142857142,14
89999,St. Regis,7.5,14
530320,Viking Motel,8.25,4
94554,Marriott Detroit Airport,21.363636363636363,11
114661,Courtyard by Marriott Detroit Downtown,16.9375,16
95294,The Atheneum,13.333333333333334,27
256897,Holiday Inn Express Detroit - Downtown,16.666666666666668,18
288605,Hilton Garden Inn Detroit Downtown,12.523809523809524,21
242702,Inn on Ferry Street,13.95,40
224064,Detroit Marriott at the Renaissance Center,13.830188679245284,53
95302,Doubletree by Hilton Hotel Detroit-Dearborn,23.77777777777778,9
90003,The Westin Detroit Metropolitan Airport,14.0,47
