Hotel ID,Hotel Name,Total Rating,Overall Customers
89998,The Leland,7.909090909090909,66
114654,Shorecrest Motor Inn,17.333333333333332,6
605656,Corktown Inn,17.25,4
89995,Milner Hotel,12.742857142857142,35
89999,St. Regis,10.64,25
530320,Viking Motel,6.7,10
95312,Stay Inn & Suites,4.0,2
94554,Marriott Detroit Airport,22.75,20
114661,Courtyard by Marriott Detroit Downtown,19.17142857142857,35
674740,MotorCity Casino Hotel,22.0,11
95294,The Atheneum,15.052631578947368,38
256897,Holiday Inn Express Detroit - Downtown,17.733333333333334,45
288605,Hilton Garden Inn Detroit Downtown,13.0,28
242702,Inn on Ferry Street,18.25,76
674735,MGM Grand Detroit,22.795454545454547,44
224064,Detroit Marriott at the Renaissance Center,18.008695652173913,115
95302,Doubletree by Hilton Hotel Detroit-Dearborn,23.885714285714286,35
90003,The Westin Detroit Metropolitan Airport,18.023809523809526,84
782678,The Westin Book Cadillac Detroit,18.25,4
