Hotel ID,Hotel Name,Total Rating,Overall Customers
89998,The Leland,7.8307692307692305,65
114654,Shorecrest Motor Inn,15.2,5
605656,Corktown Inn,17.25,4
89995,Milner Hotel,12.484848484848484,33
89999,St. Regis,11.041666666666666,24
530320,Viking Motel,6.7,10
95312,Stay Inn & Suites,4.0,2
94554,Marriott Detroit Airport,23.0,17
114661,Courtyard by Marriott Detroit Downtown,18.545454545454547,33
95294,The Atheneum,15.052631578947368,38
674740,MotorCity Casino Hotel,22.125,8
256897,Holiday Inn Express Detroit - Downtown,17.317073170731707,41
288605,Hilton Garden Inn Detroit Downtown,12.851851851851851,27
242702,Inn on Ferry Street,17.95945945945946,74
674735,MGM Grand Detroit,21.94736842105263,38
224064,Detroit Marriott at the Renaissance Center,17.64814814814815,108
95302,Doubletree by Hilton Hotel Detroit-Dearborn,24.12121212121212,33
90003,The Westin Detroit Metropolitan Airport,17.363636363636363,77
