Hotel ID,Hotel Name,Total Rating,Overall Customers
1190550,Super 8 Motel Taylor,19.333333333333332,3
89998,The Leland,8.60759493670886,79
1901088,A Victory Inn-East Dearborn,8.0,1
605656,Corktown Inn,16.0,24
114654,Shorecrest Motor Inn,16.142857142857142,21
89995,Milner Hotel,15.346666666666666,75
95308,Detroit Regency Hotel,17.75,20
95300,Hawthorn Suites By Wyndham Dearborn,25.5,2
89999,St. Regis,15.326315789473684,95
1647936,Cranbrook Inn,6.0,1
95312,Stay Inn & Suites,11.235294117647058,17
530320,Viking Motel,8.0,16
2156247,Roberts Riverwalk Hotel & Residence Detroit,26.12,25
94554,Marriott Detroit Airport,24.04597701149425,87
90003,The Westin Detroit Metropolitan Airport,27.21181262729124,491
95294,The Atheneum,22.78014184397163,141
674740,MotorCity Casino Hotel,22.732758620689655,116
114661,Courtyard by Marriott Detroit Downtown,24.22222222222222,108
256897,Holiday Inn Express Detroit - Downtown,20.297709923664122,131
288605,Hilton Garden Inn Detroit Downtown,22.27433628318584,113
224064,Detroit Marriott at the Renaissance Center,21.596439169139465,337
1230421,Doubletree by Hilton Detroit Downtown - Fort Shelby,25.385093167701864,161
95302,Doubletree by Hilton Hotel Detroit-Dearborn,28.320143884892087,278
674735,MGM Grand Detroit,24.934673366834172,199
1236680,Greektown Casino Hotel,26.737037037037037,270
782678,The Westin Book Cadillac Detroit,26.84790874524715,263
242702,Inn on Ferry Street,23.151515151515152,165
