Hotel ID,Hotel Name,Total Rating,Overall Customers
225335,Suburban Extended Stay Hotel of Charlotte - WT Harris,10.0,2
94179,Holiday Inn - Merchandise Mart,7.5,2
3461669,Charlotte Inn,4.0,2
100535,Southern Comfort Inn,1.0,1
94097,Value Lodge,3.5,2
100607,Extended Stay America - Charlotte - Tyvola Rd.,15.0,1
121921,InTown Suites Charlotte Northeast,5.666666666666667,3
121855,Queen City Inn,10.6,10
100633,Knights Inn Charlotte,3.25,4
94108,Woodlawn Inn,17.0,6
100638,Brookwood Inn - Charlotte,8.0,5
656554,Charlotte Express Inn,11.25,8
94173,Airport Parkway Inn,12.875,8
94184,Motel 6 Charlotte Coliseum,23.2,5
100612,Econo Lodge Coliseum Area,7.2,5
121870,VanLandingham Estate,14.5,8
530678,Knights Inn Charlotte South,7.714285714285714,7
94187,Americas Best Value Inn & Suites-Charlotte,7.0,3
1905160,Arlington Suites,10.333333333333334,3
100634,Super 8 Charlotte Amusement Park,11.142857142857142,7
94168,Motel 6 Charlotte - South,8.0,3
225334,Studio 6 Charlotte Airport,18.0,8
100582,BEST WESTERN PLUS Charlotte/Matthews,12.375,8
94109,City Center Inn,10.181818181818182,11
223210,Knights Inn Charlotte,8.333333333333334,3
94152,Budget Inn Charlotte,15.75,4
559397,Country Hearth Inn Charlotte,8.76923076923077,13
94091,Golden Green Hotel,8.0,1
94156,Americas Best Value Inn & Suites Charlotte,11.5,6
223374,Sonesta ES Suites Charlotte,14.866666666666667,15
1593882,Red Roof Inn Charlotte UNCC,7.5,4
94186,Red Roof Inn Charlotte Airport West,18.0,2
240570,Super 8 Charlotte Sunset Road,3.0,2
100870,Sleep Inn North Lake,15.125,8
262983,Royal Inn Charlotte Airport Hotel,13.0,3
121868,"Country Inn & Suites By Carlson, Charlotte - I-85 Airport",13.407407407407407,27
94149,Budget Inn,10.0,1
100601,Fairfield Inn Charlotte/Northlake,24.666666666666668,6
94093,Baymont Inn and Suites Charlotte-Airport,10.23076923076923,13
628474,Four Points by Sheraton Charlotte,18.096774193548388,31
94130,Crowne Plaza Charlotte,19.90909090909091,22
309952,Days Inn Charlotte / Sunset Road,6.333333333333333,3
258775,Sun Suites of Charlotte,14.428571428571429,7
94132,Quality Inn - Charlotte,17.8,20
121918,Microtel Inn by Wyndham Charlotte/University Place,12.222222222222221,9
94146,Ramada Airport South & Conference Center,12.84375,32
94202,Super 8 Charlotte University,6.0,2
94095,Days Inn Airport North Charlotte,16.714285714285715,7
100629,Days Inn Woodlawn Rd. Near Carowinds,17.076923076923077,13
273191,Comfort Suites Airport,13.4,10
100621,Comfort Suites University Area,19.375,8
100631,Days Inn Charlotte North - Speedway - UNCC - Research Park,14.428571428571429,7
94127,Ramada Charlotte Northeast,11.384615384615385,13
223916,SpringHill Suites Charlotte University Research Park,16.3125,16
100568,Sleep Inn Billy Graham Parkway,18.666666666666668,9
94192,Rodeway Inn,7.0,2
100627,Comfort Inn Executive Park,15.478260869565217,23
