Hotel ID,Hotel Name,Total Rating,Overall Customers
225335,Suburban Extended Stay Hotel of Charlotte - WT Harris,21.0,5
94179,Holiday Inn - Merchandise Mart,13.333333333333334,3
3461669,Charlotte Inn,4.0,2
100535,Southern Comfort Inn,1.0,1
100607,Extended Stay America - Charlotte - Tyvola Rd.,10.25,4
94097,Value Lodge,3.5,2
223374,Sonesta ES Suites Charlotte,20.975609756097562,41
121862,Homestead Lodge - Airport,25.0,2
94173,Airport Parkway Inn,13.470588235294118,17
121921,InTown Suites Charlotte Northeast,5.666666666666667,3
94184,Motel 6 Charlotte Coliseum,18.272727272727273,11
94108,Woodlawn Inn,14.444444444444445,9
121855,Queen City Inn,11.636363636363637,11
100633,Knights Inn Charlotte,9.4,5
656554,Charlotte Express Inn,13.076923076923077,13
530678,Knights Inn Charlotte South,11.384615384615385,13
100612,Econo Lodge Coliseum Area,9.25,8
100638,Brookwood Inn - Charlotte,13.285714285714286,7
121870,VanLandingham Estate,18.5,10
225334,Studio 6 Charlotte Airport,18.0,14
100634,Super 8 Charlotte Amusement Park,11.454545454545455,11
1905160,Arlington Suites,20.5,8
94168,Motel 6 Charlotte - South,12.0,7
94187,Americas Best Value Inn & Suites-Charlotte,7.0,3
94186,Red Roof Inn Charlotte Airport West,14.0,11
1593882,Red Roof Inn Charlotte UNCC,20.73076923076923,26
223210,Knights Inn Charlotte,17.0,22
100582,BEST WESTERN PLUS Charlotte/Matthews,16.1875,16
100870,Sleep Inn North Lake,15.55,20
94109,City Center Inn,9.857142857142858,14
94152,Budget Inn Charlotte,13.428571428571429,7
559397,Country Hearth Inn Charlotte,8.666666666666666,18
275354,La Casa Inn,11.7,10
94156,Americas Best Value Inn & Suites Charlotte,9.8,10
94091,Golden Green Hotel,11.166666666666666,6
628474,Four Points by Sheraton Charlotte,19.606060606060606,66
94130,Crowne Plaza Charlotte,21.918032786885245,61
121868,"Country Inn & Suites By Carlson, Charlotte - I-85 Airport",14.934782608695652,46
240570,Super 8 Charlotte Sunset Road,10.625,8
94093,Baymont Inn and Suites Charlotte-Airport,12.28,25
1533531,Econo Lodge Inn & Suites,22.2,5
262983,Royal Inn Charlotte Airport Hotel,17.0,5
1225443,Adams Mark Hotel,21.0,1
94149,Budget Inn,17.25,4
100601,Fairfield Inn Charlotte/Northlake,20.4,15
258775,Sun Suites of Charlotte,22.8125,32
94132,Quality Inn - Charlotte,19.38888888888889,36
94095,Days Inn Airport North Charlotte,16.689655172413794,29
115304,Bradley Motel,7.0,1
309952,Days Inn Charlotte / Sunset Road,11.333333333333334,6
121918,Microtel Inn by Wyndham Charlotte/University Place,15.894736842105264,19
273191,Comfort Suites Airport,17.0,30
100629,Days Inn Woodlawn Rd. Near Carowinds,16.285714285714285,28
94202,Super 8 Charlotte University,16.1,10
94146,Ramada Airport South & Conference Center,14.05,40
223211,North Charlotte Inn,27.5,8
100621,Comfort Suites University Area,20.75,16
223916,SpringHill Suites Charlotte University Research Park,19.666666666666668,33
100568,Sleep Inn Billy Graham Parkway,25.59375,32
577342,Residence Inn Charlotte SouthPark,23.86,50
100631,Days Inn Charlotte North - Speedway - UNCC - Research Park,14.333333333333334,12
94199,BEST WESTERN PLUS Sterling Hotel & Suites,18.84375,32
100627,Comfort Inn Executive Park,17.128205128205128,39
94127,Ramada Charlotte Northeast,11.11111111111111,18
94158,Quality Inn & Suites,13.72,25
94192,Rodeway Inn,21.77777777777778,9
94100,Continental Inn,23.0,4
99984,Extended Stay America - Charlotte - Pineville - Park Rd.,24.5,2
94126,Econo Lodge Inn & Suites Charlotte Airport,17.5,32
223918,TownePlace Suites Charlotte University Research Park,27.916666666666668,12
94102,Courtyard Charlotte Arrowood,22.71875,32
94103,Courtyard by Marriott Charlotte SouthPark,22.6,25
100563,Extended Stay America - Charlotte - Pineville - Pineville Matthews Rd.,23.857142857142858,7
94114,Super 8 Charlotte/Downtown Area,16.11111111111111,9
223215,Residence Inn Charlotte Piper Glen,22.384615384615383,26
121917,Microtel Inn by Wyndham Charlotte Airport,20.639344262295083,61
223202,Hilton Garden Inn Charlotte North,21.647058823529413,17
94206,Doubletree Hotel Charlotte Airport,18.833333333333332,72
223917,TownePlace Suites by Marriott Charlotte Arrowood,17.52173913043478,23
100546,Hampton Inn University Place,24.486486486486488,37
1176230,Hilton Garden Inn Charlotte/Ayrsley,24.5,24
100529,Homewood Suites by Hilton Charlotte-North/University Research Park,20.516129032258064,31
252496,SpringHill Suites Charlotte Airport,19.017241379310345,58
223203,Hilton Garden Inn Charlotte Uptown,19.06382978723404,47
94142,Holiday Inn Charlotte-University Place,18.27777777777778,36
100566,Sleep Inn University Place,18.0,20
94085,The Blake Hotel,17.361607142857142,224
258771,Country Inn & Suites University Place,20.79310344827586,29
1164710,Aloft Charlotte Uptown at the EpiCentre,21.762237762237763,143
219666,DoubleTree Suites by Hilton Hotel Charlotte - SouthPark,20.55,120
94166,Charlotte Marriott Executive Park,24.31313131313131,99
100604,Fairfield Inn Charlotte Arrowood,22.22222222222222,18
223198,Hampton Inn and Suites Charlotte - Arrowood Rd.,19.823529411764707,34
114390,Morehead Inn,26.272727272727273,22
121909,Suburban Extended Stay Charlotte-Pineville,22.5,6
239919,MainStay Suites,23.842105263157894,19
223197,Courtyard by Marriott Charlotte City Center,23.47761194029851,67
100636,Candlewood Suites - Charlotte University,17.5,16
100511,Courtyard by Marriott Charlotte Airport,22.46153846153846,26
94194,Hilton Charlotte Executive Park,21.675675675675677,37
239806,Wingate By Wyndham Charlotte Airport I-85/I-485,24.339622641509433,53
94133,La Quinta Inn & Suites Charlotte Airport North,24.75,60
223204,Homewood Suites by Hilton Charlotte Airport / Coliseum,23.72,50
100616,Courtyard Charlotte Ballantyne,26.272727272727273,11
94196,Sheraton Charlotte Airport Hotel,23.18,100
94122,Embassy Suites Hotel Charlotte,21.067164179104477,134
100599,Holiday Inn Charlotte - Center City,23.703030303030303,165
94191,Residence Inn Charlotte University Research Park,22.375,16
223201,Omni Charlotte Hotel,21.32,225
1382115,SpringHill Suites Charlotte Ballantyne,26.833333333333332,24
94105,Courtyard Charlotte University Research Park,19.333333333333332,21
631590,Holiday Inn Express Charlotte-Arrowood,26.5,36
94205,Charlotte Marriott SouthPark,20.5875,80
223196,Comfort Suites Charlotte Northlake,25.129032258064516,31
258879,Westin Charlotte,20.265384615384615,260
100552,DoubleTree by Hilton Hotel Charlotte - Gateway Village,23.653846153846153,78
94171,Hilton Charlotte Center City,22.957831325301203,166
94163,Charlotte Marriott City Center,23.296,125
100515,Residence Inn Charlotte South at I-77/Tyvola Road,24.84090909090909,44
100518,La Quinta Inn & Suites Charlotte Airport South,22.842105263157894,57
1987298,Homewood Suites Charlotte/Ayrsley,24.875,8
100613,Drury Inn & Suites Charlotte North,25.901234567901234,81
223213,Microtel Inn & Suites by Wyndham Charlotte/Northlake,22.0,19
121910,Hyatt Place Charlotte City Park,25.152542372881356,59
223199,Hampton Inn Charlotte - Uptown,24.088607594936708,79
301309,Dunhill Hotel,24.977011494252874,87
100524,Hyatt Place Charlotte Airport/Tyvola Road,25.767123287671232,73
655612,Renaissance Charlotte SouthPark Hotel,25.15625,96
1016257,Hyatt Place Charlotte/Arrowood,26.16949152542373,59
217635,HYATT house Charlotte Airport,21.489795918367346,49
1566903,Aloft Charlotte Ballantyne,27.984375,64
100632,Wingate by Wyndham Charlotte Airport South/ I-77 Tyvola,26.27906976744186,43
1236686,Hampton Inn and Suites Charlotte Airport,27.3,80
1510383,"The Ritz-Carlton, Charlotte",29.173333333333332,75
223195,The Ballantyne Hotel and Lodge,23.85635359116022,181
94136,Hilton Charlotte University Place,27.174418604651162,172
121915,Renaissance Charlotte Suites,24.80392156862745,102
223373,Staybridge Suites Charlotte Ballantyne,26.3,50
1855057,Fairfield Inn & Suites Charlotte Matthews,22.764705882352942,17
100549,Hampton Inn Charlotte - South Park,25.976190476190474,42
223214,Residence Inn Charlotte Uptown,26.755102040816325,98
1409115,Drury Inn & Suites Charlotte Northlake,28.639344262295083,122
1863291,HYATT house Charlotte Center City,25.983333333333334,60
