Hotel ID,Hotel Name,Total Rating,Overall Customers
93559,The Sherry-Netherland Hotel,5.0,1
80112,San Carlos Hotel,1.0,1
93396,The Iroquois,9.333333333333334,3
93338,Hotel Beacon,4.75,8
93419,"The Carlyle, A Rosewood Hotel",5.0,4
224224,"The Ritz-Carlton New York, Central Park",4.5,4
502407,AKA United Nations,3.0,2
93401,Comfort Inn Chelsea,3.0,1
121981,Americana Inn,2.0,1
234762,Buckingham Hotel,4.0,1
225944,Washington Hotel,3.0,1
93380,The Aladdin,1.0,1
99357,Mayfair Hotel,3.0,5
254281,"A Hospitality Company, Inc.",1.0,1
260396,The Amsterdam Inn,2.5,2
239836,"The St. Regis Club at the Essex House, New York",2.8,5
93333,Wolcott Hotel,2.0,1
99292,Riverside Hotel,3.0,1
217613,Chocolat Hostel,1.3333333333333333,3
224229,Hotel Riverside Studios,3.5,2
93356,New York Inn,1.0,2
99287,West Side Inn,4.0,1
122007,Manhattan Broadway Hotel,2.2857142857142856,7
93345,Skyline Hotel,7.0,4
246797,Park 79 Hotel,3.6666666666666665,3
93539,Riverside Tower,2.8,5
93440,Flatotel,1.0,1
93470,Jolly Hotel Madison Towers,4.0,1
80093,Murray Hill Inn,3.75,4
142114,Days Inn Hotel New York City - Broadway,4.0,5
93344,Holiday Inn Midtown / 57th St,4.0,2
93357,Park Savoy,4.0,3
93581,The Inn at Irving Place,1.5,2
112066,W New York,4.0,5
80081,Chelsea Inn - 17th Street,5.0,1
208888,Chelsea Star Hotel,5.0,1
113297,Beekman Tower Hotel,2.5,4
99447,Comfort Inn Central Park West,2.5,2
93421,Hotel Carter,3.25,8
80075,Amsterdam Court Hotel,3.0,1
93403,Bedford Hotel,4.0,2
223022,Holiday Inn SoHo New York,3.0,2
93374,Off Soho Suites,17.0,1
93334,Excelsior Hotel,4.0,2
112062,The Time,3.7142857142857144,7
93475,New York Marriott East Side,3.0,1
122015,Hotel Grand Union,4.0,2
99766,The Roosevelt Hotel,4.25,4
93625,Hotel Wales,3.5,2
93390,Hotel Belleclaire,7.5,4
93575,The Franklin,4.333333333333333,3
93351,Cosmopolitan Hotel - Tribeca,4.0,4
93561,Soho Grand Hotel,4.0,2
93398,60 Thompson - A Thompson Hotel,11.0,1
121987,The Milburn Hotel,3.4,5
214197,Hotel Pennsylvania New York,1.7272727272727273,33
99382,The Marcel at Gramercy,3.111111111111111,9
93612,The Shoreham,3.25,4
93586,The Mansfield,4.0,6
99307,Wellington Hotel,3.0,12
99774,La Quinta Inn Manhattan,3.5,6
93520,Park Central,4.0,5
223023,Hudson New York,3.0606060606060606,33
99333,Washington Jefferson Hotel,3.0,8
93452,Herald Square Hotel,3.7142857142857144,7
93622,Travel Inn Hotel New York,4.0,4
292140,Sohotel,2.0,1
208455,Tribeca Grand Hotel,17.0,1
112041,Larchmont Hotel,3.4,5
93486,Millennium Hotel Broadway,2.6666666666666665,9
93437,Edison Hotel Times Square,4.1,10
93464,Le Parker Meridien,3.4705882352941178,17
93579,The Helmsley Park Lane,6.5,2
93466,Doubletree Hotel Metropolitan - New York City,2.2,5
209382,ONE UN New York,5.571428571428571,7
112039,Hotel Newton,4.0,2
93467,Affinia Gardens,4.0,1
93335,The Kimberly Hotel,4.5,2
126257,Hotel 31,11.333333333333334,3
224226,City Club Hotel,4.5,2
220243,W New York - Union Square,5.0,2
93450,Grand Hyatt New York,2.4,5
93571,"Carlton Hotel, Autograph Collection",3.0,1
611947,Hilton New York,4.25,4
93568,"Algonquin Hotel Times Square, Autograph Collection",7.8,5
121996,Comfort Inn Manhattan,4.0,1
217630,414 Hotel,5.0,1
93435,Eastgate Tower,4.0,3
93516,Novotel New York Times Square,2.5,2
93358,Pod 51,2.0,2
99371,Courtyard by Marriott New York Manhattan / Midtown East,3.0,1
93618,Waldorf Astoria New York,9.0,3
112021,Broadway at Times Square Hotel,4.0,1
502408,Affinia 50,5.0,1
93569,The Belvedere,5.428571428571429,14
99288,On The Ave Hotel,6.384615384615385,13
99368,Courtyard by Marriott New York Manhattan / Times Square South,3.0,1
208454,Sofitel New York,4.333333333333333,3
93462,InterContinental New York Barclay,5.428571428571429,7
93543,Affinia Shelburne,4.0,1
93603,"The Pierre, A Taj Hotel, New York",3.5,2
93562,Affinia Manhattan,5.0,1
113311,The Peninsula New York,5.0,1
93346,Salisbury Hotel,4.333333333333333,3
112064,Warwick New York Hotel,3.3333333333333335,3
99281,The Lucerne Hotel,7.333333333333333,6
99354,Moderne Hotel,4.0,1
217626,The Benjamin,4.5,2
222959,Ritz-Carlton Battery Park,5.0,3
249712,The Westin New York at Times Square,3.7142857142857144,7
93614,The St. Regis New York,3.3333333333333335,3
99392,Hotel Metro,5.0,1
93454,Crowne Plaza Times Square Manhattan,3.5,2
93589,The Michelangelo Hotel,5.0,3
217616,The Muse Hotel New York,4.222222222222222,9
235238,W New York - Times Square,3.0,2
223024,Hotel Chandler,4.333333333333333,6
93624,The Towers of the Waldorf Astoria,5.0,1
93507,New York Marriott Marquis,4.666666666666667,3
93534,Renaissance New York Hotel Times Square,4.333333333333333,3
113300,Omni Berkshire Place,4.5,2
126260,The New York Palace Hotel,3.2,5
208453,Hilton Times Square,11.0,3
93352,Doubletree Guest Suites Times Square,9.333333333333334,3
113317,Casablanca Hotel Times Square,4.666666666666667,3
224221,Library Hotel,5.0,3
99762,Hotel Giraffe,4.0,1
