Hotel ID,Hotel Name,Total Rating,Overall Customers
93559,The Sherry-Netherland Hotel,6.333333333333333,3
80112,San Carlos Hotel,8.909090909090908,33
93396,The Iroquois,7.291666666666667,24
93338,Hotel Beacon,7.8375,80
93419,"The Carlyle, A Rosewood Hotel",8.9375,16
75698,BEST WESTERN PLUS Seaport Inn Downtown,7.5,10
224224,"The Ritz-Carlton New York, Central Park",7.5,24
113309,Fitzpatrick Manhattan,11.0,8
502407,AKA United Nations,3.0,2
112053,The Mercer Hotel,6.0,8
93364,Hotel Deauville,8.210526315789474,19
93401,Comfort Inn Chelsea,7.8,35
121981,Americana Inn,6.636363636363637,22
234762,Buckingham Hotel,5.076923076923077,26
246797,Park 79 Hotel,2.7209302325581395,43
284904,Senton Hotel,1.0,1
122011,Hotel Riverview,2.6666666666666665,3
225944,Washington Hotel,1.75,4
93380,The Aladdin,2.4285714285714284,7
249780,BEST WESTERN PLUS Queens Court Hotel,6.333333333333333,3
290982,La Semana Hotel,1.0,1
267183,World Hotel,2.3333333333333335,3
99357,Mayfair Hotel,2.4814814814814814,27
93333,Wolcott Hotel,6.230769230769231,39
260396,The Amsterdam Inn,4.083333333333333,12
122022,Box Tree Inn,8.0,3
93572,The Dorset,10.0,1
254281,"A Hospitality Company, Inc.",12.5,2
281695,Metro-Home / United Nations Suites,9.333333333333334,3
93384,Allerton,2.0,6
239836,"The St. Regis Club at the Essex House, New York",3.4285714285714284,14
99287,West Side Inn,2.611111111111111,54
320562,YourStay MidTown Apartments,6.666666666666667,21
217613,Chocolat Hostel,2.0,39
99292,Riverside Hotel,2.0,4
93356,New York Inn,1.5,24
290978,Hotel St. James,4.515151515151516,33
224229,Hotel Riverside Studios,3.4,10
93345,Skyline Hotel,5.810126582278481,79
122007,Manhattan Broadway Hotel,1.9642857142857142,56
249710,Morningside Inn,5.4,5
219622,Chelsea Hotel,3.1666666666666665,12
235228,BEST WESTERN Convention Center Hotel,6.5,10
256738,Envoy Club Suites,9.0,11
267182,Windsor Hotel,2.5,2
93539,Riverside Tower,4.448275862068965,29
93440,Flatotel,4.607142857142857,28
249656,The Premier Hotel,5.0,2
93470,Jolly Hotel Madison Towers,5.217391304347826,23
142114,Days Inn Hotel New York City - Broadway,4.421875,64
80093,Murray Hill Inn,4.413793103448276,29
93344,Holiday Inn Midtown / 57th St,5.644444444444445,45
93357,Park Savoy,4.037037037037037,27
596200,Comfort Inn Convention Center,6.190476190476191,21
112066,W New York,3.559322033898305,59
93581,The Inn at Irving Place,2.75,4
80081,Chelsea Inn - 17th Street,4.454545454545454,11
113297,Beekman Tower Hotel,8.32,25
93633,The Helmsley Carlton House,5.0,2
208888,Chelsea Star Hotel,4.8125,32
93421,Hotel Carter,2.4017857142857144,112
99447,Comfort Inn Central Park West,5.407407407407407,27
217627,Belnord Hotel,4.375,32
80075,Amsterdam Court Hotel,4.365079365079365,63
93403,Bedford Hotel,7.232558139534884,43
223022,Holiday Inn SoHo New York,5.833333333333333,24
99321,The Manhattan Club,5.384615384615385,13
