Hotel ID,Hotel Name,Total Rating,Overall Customers
93559,The Sherry-Netherland Hotel,4.5,2
80112,San Carlos Hotel,5.8,15
93396,The Iroquois,7.5,18
93338,Hotel Beacon,5.695652173913044,46
93419,"The Carlyle, A Rosewood Hotel",7.333333333333333,12
75698,BEST WESTERN PLUS Seaport Inn Downtown,7.166666666666667,6
224224,"The Ritz-Carlton New York, Central Park",7.8,15
113309,Fitzpatrick Manhattan,10.666666666666666,6
502407,AKA United Nations,3.0,2
112053,The Mercer Hotel,3.6666666666666665,3
93364,Hotel Deauville,9.3,10
93401,Comfort Inn Chelsea,5.444444444444445,9
121981,Americana Inn,5.6,10
234762,Buckingham Hotel,4.866666666666666,15
122011,Hotel Riverview,3.5,2
225944,Washington Hotel,2.0,3
93380,The Aladdin,1.8,5
290982,La Semana Hotel,1.0,1
267183,World Hotel,1.0,2
99357,Mayfair Hotel,2.625,16
93333,Wolcott Hotel,4.304347826086956,23
254281,"A Hospitality Company, Inc.",12.5,2
260396,The Amsterdam Inn,2.6,5
122022,Box Tree Inn,5.0,1
281695,Metro-Home / United Nations Suites,12.0,2
93384,Allerton,2.0,4
239836,"The St. Regis Club at the Essex House, New York",3.4166666666666665,12
99287,West Side Inn,1.8666666666666667,30
217613,Chocolat Hostel,1.8846153846153846,26
99292,Riverside Hotel,2.3333333333333335,3
320562,YourStay MidTown Apartments,5.0,1
93356,New York Inn,1.1333333333333333,15
290978,Hotel St. James,2.5,8
224229,Hotel Riverside Studios,2.3333333333333335,9
93345,Skyline Hotel,4.979166666666667,48
122007,Manhattan Broadway Hotel,1.7419354838709677,31
246797,Park 79 Hotel,3.0952380952380953,21
249710,Morningside Inn,2.0,3
219622,Chelsea Hotel,2.5714285714285716,7
235228,BEST WESTERN Convention Center Hotel,3.0,7
256738,Envoy Club Suites,4.833333333333333,6
267182,Windsor Hotel,2.0,1
93539,Riverside Tower,3.0,14
93440,Flatotel,2.375,16
93470,Jolly Hotel Madison Towers,4.166666666666667,12
80093,Murray Hill Inn,3.9444444444444446,18
142114,Days Inn Hotel New York City - Broadway,3.4444444444444446,36
93344,Holiday Inn Midtown / 57th St,4.85,20
93357,Park Savoy,3.3529411764705883,17
596200,Comfort Inn Convention Center,6.818181818181818,11
93581,The Inn at Irving Place,2.6666666666666665,3
112066,W New York,3.942857142857143,35
80081,Chelsea Inn - 17th Street,5.428571428571429,7
113297,Beekman Tower Hotel,3.8666666666666667,15
93633,The Helmsley Carlton House,5.0,1
208888,Chelsea Star Hotel,3.8666666666666667,15
93421,Hotel Carter,2.3191489361702127,47
99447,Comfort Inn Central Park West,3.5454545454545454,11
217627,Belnord Hotel,4.090909090909091,11
80075,Amsterdam Court Hotel,3.8260869565217392,23
93403,Bedford Hotel,5.875,24
223022,Holiday Inn SoHo New York,4.909090909090909,11
99321,The Manhattan Club,5.454545454545454,11
80107,Roger Smith Hotel,8.6,5
93374,Off Soho Suites,7.333333333333333,3
93334,Excelsior Hotel,4.4,25
112062,The Time,3.4545454545454546,44
93475,New York Marriott East Side,5.545454545454546,11
122015,Hotel Grand Union,5.647058823529412,17
99766,The Roosevelt Hotel,5.344444444444444,90
93390,Hotel Belleclaire,5.607142857142857,28
93625,Hotel Wales,4.0,5
93575,The Franklin,6.444444444444445,9
112019,Chelsea Savoy Hotel,4.5,8
217622,Dylan Hotel,3.2222222222222223,9
93351,Cosmopolitan Hotel - Tribeca,5.666666666666667,21
223021,Club Quarters Midtown,3.0,4
93565,Hotel Stanford,5.181818181818182,11
93561,Soho Grand Hotel,4.16,25
214197,Hotel Pennsylvania New York,3.0684931506849313,219
99365,Da Vinci Hotel,2.4444444444444446,9
93382,Washington Square Hotel,7.428571428571429,7
93398,60 Thompson - A Thompson Hotel,5.111111111111111,18
93339,Hilton Manhattan East,7.555555555555555,9
121987,The Milburn Hotel,7.0,9
99382,The Marcel at Gramercy,4.151515151515151,33
93612,The Shoreham,3.1875,16
217623,Club Quarters Wall Street,7.571428571428571,7
93586,The Mansfield,4.6521739130434785,23
281697,The Alex Hotel,4.222222222222222,9
99307,Wellington Hotel,3.875,56
99774,La Quinta Inn Manhattan,4.5,32
93520,Park Central,4.234375,64
223023,Hudson New York,3.4390243902439024,123
99333,Washington Jefferson Hotel,3.4444444444444446,27
281234,Four Points by Sheraton Manhattan Chelsea,4.5,4
93452,Herald Square Hotel,4.409090909090909,22
93622,Travel Inn Hotel New York,4.476190476190476,21
292140,Sohotel,2.5,4
208455,Tribeca Grand Hotel,4.5,24
112041,Larchmont Hotel,3.6666666666666665,9
93486,Millennium Hotel Broadway,4.454545454545454,44
287626,Hotel Gansevoort,5.333333333333333,6
93437,Edison Hotel Times Square,6.0588235294117645,51
99388,Ramada Eastside,4.125,8
93464,Le Parker Meridien,4.535211267605634,71
99391,Courtyard New York Manhattan/Fifth Avenue,4.923076923076923,13
93579,The Helmsley Park Lane,5.620689655172414,29
93466,Doubletree Hotel Metropolitan - New York City,3.4393939393939394,66
93607,Loews Regency Hotel,3.875,8
209382,ONE UN New York,5.655172413793103,29
93379,Hotel 17,5.142857142857143,28
112039,Hotel Newton,4.066666666666666,30
93489,Murray Hill East Suites,3.857142857142857,14
93467,Affinia Gardens,4.4,5
93335,The Kimberly Hotel,8.928571428571429,14
126257,Hotel 31,5.518518518518518,27
93337,Kitano New York,3.7777777777777777,9
254605,Equity Point New York @ Times Square,5.222222222222222,18
224226,City Club Hotel,5.2727272727272725,11
122004,Phillips Club,4.666666666666667,3
220243,W New York - Union Square,7.545454545454546,11
93450,Grand Hyatt New York,4.086206896551724,58
93571,"Carlton Hotel, Autograph Collection",4.3076923076923075,26
223019,Broadway Plaza Hotel,7.708333333333333,24
611947,Hilton New York,4.6440677966101696,59
93568,"Algonquin Hotel Times Square, Autograph Collection",4.782608695652174,23
121996,Comfort Inn Manhattan,4.90625,32
80083,Chelsea Lodge,6.571428571428571,7
225942,Park South Hotel,3.6,10
224223,"nyma, the New York Manhattan Hotel",6.378378378378378,37
455186,JW Marriott Essex House New York,9.333333333333334,3
217630,414 Hotel,3.857142857142857,7
