Hotel ID,Hotel Name,Total Rating,Overall Customers
93559,The Sherry-Netherland Hotel,5.75,4
80112,San Carlos Hotel,10.958333333333334,48
93396,The Iroquois,8.875,32
93338,Hotel Beacon,9.709090909090909,110
93419,"The Carlyle, A Rosewood Hotel",8.9375,16
75698,BEST WESTERN PLUS Seaport Inn Downtown,7.2727272727272725,11
224224,"The Ritz-Carlton New York, Central Park",9.157894736842104,38
113309,Fitzpatrick Manhattan,9.75,12
502407,AKA United Nations,3.0,2
112053,The Mercer Hotel,5.888888888888889,9
99321,The Manhattan Club,5.111111111111111,18
93364,Hotel Deauville,9.884615384615385,26
93401,Comfort Inn Chelsea,7.86,50
121981,Americana Inn,8.0,32
234762,Buckingham Hotel,6.0285714285714285,35
246797,Park 79 Hotel,3.9215686274509802,51
284904,Senton Hotel,1.0,1
122011,Hotel Riverview,4.0,5
225944,Washington Hotel,1.75,4
93380,The Aladdin,3.727272727272727,11
249780,BEST WESTERN PLUS Queens Court Hotel,6.333333333333333,3
290982,La Semana Hotel,1.0,1
267183,World Hotel,2.3333333333333335,3
99357,Mayfair Hotel,3.032258064516129,31
93333,Wolcott Hotel,7.254901960784314,51
260396,The Amsterdam Inn,4.083333333333333,12
122022,Box Tree Inn,7.0,4
93572,The Dorset,10.0,1
254281,"A Hospitality Company, Inc.",10.666666666666666,3
281695,Metro-Home / United Nations Suites,8.25,4
93384,Allerton,2.0,6
99287,West Side Inn,4.044776119402985,67
239836,"The St. Regis Club at the Essex House, New York",6.722222222222222,18
320562,YourStay MidTown Apartments,6.542857142857143,35
217613,Chocolat Hostel,2.1904761904761907,42
99292,Riverside Hotel,1.8,5
93356,New York Inn,1.8125,32
290978,Hotel St. James,5.6875,48
224229,Hotel Riverside Studios,3.25,12
93345,Skyline Hotel,5.969072164948454,97
122007,Manhattan Broadway Hotel,2.6857142857142855,70
249710,Morningside Inn,5.090909090909091,11
219622,Chelsea Hotel,4.266666666666667,15
235228,BEST WESTERN Convention Center Hotel,9.153846153846153,13
256738,Envoy Club Suites,11.3125,16
267182,Windsor Hotel,12.5,4
93539,Riverside Tower,5.171428571428572,35
93440,Flatotel,5.083333333333333,36
249656,The Premier Hotel,5.0,2
93470,Jolly Hotel Madison Towers,6.594594594594595,37
142114,Days Inn Hotel New York City - Broadway,5.423076923076923,78
80093,Murray Hill Inn,4.424242424242424,33
93344,Holiday Inn Midtown / 57th St,6.120689655172414,58
93357,Park Savoy,4.655172413793103,29
596200,Comfort Inn Convention Center,6.269230769230769,26
112066,W New York,4.666666666666667,84
93581,The Inn at Irving Place,4.833333333333333,6
80081,Chelsea Inn - 17th Street,4.333333333333333,12
113297,Beekman Tower Hotel,10.536585365853659,41
93633,The Helmsley Carlton House,10.333333333333334,3
208888,Chelsea Star Hotel,6.534883720930233,43
93421,Hotel Carter,3.2360248447204967,161
99447,Comfort Inn Central Park West,6.3125,32
217627,Belnord Hotel,6.487804878048781,41
80075,Amsterdam Court Hotel,6.195402298850575,87
93403,Bedford Hotel,8.290909090909091,55
223022,Holiday Inn SoHo New York,7.967741935483871,31
80107,Roger Smith Hotel,11.0,14
93374,Off Soho Suites,7.076923076923077,13
93334,Excelsior Hotel,7.366666666666666,60
112062,The Time,5.788235294117647,85
93475,New York Marriott East Side,9.55813953488372,43
99766,The Roosevelt Hotel,6.722222222222222,180
122015,Hotel Grand Union,8.144927536231885,69
93390,Hotel Belleclaire,7.461538461538462,78
93625,Hotel Wales,8.8,10
93575,The Franklin,6.526315789473684,19
112019,Chelsea Savoy Hotel,4.1,10
217622,Dylan Hotel,4.083333333333333,24
93351,Cosmopolitan Hotel - Tribeca,9.907894736842104,76
223021,Club Quarters Midtown,8.777777777777779,18
93565,Hotel Stanford,6.166666666666667,30
214197,Hotel Pennsylvania New York,4.0862422997946615,487
93561,Soho Grand Hotel,6.379310344827586,58
99365,Da Vinci Hotel,5.826086956521739,23
93382,Washington Square Hotel,8.846153846153847,26
93398,60 Thompson - A Thompson Hotel,8.44186046511628,43
93339,Hilton Manhattan East,8.473684210526315,19
121987,The Milburn Hotel,12.571428571428571,28
99382,The Marcel at Gramercy,5.75,68
93612,The Shoreham,5.7073170731707314,41
217623,Club Quarters Wall Street,10.241379310344827,29
93586,The Mansfield,5.981481481481482,54
281697,The Alex Hotel,7.255813953488372,43
99307,Wellington Hotel,6.557046979865772,149
75688,Dream New York,5.267857142857143,56
99774,La Quinta Inn Manhattan,6.408450704225352,71
93520,Park Central,6.102564102564102,195
223023,Hudson New York,4.899193548387097,248
99333,Washington Jefferson Hotel,4.145833333333333,48
292140,Sohotel,7.0,25
281234,Four Points by Sheraton Manhattan Chelsea,11.0625,32
93452,Herald Square Hotel,5.333333333333333,48
93622,Travel Inn Hotel New York,9.228571428571428,70
208455,Tribeca Grand Hotel,5.3023255813953485,43
488793,Solita Soho Hotel,11.7,10
93466,Doubletree Hotel Metropolitan - New York City,6.0978260869565215,184
93486,Millennium Hotel Broadway,7.0,90
112041,Larchmont Hotel,6.636363636363637,22
287626,Hotel Gansevoort,8.916666666666666,36
93437,Edison Hotel Times Square,6.67175572519084,131
99388,Ramada Eastside,9.319148936170214,47
93464,Le Parker Meridien,7.15625,160
99391,Courtyard New York Manhattan/Fifth Avenue,6.9743589743589745,39
93579,The Helmsley Park Lane,7.065573770491803,61
93607,Loews Regency Hotel,7.333333333333333,30
209382,ONE UN New York,7.52112676056338,71
93379,Hotel 17,6.907692307692308,65
112039,Hotel Newton,7.967032967032967,91
93489,Murray Hill East Suites,8.84375,32
93335,The Kimberly Hotel,11.307692307692308,39
93467,Affinia Gardens,5.5,14
126257,Hotel 31,7.388888888888889,90
518280,Room Mate Grace,20.266666666666666,15
93337,Kitano New York,8.0,29
