Hotel ID,Hotel Name,Total Rating,Overall Customers
93559,The Sherry-Netherland Hotel,13.4,15
80112,San Carlos Hotel,18.64814814814815,162
93396,The Iroquois,17.79591836734694,147
93338,Hotel Beacon,16.083333333333332,312
93419,"The Carlyle, A Rosewood Hotel",14.565217391304348,46
224224,"The Ritz-Carlton New York, Central Park",16.473118279569892,93
75698,BEST WESTERN PLUS Seaport Inn Downtown,13.794871794871796,39
113309,Fitzpatrick Manhattan,16.866666666666667,60
502407,AKA United Nations,6.0,4
112053,The Mercer Hotel,18.779661016949152,59
617306,Manhattan Centre Hotel,20.166666666666668,60
624442,Hotel 373,20.472727272727273,55
93382,Washington Square Hotel,16.04964539007092,141
99321,The Manhattan Club,15.231707317073171,82
121987,The Milburn Hotel,16.140495867768596,121
217629,3 West Club,19.666666666666668,3
93364,Hotel Deauville,16.4625,80
93401,Comfort Inn Chelsea,13.064,125
125274,King & Grove New York,3.5,2
121981,Americana Inn,17.00625,160
247814,"The GEM Hotel-SoHo, an Ascend Collection hotel",4.0,1
246797,Park 79 Hotel,13.083769633507853,191
234762,Buckingham Hotel,13.364583333333334,96
93333,Wolcott Hotel,14.950226244343892,221
235228,BEST WESTERN Convention Center Hotel,13.48,75
234764,Oakwood Midtown East,17.0,1
598980,Apollo,16.375,8
99357,Mayfair Hotel,12.347826086956522,115
557499,Mount Royal Hotel & Hostel,8.442622950819672,61
284904,Senton Hotel,4.5,8
122011,Hotel Riverview,9.647058823529411,17
665814,The Soho Loft,13.4375,16
290978,Hotel St. James,13.837837837837839,259
540545,Chelsea Inn - 11th Avenue,14.5,2
225944,Washington Hotel,2.2,5
651216,Beekman Apartments,1.0,1
93380,The Aladdin,5.285714285714286,14
290982,La Semana Hotel,6.428571428571429,7
249780,BEST WESTERN PLUS Queens Court Hotel,13.333333333333334,9
260396,The Amsterdam Inn,15.087719298245615,57
99287,West Side Inn,7.153846153846154,130
580078,Woogo Apartments - Times Square,9.0,45
267183,World Hotel,4.25,4
217613,Chocolat Hostel,6.900900900900901,111
673661,Sun Bright Hotel,9.0,2
93345,Skyline Hotel,12.126923076923077,260
268217,Oakwood at 777 6th Avenue,21.0,1
530265,Metro Home / Trump Park,18.0,1
235236,Oakwood Cosmopolitan,21.0,1
122022,Box Tree Inn,8.4,5
93572,The Dorset,10.0,1
254281,"A Hospitality Company, Inc.",14.0,4
281695,Metro-Home / United Nations Suites,8.333333333333334,6
93384,Allerton,3.6363636363636362,11
239836,"The St. Regis Club at the Essex House, New York",9.884615384615385,26
774805,Achieve Guest House,28.0,1
320562,YourStay MidTown Apartments,9.020408163265307,49
651265,The Carnegie Suites,5.0,1
93356,New York Inn,5.586956521739131,92
99292,Riverside Hotel,8.5,10
224229,Hotel Riverside Studios,11.494736842105263,95
122007,Manhattan Broadway Hotel,7.238095238095238,147
249710,Morningside Inn,13.80232558139535,86
290987,St. Marks Hotel,19.36842105263158,38
219622,Chelsea Hotel,10.133333333333333,60
256738,Envoy Club Suites,14.382978723404255,47
93440,Flatotel,12.568965517241379,116
99443,Astor on the Park,14.13888888888889,180
93539,Riverside Tower,10.327102803738319,107
267182,Windsor Hotel,12.25,12
649058,Hotel Alexander,15.25,60
113343,Marrakech Hotel on Broadway,13.580645161290322,124
93470,Jolly Hotel Madison Towers,13.740506329113924,158
93344,Holiday Inn Midtown / 57th St,14.637450199203187,251
142114,Days Inn Hotel New York City - Broadway,9.638613861386139,202
249656,The Premier Hotel,18.75,8
80093,Murray Hill Inn,12.77319587628866,97
1217376,The GEM Hotel Midtown West,18.5,24
224217,Clarion Hotel Park Avenue,15.117647058823529,34
93421,Hotel Carter,7.290322580645161,589
112066,W New York,11.931122448979592,392
93357,Park Savoy,11.973684210526315,76
596200,Comfort Inn Convention Center,12.35,60
616735,The Grant Hotel,15.113636363636363,88
93581,The Inn at Irving Place,12.0,16
550885,254 East Vacation,12.45,20
80081,Chelsea Inn - 17th Street,12.407407407407407,54
113297,Beekman Tower Hotel,17.543478260869566,184
208888,Chelsea Star Hotel,14.047244094488189,127
93633,The Helmsley Carlton House,18.2,5
217627,Belnord Hotel,11.279069767441861,215
674743,Hotel Azure,18.625,16
99447,Comfort Inn Central Park West,10.13,100
564851,Courtyard by Marriott New York Manhattan / Upper East Side,21.434782608695652,46
643970,Broadway Hotel and Hostel,15.04,25
80075,Amsterdam Court Hotel,11.692,250
99766,The Roosevelt Hotel,14.304,625
