Hotel ID,Hotel Name,Total Rating,Overall Customers
93559,The Sherry-Netherland Hotel,24.135135135135137,37
80112,San Carlos Hotel,21.996763754045308,309
1641016,The Chatwal,33.25,24
1776857,"The Setai Fifth Avenue, a Capella managed Hotel",28.872340425531913,47
93396,The Iroquois,24.209705372616984,577
1762573,Andaz 5th Avenue,29.795180722891565,83
93338,Hotel Beacon,21.910979228486646,674
1456560,Eventi - a Kimpton Hotel,29.46288209606987,229
224224,"The Ritz-Carlton New York, Central Park",23.004784688995215,209
93419,"The Carlyle, A Rosewood Hotel",20.10909090909091,110
75698,BEST WESTERN PLUS Seaport Inn Downtown,20.89908256880734,109
1791248,Hotel Mulberry,31.36,25
113309,Fitzpatrick Manhattan,21.73125,160
93467,Affinia Gardens,25.333333333333332,366
1878946,Aloft Harlem,30.333333333333332,9
93335,The Kimberly Hotel,21.27848101265823,316
498869,Hampton Inn Madison Square Garden,20.02931596091205,307
1456411,Gansevoort Park Avenue NYC,29.806818181818183,88
1379306,Hilton Club New York,25.818181818181817,22
1940859,Holiday Inn Midtown West 31st Street,24.0,1
1025779,Candlewood Suites New York City Times Square,24.743055555555557,144
1383001,Comfort Inn Manhattan Bridge,21.4625,80
502407,AKA United Nations,18.454545454545453,11
112053,The Mercer Hotel,22.323809523809523,105
1963673,The Gotham Hotel,32.5,10
617306,Manhattan Centre Hotel,16.33173076923077,208
624442,Hotel 373,20.195364238410598,302
93382,Washington Square Hotel,20.00980392156863,306
1027901,"Wyndham Garden Hotel Manhattan, Chelsea West",21.121387283236995,173
99321,The Manhattan Club,19.647540983606557,244
80107,Roger Smith Hotel,23.515243902439025,328
99382,The Marcel at Gramercy,15.46911196911197,518
1786395,Mondrian Soho,21.0,1
121987,The Milburn Hotel,18.651079136690647,278
93334,Excelsior Hotel,17.286290322580644,496
1858923,Doubletree Hotel New York City-Financial District,29.666666666666668,12
93475,New York Marriott East Side,19.69345238095238,336
217623,Club Quarters Wall Street,18.91496598639456,294
217629,3 West Club,25.5,10
93364,Hotel Deauville,19.425,160
93401,Comfort Inn Chelsea,16.344827586206897,203
121981,Americana Inn,17.593567251461987,342
247814,"The GEM Hotel-SoHo, an Ascend Collection hotel",19.47826086956522,115
673080,Holiday Inn NYC - Manhattan 6th Avenue,21.076576576576578,222
125274,King & Grove New York,3.5,4
246797,Park 79 Hotel,15.379157427937916,451
234762,Buckingham Hotel,18.21978021978022,273
290978,Hotel St. James,13.7409381663113,938
93333,Wolcott Hotel,18.7079107505071,493
93345,Skyline Hotel,16.447452229299362,628
99443,Astor on the Park,18.70472440944882,508
99357,Mayfair Hotel,16.031390134529147,223
235228,BEST WESTERN Convention Center Hotel,12.38566552901024,293
93440,Flatotel,17.62280701754386,342
234764,Oakwood Midtown East,25.5,2
1872507,Thompson Hotel,34.0,1
616887,New York Escape,30.0,1
598980,Apollo,15.0,9
260396,The Amsterdam Inn,17.066037735849058,106
557499,Mount Royal Hotel & Hostel,8.890625,64
1206876,Luxurstay B&B,11.2,5
1164614,Third Ave House,11.0,2
665814,The Soho Loft,14.208333333333334,24
1141305,HOTEL 52,8.0,6
1699664,Sakuratei,18.666666666666668,3
284904,Senton Hotel,5.333333333333333,12
1547031,Signature Properties,9.666666666666666,3
1147661,National at Park Towers,2.0,1
217613,Chocolat Hostel,8.671641791044776,268
122011,Hotel Riverview,10.666666666666666,21
540545,Chelsea Inn - 11th Avenue,11.75,4
99287,West Side Inn,7.720833333333333,240
1176643,Central Park House,14.875,8
249780,BEST WESTERN PLUS Queens Court Hotel,18.387096774193548,31
