Hotel ID,Hotel Name,Total Rating,Overall Customers
223753,Country Inn & Suites Columbus-West,5.0,1
114725,German Village Inn,5.0,1
101649,Columbus Inn & Suites,2.0,1
223765,Varsity Inn OSU North,5.0,1
101646,TownePlace Suites Columbus Airport Gahanna,5.0,1
123898,Super 8 Motel Columbus,2.0,1
75212,BEST WESTERN PLUS Columbus North,4.0,1
223728,Extended Stay Deluxe - Columbus - Polaris,5.0,1
240076,BEST WESTERN PLUS Franklin Park Suites - Polaris,25.0,1
95261,Holiday Inn Columbus Downtown Capital Square,2.6666666666666665,3
95250,Homewood Suites by Hilton Columbus / Worthington,25.0,1
223760,Courtyard by Marriott Columbus Downtown,3.6666666666666665,3
217654,DoubleTree Suites by Hilton Hotel Columbus Downtown,3.75,4
223223,Staybridge Suites Columbus Airport,5.0,1
95288,Sheraton Suites Columbus,11.0,3
95269,Comfort Inn North,1.0,1
95253,Hyatt Regency Columbus,2.1666666666666665,6
122229,Renaissance Columbus Downtown Hotel,4.0,1
95238,Embassy Suites Hotel Columbus,2.0,1
223748,Hilton Columbus at Easton,5.0,1
258165,Drury Inn & Suites Columbus Convention Center,3.75,4
223750,Hampton Inn and Suites Columbus Downtown,1.0,1
