Hotel ID,Hotel Name,Total Rating,Overall Customers
246937,The Blackwell,20.88888888888889,18
223509,Holiday Inn Express & Suites Columbus Southeast,9.25,4
101657,Extended Stay America - Columbus - Worthington,3.3333333333333335,3
101647,Extended Stay America - Columbus - East,1.0,1
223749,Hampton Inn Columbus Hamilton,15.5,2
223730,TownePlace Suites Columbus Worthington,20.0,4
612540,BEST WESTERN PLUS Port Columbus,9.0,3
101660,Econo Lodge Brice Road,12.0,4
223753,Country Inn & Suites Columbus-West,19.666666666666668,3
95284,Red Roof Inn Columbus Ohio State University,16.142857142857142,7
101670,Knights Inn Columbus East,27.0,1
95240,Howard Johnson Inn Columbus,10.25,4
90214,Rodeway Inn North,11.285714285714286,7
95236,North Suites,11.333333333333334,3
101661,Courtyard by Marriott Columbus Airport,16.285714285714285,7
223767,Americas Best Value Inn - Columbus / North,5.0,2
223763,Cross Country Inn Continent,1.0,1
95271,Hometown Inn Columbus,6.0,2
101635,Hamilton Plaza Hotel,8.333333333333334,3
223762,Americas Best Value Inn Columbus Airport,13.0,10
101665,Knights Inn Downtown Columbus,2.0,6
101649,Columbus Inn & Suites,4.454545454545454,11
223772,Extended Stay America - Columbus - North,20.166666666666668,6
114725,German Village Inn,5.333333333333333,3
223766,Varsity Inn,14.428571428571429,7
95275,University Plaza Hotel and Conference Center,17.2,5
101757,Clarion Hotel & Suites Conference Center,8.714285714285714,14
223737,Residence Inn Columbus Worthington,13.75,8
95264,Days Inn Columbus North,11.470588235294118,17
281206,Motel 6 Columbus OSU,9.5,2
101643,Wingate by Wyndham Columbus,10.0,7
95263,Ramada Inn East Airport,10.166666666666666,6
223759,Country Inn & Suites Columbus - North,14.789473684210526,19
122230,Ramada Plaza Hotel & Conference Center,10.0,1
123895,Quality Inn & Suites Columbus,1.5,2
90216,East Suites Hotel Columbus,7.428571428571429,7
223765,Varsity Inn OSU North,8.4,10
101640,Hampton Inn Columbus West,18.666666666666668,12
95285,Hawthorn Suites by Wyndham Airport Columbus East,11.5,4
217653,"Hawthorn Suites by Wyndham Columbus, Keim Circle",10.285714285714286,7
101659,Extended Stay America - Columbus - Easton,11.2,5
101646,TownePlace Suites Columbus Airport Gahanna,18.77777777777778,9
123898,Super 8 Motel Columbus,8.333333333333334,6
101651,Red Roof Inn & Suites Columbus - W. Broad,11.5,2
223756,Country Inn & Suites Columbus Airport,20.5,4
101636,Comfort Suites Airport,17.11111111111111,9
101641,Hampton Inn Columbus Airport,16.272727272727273,11
223775,Fairfield Inn & Suites Columbus OSU,19.42105263157895,19
75212,BEST WESTERN PLUS Columbus North,11.4,15
123896,Hilton Garden Inn Columbus-University Area,24.75,4
626349,Candlewood Suites Polaris,17.0,3
95246,Courtyard by Marriott Columbus West,27.333333333333332,6
124435,Comfort Suites - Columbus / Keim Circle,18.0,1
240076,BEST WESTERN PLUS Franklin Park Suites - Polaris,17.642857142857142,14
223755,Country Inn & Suites Columbus Airport East,17.0,4
223728,Extended Stay Deluxe - Columbus - Polaris,4.0,2
95235,Days Inn Columbus Fairgrounds,7.125,8
95261,Holiday Inn Columbus Downtown Capital Square,9.523809523809524,21
95250,Homewood Suites by Hilton Columbus / Worthington,21.4,10
95230,Courtyard by Marriott Columbus Worthington,20.714285714285715,7
75221,Comfort Inn & Suites,15.5,8
223760,Courtyard by Marriott Columbus Downtown,12.909090909090908,11
95242,Baymont Inn Columbus North,6.25,4
249788,Holiday Inn Express Ohio State Fair/Expo Center,10.333333333333334,3
896855,Hyatt Place Columbus/Worthington,21.714285714285715,7
95277,Red Roof Inn Columbus West,13.0,2
75206,BEST WESTERN Suites,19.0,7
217654,DoubleTree Suites by Hilton Hotel Columbus Downtown,16.096774193548388,31
95286,"Hawthorn Suites by Wyndham Columbus, Zumstein Dr",14.333333333333334,3
95288,Sheraton Suites Columbus,16.893617021276597,47
223223,Staybridge Suites Columbus Airport,15.866666666666667,15
223726,Super 8 Columbus West,7.5,2
250903,Hilton Garden Inn Columbus Airport,18.166666666666668,12
95249,Doubletree Hotel Columbus Worthington,18.11111111111111,9
95265,Columbus Airport Marriott,16.166666666666668,12
95258,Crowne Plaza Columbus North,14.73913043478261,23
95289,Ramada Columbus North,13.0,5
675842,Hampton Inn & Suites Columbus-Easton,20.6,5
95253,Hyatt Regency Columbus,14.297297297297296,37
281777,Comfort Suites - Columbus / Clara St,13.125,8
122237,Red Roof Inn Columbus Downtown - Convention Center,11.444444444444445,9
95269,Comfort Inn North,5.9,10
95247,Crowne Plaza Columbus Downtown,16.869565217391305,23
122229,Renaissance Columbus Downtown Hotel,18.261904761904763,42
223735,Residence Inn Columbus Easton,23.25,8
223771,La Quinta Inn & Suites Columbus West - Hilliard,5.0,3
101653,Fort Rapids Indoor Waterpark Resort,13.355263157894736,76
278081,Courtyard Columbus Easton,21.5,10
223724,Comfort Inn North Polaris,22.333333333333332,3
268516,Baymont Inn and Suites Columbus at Rickenbacker,22.0,2
223747,Homewood Suites by Hilton Columbus Airport,19.153846153846153,13
95293,The Westin Columbus,17.32,25
223739,Worthington Red Roof Inn,21.0,1
518306,Hilton Garden Inn Columbus/Polaris,21.357142857142858,14
95238,Embassy Suites Hotel Columbus,15.777777777777779,9
223748,Hilton Columbus at Easton,16.176470588235293,17
258165,Drury Inn & Suites Columbus Convention Center,16.0,19
878115,Hampton Inn & Suites Columbus Polaris,27.0,1
819653,Residence Inn Columbus Downtown,26.0,1
223750,Hampton Inn and Suites Columbus Downtown,21.2,20
