Hotel ID,Hotel Name,Total Rating,Overall Customers
246937,The Blackwell,26.22222222222222,45
223755,Country Inn & Suites Columbus Airport East,23.095238095238095,21
223509,Holiday Inn Express & Suites Columbus Southeast,21.363636363636363,11
101657,Extended Stay America - Columbus - Worthington,6.5,4
101647,Extended Stay America - Columbus - East,7.333333333333333,3
223749,Hampton Inn Columbus Hamilton,23.142857142857142,7
223730,TownePlace Suites Columbus Worthington,19.846153846153847,13
1628583,Sawmill Extended Stay,35.0,1
223753,Country Inn & Suites Columbus-West,22.0,17
612540,BEST WESTERN PLUS Port Columbus,22.058823529411764,17
95241,Motel 6 Columbus,25.333333333333332,6
95284,Red Roof Inn Columbus Ohio State University,20.129032258064516,31
101661,Courtyard by Marriott Columbus Airport,19.333333333333332,24
101660,Econo Lodge Brice Road,11.166666666666666,6
240079,Motel 6 Columbus North,14.714285714285714,7
101668,Knights Inn Columbus North,12.0,3
223764,Americas Best Value Inn-Columbus/West,22.666666666666668,3
1206195,Neil Avenue Bed and Breakfast,23.5,2
1225684,La Quinta Inn East Hotel,21.0,2
240082,Motel 6 Columbus Worthington,17.75,8
223732,InTown Suites Columbus / Dublin,10.666666666666666,3
101670,Knights Inn Columbus East,16.5,4
95240,Howard Johnson Inn Columbus,10.363636363636363,11
223734,InTown Suites Columbus East,29.0,1
222972,InTown Suites Columbus North,24.5,2
95236,North Suites,10.5,12
90214,Rodeway Inn North,12.5625,16
223767,Americas Best Value Inn - Columbus / North,11.8,15
223762,Americas Best Value Inn Columbus Airport,14.136363636363637,22
223763,Cross Country Inn Continent,7.0,2
95271,Hometown Inn Columbus,6.0,2
101635,Hamilton Plaza Hotel,8.333333333333334,3
101757,Clarion Hotel & Suites Conference Center,12.710526315789474,38
1191338,Holiday Inn -Ohio State University Area,5.0,1
240078,Motel 6 Columbus East,7.25,4
101665,Knights Inn Downtown Columbus,9.615384615384615,13
101649,Columbus Inn & Suites,6.958333333333333,24
223772,Extended Stay America - Columbus - North,20.6,10
95264,Days Inn Columbus North,12.705882352941176,34
114725,German Village Inn,14.583333333333334,12
95275,University Plaza Hotel and Conference Center,14.88888888888889,9
95285,Hawthorn Suites by Wyndham Airport Columbus East,20.844444444444445,45
