Hotel ID,Hotel Name,Total Rating,Overall Customers
102550,Chestnut Hill Hotel,2.3333333333333335,3
96712,Latham Hotel,8.0,33
102510,Hyatt at the Bellevue,8.592592592592593,27
112136,Penn's View Hotel,17.11764705882353,17
224279,Hampton Inn Philadelphia Convention Center,9.241379310344827,29
249126,The Inn At The Union League,4.0,1
220059,Westin Philadelphia,9.743589743589743,39
122337,Parker-Spruce Hotel,3.5,4
122324,Hub Motel,5.0,1
102539,Extended Stay America - Philadelphia - Airport - Tinicum Blvd.,12.2,5
102495,Extended Stay America - Philadelphia - Airport - Bartram Ave.,6.4,5
102509,Penn Tower Hotel,5.181818181818182,11
96684,Days Inn Philadelphia - Roosevelt Boulevard,3.8333333333333335,6
122335,Roosevelt Inn,3.0,3
96730,Society Hill Hotel,7.428571428571429,21
1861737,North American Motor Inns,7.666666666666667,3
102463,Courtyard Philadelphia Downtown,15.15625,32
102472,Hampton Inn Philadelphia International Airport,18.8,5
102492,Rodeway Inn Center City,2.7,10
74370,BEST WESTERN Center City Hotel,4.8125,16
96705,Holiday Inn Express Philadelphia Midtown,11.529411764705882,34
220057,Four Points by Sheraton Philadelphia Airport,8.235294117647058,17
112132,Loews Philadelphia Hotel,8.231707317073171,82
102537,Fairfield Inn Philadelphia Airport,10.642857142857142,14
271793,Hilton Philadelphia City Avenue,5.0,6
102542,Courtyard by Marriott Philadelphia Airport,11.4,5
102503,Residence Inn Philadelphia Airport,4.75,8
96721,Renaissance Philadelphia Airport,11.692307692307692,13
122332,Ritz-Carlton Philadelphia,10.13888888888889,36
102707,Sheraton Philadelphia University City Hotel,8.1,10
220058,Sheraton Suites Philadelphia Airport,11.72,25
96715,Microtel Inn & Suites by Wyndham Philadelphia Airport,6.909090909090909,11
115448,Travelodge Philadelphia Convention Center,14.363636363636363,11
102519,Holiday Inn Philadelphia Stadium,10.583333333333334,12
96737,Radisson Plaza-Warwick Hotel Philadelphia,11.98076923076923,52
102480,Doubletree by Hilton Philadelphia Center City,9.0,51
115444,Philadelphia Airport Marriott,12.15,20
112137,Hilton Philadelphia Airport,9.526315789473685,19
483277,Homewood Suites Philadelphia - City Ave,25.0,1
125307,Sonesta Hotel Philadelphia,9.710526315789474,38
96686,Embassy Suites Philadelphia - Airport,10.892857142857142,28
96688,Embassy Suites Philadelphia - Center City,10.851851851851851,54
247008,Residence Inn Philadelphia Center City,11.428571428571429,14
217682,Club Quarters,9.119402985074627,67
123541,Hilton Garden Inn Philadelphia Center City,11.657142857142857,35
142181,Comfort Inn Downtown/Historic Area,10.4,15
112129,Holiday Inn Hotel Historic District Philadelphia,10.117647058823529,34
122325,The Windsor Suites,6.75,36
74363,BEST WESTERN PLUS Independence Park Hotel,13.277777777777779,18
96711,Hyatt Regency Philadelphia at Penn's Landing,11.836363636363636,55
112134,Omni Hotel at Independence Park,11.475,40
112124,Four Seasons Hotel Philadelphia,14.166666666666666,36
224280,Hilton Inn at Penn,10.363636363636363,11
122315,Alexander Inn,12.0625,48
226730,"Rittenhouse 1715, A Boutique Hotel",11.4375,16
499019,Morris House Hotel,15.76923076923077,13
102710,Sheraton Philadelphia Downtown Hotel,7.490909090909091,110
96735,The Rittenhouse Hotel,10.363636363636363,22
122343,Sofitel Philadelphia Hotel,13.564814814814815,108
102466,Philadelphia Marriott Downtown,12.690909090909091,55
