Hotel ID,Hotel Name,Total Rating,Overall Customers
102550,Chestnut Hill Hotel,14.142857142857142,7
96712,Latham Hotel,10.890625,64
102510,Hyatt at the Bellevue,13.311111111111112,45
112136,Penn's View Hotel,21.757575757575758,33
224279,Hampton Inn Philadelphia Convention Center,15.11111111111111,63
249126,The Inn At The Union League,7.5,2
220059,Westin Philadelphia,13.140350877192983,57
122337,Parker-Spruce Hotel,3.8,5
122324,Hub Motel,5.0,2
102539,Extended Stay America - Philadelphia - Airport - Tinicum Blvd.,11.714285714285714,7
102495,Extended Stay America - Philadelphia - Airport - Bartram Ave.,6.0,6
102509,Penn Tower Hotel,5.846153846153846,13
96684,Days Inn Philadelphia - Roosevelt Boulevard,4.1,10
122335,Roosevelt Inn,5.5,4
96730,Society Hill Hotel,7.379310344827586,29
102463,Courtyard Philadelphia Downtown,18.78688524590164,61
1861737,North American Motor Inns,7.666666666666667,3
102472,Hampton Inn Philadelphia International Airport,20.4375,16
74370,BEST WESTERN Center City Hotel,8.114285714285714,35
102492,Rodeway Inn Center City,3.1666666666666665,18
96705,Holiday Inn Express Philadelphia Midtown,13.603174603174603,63
220057,Four Points by Sheraton Philadelphia Airport,10.384615384615385,26
112132,Loews Philadelphia Hotel,13.26984126984127,126
102537,Fairfield Inn Philadelphia Airport,14.44,25
271793,Hilton Philadelphia City Avenue,8.0,11
102542,Courtyard by Marriott Philadelphia Airport,15.727272727272727,11
122332,Ritz-Carlton Philadelphia,13.698412698412698,63
102503,Residence Inn Philadelphia Airport,5.666666666666667,9
96721,Renaissance Philadelphia Airport,14.36,25
220058,Sheraton Suites Philadelphia Airport,13.115384615384615,52
102707,Sheraton Philadelphia University City Hotel,13.4,25
96715,Microtel Inn & Suites by Wyndham Philadelphia Airport,9.318181818181818,22
115448,Travelodge Philadelphia Convention Center,15.1,20
102519,Holiday Inn Philadelphia Stadium,10.035714285714286,28
96737,Radisson Plaza-Warwick Hotel Philadelphia,13.493150684931507,73
225275,Conwell Inn,20.0,1
102480,Doubletree by Hilton Philadelphia Center City,11.371794871794872,78
115444,Philadelphia Airport Marriott,15.906976744186046,43
112137,Hilton Philadelphia Airport,10.666666666666666,39
142181,Comfort Inn Downtown/Historic Area,13.5,32
125307,Sonesta Hotel Philadelphia,12.224137931034482,58
483277,Homewood Suites Philadelphia - City Ave,17.5,6
96688,Embassy Suites Philadelphia - Center City,12.878048780487806,82
96686,Embassy Suites Philadelphia - Airport,12.256410256410257,39
217682,Club Quarters,11.697478991596638,119
247008,Residence Inn Philadelphia Center City,16.705882352941178,34
123541,Hilton Garden Inn Philadelphia Center City,14.931506849315069,73
112129,Holiday Inn Hotel Historic District Philadelphia,13.317460317460318,63
122325,The Windsor Suites,8.98076923076923,52
74363,BEST WESTERN PLUS Independence Park Hotel,15.029411764705882,34
96711,Hyatt Regency Philadelphia at Penn's Landing,15.021739130434783,92
112134,Omni Hotel at Independence Park,15.766233766233766,77
112124,Four Seasons Hotel Philadelphia,17.703125,64
224280,Hilton Inn at Penn,13.7,20
122315,Alexander Inn,16.098039215686274,102
226730,"Rittenhouse 1715, A Boutique Hotel",15.56,25
102710,Sheraton Philadelphia Downtown Hotel,9.43030303030303,165
499019,Morris House Hotel,16.952380952380953,21
96735,The Rittenhouse Hotel,15.78048780487805,41
122343,Sofitel Philadelphia Hotel,17.080645161290324,186
102466,Philadelphia Marriott Downtown,15.697916666666666,96
