Hotel ID,Hotel Name,Total Rating,Overall Customers
96712,Latham Hotel,14.391608391608392,143
102550,Chestnut Hill Hotel,18.0,23
102510,Hyatt at the Bellevue,17.544444444444444,90
112136,Penn's View Hotel,22.127450980392158,102
224279,Hampton Inn Philadelphia Convention Center,19.345454545454544,165
220059,Westin Philadelphia,19.51764705882353,170
102463,Courtyard Philadelphia Downtown,22.416666666666668,216
249126,The Inn At The Union League,12.428571428571429,7
1097234,Szechuan China Royal,3.0,1
122328,Blue Moon Hotel,7.0,1
122324,Hub Motel,6.857142857142857,7
122337,Parker-Spruce Hotel,5.0,8
122335,Roosevelt Inn,10.454545454545455,11
102495,Extended Stay America - Philadelphia - Airport - Bartram Ave.,12.272727272727273,22
102539,Extended Stay America - Philadelphia - Airport - Tinicum Blvd.,12.0,11
102509,Penn Tower Hotel,9.75,24
96684,Days Inn Philadelphia - Roosevelt Boulevard,6.25,24
96730,Society Hill Hotel,10.5625,48
1164882,Ramada Philadelphia,11.0,1
112132,Loews Philadelphia Hotel,19.592261904761905,336
1861737,North American Motor Inns,9.555555555555555,18
74370,BEST WESTERN Center City Hotel,12.34020618556701,97
102472,Hampton Inn Philadelphia International Airport,19.19148936170213,47
96705,Holiday Inn Express Philadelphia Midtown,18.025641025641026,117
102492,Rodeway Inn Center City,10.2,45
220057,Four Points by Sheraton Philadelphia Airport,15.166666666666666,66
96715,Microtel Inn & Suites by Wyndham Philadelphia Airport,12.17910447761194,67
102537,Fairfield Inn Philadelphia Airport,17.107142857142858,56
1176615,Four Points by Sheraton Philadelphia City Center,18.0,25
271793,Hilton Philadelphia City Avenue,14.766666666666667,30
122332,Ritz-Carlton Philadelphia,18.282442748091604,131
96726,Four Points by Sheraton Philadelphia Northeast,22.73469387755102,49
96721,Renaissance Philadelphia Airport,18.346153846153847,78
220058,Sheraton Suites Philadelphia Airport,14.669642857142858,112
102707,Sheraton Philadelphia University City Hotel,17.365853658536587,82
102542,Courtyard by Marriott Philadelphia Airport,19.06896551724138,29
102503,Residence Inn Philadelphia Airport,14.807692307692308,26
96737,Radisson Plaza-Warwick Hotel Philadelphia,19.30622009569378,209
115448,Travelodge Philadelphia Convention Center,14.191489361702128,47
102519,Holiday Inn Philadelphia Stadium,13.53012048192771,83
1510002,Hotel Palomar Philadelphia - a Kimpton Hotel,28.75,4
102480,Doubletree by Hilton Philadelphia Center City,18.010526315789473,190
115444,Philadelphia Airport Marriott,18.80851063829787,94
225275,Conwell Inn,24.333333333333332,15
142181,Comfort Inn Downtown/Historic Area,18.78985507246377,138
112137,Hilton Philadelphia Airport,13.797752808988765,89
1022889,aloft Philadelphia Airport,21.15,60
96698,Crowne Plaza Philadelphia West,20.0,31
125307,Sonesta Hotel Philadelphia,18.12,175
217682,Club Quarters,15.3671875,256
96688,Embassy Suites Philadelphia - Center City,17.036585365853657,164
123541,Hilton Garden Inn Philadelphia Center City,19.026455026455025,189
483277,Homewood Suites Philadelphia - City Ave,23.703703703703702,27
112129,Holiday Inn Hotel Historic District Philadelphia,18.230366492146597,191
96686,Embassy Suites Philadelphia - Airport,15.279569892473118,93
247008,Residence Inn Philadelphia Center City,20.494949494949495,99
122325,The Windsor Suites,14.298013245033113,151
74363,BEST WESTERN PLUS Independence Park Hotel,19.285714285714285,77
662409,AKA Rittenhouse Square,20.727272727272727,11
96711,Hyatt Regency Philadelphia at Penn's Landing,17.95897435897436,195
112134,Omni Hotel at Independence Park,20.18232044198895,181
112124,Four Seasons Hotel Philadelphia,20.8125,128
102710,Sheraton Philadelphia Downtown Hotel,12.617857142857142,280
226730,"Rittenhouse 1715, A Boutique Hotel",20.719298245614034,57
224280,Hilton Inn at Penn,19.11111111111111,63
499019,Morris House Hotel,20.767441860465116,43
1091941,The Independent,24.85542168674699,83
122315,Alexander Inn,21.515151515151516,264
96735,The Rittenhouse Hotel,19.047619047619047,84
122343,Sofitel Philadelphia Hotel,20.30144927536232,345
102466,Philadelphia Marriott Downtown,18.27659574468085,235
