Hotel ID,Hotel Name,Total Rating,Overall Customers
96712,Latham Hotel,15.316770186335404,161
102550,Chestnut Hill Hotel,19.416666666666668,36
112136,Penn's View Hotel,23.874074074074073,135
102510,Hyatt at the Bellevue,18.620689655172413,116
224279,Hampton Inn Philadelphia Convention Center,20.027522935779817,218
220059,Westin Philadelphia,21.212962962962962,216
102463,Courtyard Philadelphia Downtown,23.437735849056605,265
1479774,Le Meridien Philadelphia,27.72463768115942,69
249126,The Inn At The Union League,18.75,12
112132,Loews Philadelphia Hotel,20.797619047619047,420
1097234,Szechuan China Royal,3.0,1
122328,Blue Moon Hotel,7.0,1
122337,Parker-Spruce Hotel,4.777777777777778,9
122335,Roosevelt Inn,12.307692307692308,13
122324,Hub Motel,8.9,10
102509,Penn Tower Hotel,11.59375,32
102495,Extended Stay America - Philadelphia - Airport - Bartram Ave.,14.777777777777779,27
102539,Extended Stay America - Philadelphia - Airport - Tinicum Blvd.,12.538461538461538,13
96684,Days Inn Philadelphia - Roosevelt Boulevard,7.0,30
96730,Society Hill Hotel,10.927272727272728,55
1164882,Ramada Philadelphia,12.25,4
1861737,North American Motor Inns,9.73913043478261,23
74370,BEST WESTERN Center City Hotel,12.84873949579832,119
96705,Holiday Inn Express Philadelphia Midtown,19.73939393939394,165
102472,Hampton Inn Philadelphia International Airport,19.868852459016395,61
102492,Rodeway Inn Center City,11.596491228070175,57
220057,Four Points by Sheraton Philadelphia Airport,16.072289156626507,83
96737,Radisson Plaza-Warwick Hotel Philadelphia,20.430232558139537,258
96715,Microtel Inn & Suites by Wyndham Philadelphia Airport,13.545454545454545,99
1778574,Skyview Plaza Hotel & Suites,13.1,10
102537,Fairfield Inn Philadelphia Airport,17.602941176470587,68
122332,Ritz-Carlton Philadelphia,20.563953488372093,172
1176615,Four Points by Sheraton Philadelphia City Center,20.125,56
96726,Four Points by Sheraton Philadelphia Northeast,24.202380952380953,84
271793,Hilton Philadelphia City Avenue,19.529411764705884,51
96721,Renaissance Philadelphia Airport,19.192660550458715,109
220058,Sheraton Suites Philadelphia Airport,16.191176470588236,136
102707,Sheraton Philadelphia University City Hotel,17.972477064220183,109
1510002,Hotel Palomar Philadelphia - a Kimpton Hotel,29.375,144
102542,Courtyard by Marriott Philadelphia Airport,20.45945945945946,37
102503,Residence Inn Philadelphia Airport,14.89655172413793,29
102519,Holiday Inn Philadelphia Stadium,15.56910569105691,123
102480,Doubletree by Hilton Philadelphia Center City,20.29368029739777,269
115448,Travelodge Philadelphia Convention Center,12.868852459016393,61
142181,Comfort Inn Downtown/Historic Area,21.235294117647058,221
115444,Philadelphia Airport Marriott,19.9375,112
112137,Hilton Philadelphia Airport,16.3203125,128
225275,Conwell Inn,23.75,24
1022889,aloft Philadelphia Airport,22.567010309278352,97
96698,Crowne Plaza Philadelphia West,23.0,74
125307,Sonesta Hotel Philadelphia,19.58447488584475,219
217682,Club Quarters,16.524844720496894,322
123541,Hilton Garden Inn Philadelphia Center City,20.176470588235293,255
96688,Embassy Suites Philadelphia - Center City,19.331818181818182,220
112129,Holiday Inn Hotel Historic District Philadelphia,19.565217391304348,253
247008,Residence Inn Philadelphia Center City,21.3984375,128
96686,Embassy Suites Philadelphia - Airport,16.405405405405407,111
483277,Homewood Suites Philadelphia - City Ave,24.6,35
122325,The Windsor Suites,15.952631578947368,190
74363,BEST WESTERN PLUS Independence Park Hotel,21.16304347826087,92
96711,Hyatt Regency Philadelphia at Penn's Landing,19.375,240
112134,Omni Hotel at Independence Park,21.633064516129032,248
662409,AKA Rittenhouse Square,24.333333333333332,18
112124,Four Seasons Hotel Philadelphia,21.753012048192772,166
102710,Sheraton Philadelphia Downtown Hotel,14.30791788856305,341
499019,Morris House Hotel,25.229166666666668,96
226730,"Rittenhouse 1715, A Boutique Hotel",22.92,75
224280,Hilton Inn at Penn,21.51764705882353,85
102466,Philadelphia Marriott Downtown,19.153333333333332,300
96735,The Rittenhouse Hotel,21.688524590163933,122
1091941,The Independent,26.0,124
122315,Alexander Inn,23.307692307692307,338
122343,Sofitel Philadelphia Hotel,22.086767895878523,461
